innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,JA Morkel,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,0.2,VVS Laxman,JA Morkel,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,0.3,AC Gilchrist,JA Morkel,1wides,VVS Laxman,0,1,1,0,NA,NA,NA
1,0.4,AC Gilchrist,JA Morkel,1legbyes,VVS Laxman,0,1,1,0,NA,NA,NA
1,0.5,VVS Laxman,JA Morkel,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.6,VVS Laxman,JA Morkel,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
1,0.7,VVS Laxman,JA Morkel,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.1,AC Gilchrist,S Tyagi,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,1.2,VVS Laxman,S Tyagi,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,1.3,AC Gilchrist,S Tyagi,NA,VVS Laxman,6,0,6,0,NA,NA,NA
1,1.4,AC Gilchrist,S Tyagi,NA,VVS Laxman,6,0,6,0,NA,NA,NA
1,1.5,AC Gilchrist,S Tyagi,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,1.6,AC Gilchrist,S Tyagi,1legbyes,VVS Laxman,0,1,1,0,NA,NA,NA
1,2.1,AC Gilchrist,JA Morkel,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.2,AC Gilchrist,JA Morkel,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.3,AC Gilchrist,JA Morkel,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,2.4,AC Gilchrist,JA Morkel,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,2.5,AC Gilchrist,JA Morkel,NA,VVS Laxman,6,0,6,0,NA,NA,NA
1,2.6,AC Gilchrist,JA Morkel,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,3.1,VVS Laxman,M Muralitharan,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,3.2,AC Gilchrist,M Muralitharan,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,3.3,VVS Laxman,M Muralitharan,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
