innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MEK Hussey,IK Pathan,NA,M Vijay,3,0,3,0,NA,NA,NA
1,0.2,M Vijay,IK Pathan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,0.3,M Vijay,IK Pathan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,0.4,M Vijay,IK Pathan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,0.5,M Vijay,IK Pathan,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,0.6,MEK Hussey,IK Pathan,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,0.7,MEK Hussey,IK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.1,M Vijay,S Kaul,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.2,M Vijay,S Kaul,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.3,M Vijay,S Kaul,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,1.4,MEK Hussey,S Kaul,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.5,MEK Hussey,S Kaul,NA,M Vijay,2,0,2,0,NA,NA,NA
1,1.6,MEK Hussey,S Kaul,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.1,MEK Hussey,A Nehra,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.2,MEK Hussey,A Nehra,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.3,MEK Hussey,A Nehra,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.4,MEK Hussey,A Nehra,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.5,M Vijay,A Nehra,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,2.6,M Vijay,A Nehra,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,3.1,M Vijay,IK Pathan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,3.2,M Vijay,IK Pathan,1legbyes,MEK Hussey,0,1,1,0,NA,NA,NA
1,3.3,MEK Hussey,IK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.4,MEK Hussey,IK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.5,MEK Hussey,IK Pathan,NA,M Vijay,4,0,4,0,NA,NA,NA
1,3.6,MEK Hussey,IK Pathan,NA,M Vijay,4,0,4,0,NA,NA,NA
1,4.1,M Vijay,UT Yadav,NA,MEK Hussey,2,0,2,0,NA,NA,NA
1,4.2,M Vijay,UT Yadav,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,4.3,M Vijay,UT Yadav,NA,MEK Hussey,2,0,2,0,NA,NA,NA
1,4.4,M Vijay,UT Yadav,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,4.5,MEK Hussey,UT Yadav,NA,M Vijay,1,0,1,0,NA,NA,NA
1,4.6,M Vijay,UT Yadav,NA,MEK Hussey,4,0,4,0,NA,NA,NA
