innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,Mandeep Singh,KMDN Kulasekara,1wides,SE Marsh,0,1,1,0,NA,NA,NA
1,0.2,Mandeep Singh,KMDN Kulasekara,1wides,SE Marsh,0,1,1,0,NA,NA,NA
1,0.3,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,0.4,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,0.5,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,0.6,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,0.7,SE Marsh,KMDN Kulasekara,1wides,Mandeep Singh,0,1,1,0,NA,NA,NA
1,0.8,SE Marsh,KMDN Kulasekara,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,0.9,SE Marsh,KMDN Kulasekara,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,1.1,SE Marsh,JA Morkel,NA,Mandeep Singh,4,0,4,0,NA,NA,NA
1,1.2,SE Marsh,JA Morkel,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,1.3,SE Marsh,JA Morkel,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,1.4,Mandeep Singh,JA Morkel,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,1.5,Mandeep Singh,JA Morkel,NA,SE Marsh,2,0,2,0,NA,NA,NA
1,1.6,Mandeep Singh,JA Morkel,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,2.1,SE Marsh,R Ashwin,NA,Mandeep Singh,2,0,2,0,NA,NA,NA
1,2.2,SE Marsh,R Ashwin,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,2.3,SE Marsh,R Ashwin,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,2.4,Mandeep Singh,R Ashwin,1wides,SE Marsh,0,1,1,0,NA,NA,NA
1,2.5,Mandeep Singh,R Ashwin,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,2.6,Mandeep Singh,R Ashwin,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,2.7,SE Marsh,R Ashwin,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,3.1,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,3.2,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,3.3,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,3.4,Mandeep Singh,KMDN Kulasekara,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,3.5,SE Marsh,KMDN Kulasekara,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,3.6,SE Marsh,KMDN Kulasekara,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,4.1,Mandeep Singh,R Ashwin,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,4.2,SE Marsh,R Ashwin,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,4.3,Mandeep Singh,R Ashwin,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,4.4,Mandeep Singh,R Ashwin,NA,SE Marsh,6,0,6,0,NA,NA,NA
1,4.5,Mandeep Singh,R Ashwin,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,4.6,Mandeep Singh,R Ashwin,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,5.1,SE Marsh,SB Jakati,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,5.2,SE Marsh,SB Jakati,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,5.3,SE Marsh,SB Jakati,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,5.4,Mandeep Singh,SB Jakati,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,5.5,Mandeep Singh,SB Jakati,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,5.6,Mandeep Singh,SB Jakati,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,6.1,SE Marsh,SK Raina,NA,Mandeep Singh,4,0,4,0,NA,NA,NA
1,6.2,SE Marsh,SK Raina,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,6.3,Mandeep Singh,SK Raina,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,6.4,SE Marsh,SK Raina,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,6.5,Mandeep Singh,SK Raina,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,6.6,Mandeep Singh,SK Raina,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,7.1,Mandeep Singh,SB Jakati,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,7.2,SE Marsh,SB Jakati,NA,Mandeep Singh,6,0,6,0,NA,NA,NA
1,7.3,SE Marsh,SB Jakati,NA,Mandeep Singh,4,0,4,0,NA,NA,NA
1,7.4,SE Marsh,SB Jakati,NA,Mandeep Singh,4,0,4,0,NA,NA,NA
1,7.5,SE Marsh,SB Jakati,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,7.6,Mandeep Singh,SB Jakati,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,8.1,Mandeep Singh,R Ashwin,NA,SE Marsh,0,0,0,1,R Ashwin,run out,SE Marsh
1,8.2,Mandeep Singh,R Ashwin,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,8.3,Azhar Mahmood,R Ashwin,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,8.4,Mandeep Singh,R Ashwin,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,8.5,Azhar Mahmood,R Ashwin,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,8.6,Azhar Mahmood,R Ashwin,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,9.1,Azhar Mahmood,DJ Bravo,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,9.2,Mandeep Singh,DJ Bravo,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,9.3,Mandeep Singh,DJ Bravo,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,9.4,Azhar Mahmood,DJ Bravo,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,9.5,Mandeep Singh,DJ Bravo,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,9.6,Azhar Mahmood,DJ Bravo,1wides,Mandeep Singh,0,1,1,0,NA,NA,NA
1,9.7,Azhar Mahmood,DJ Bravo,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,10.1,Mandeep Singh,RA Jadeja,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,10.2,Azhar Mahmood,RA Jadeja,NA,Mandeep Singh,6,0,6,0,NA,NA,NA
1,10.3,Azhar Mahmood,RA Jadeja,NA,Mandeep Singh,6,0,6,0,NA,NA,NA
1,10.4,Azhar Mahmood,RA Jadeja,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,10.5,Mandeep Singh,RA Jadeja,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,10.6,Azhar Mahmood,RA Jadeja,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
