innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MEK Hussey,RP Singh,NA,M Vijay,1,0,1,0,NA,NA,NA
1,0.2,M Vijay,RP Singh,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,0.3,M Vijay,RP Singh,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,0.4,M Vijay,RP Singh,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,0.5,M Vijay,RP Singh,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,0.6,MEK Hussey,RP Singh,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.1,MEK Hussey,S Sreesanth,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.2,MEK Hussey,S Sreesanth,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.3,M Vijay,S Sreesanth,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,1.4,MEK Hussey,S Sreesanth,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.5,MEK Hussey,S Sreesanth,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.6,MEK Hussey,S Sreesanth,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.1,M Vijay,RP Singh,NA,MEK Hussey,2,0,2,0,NA,NA,NA
1,2.2,M Vijay,RP Singh,NA,MEK Hussey,4,0,4,0,NA,NA,NA
1,2.3,M Vijay,RP Singh,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,2.4,M Vijay,RP Singh,NA,MEK Hussey,4,0,4,0,NA,NA,NA
1,2.5,M Vijay,RP Singh,NA,MEK Hussey,4,0,4,0,NA,NA,NA
1,2.6,M Vijay,RP Singh,NA,MEK Hussey,0,0,0,1,NA,bowled,M Vijay
1,3.1,MEK Hussey,S Sreesanth,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.2,SK Raina,S Sreesanth,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,3.3,SK Raina,S Sreesanth,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,3.4,MEK Hussey,S Sreesanth,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.5,SK Raina,S Sreesanth,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,3.6,SK Raina,S Sreesanth,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,4.1,SK Raina,M Muralitharan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,4.2,SK Raina,M Muralitharan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,4.3,SK Raina,M Muralitharan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,4.4,SK Raina,M Muralitharan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,4.5,SK Raina,M Muralitharan,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,4.6,MEK Hussey,M Muralitharan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,5.1,SK Raina,S Sreesanth,NA,MEK Hussey,6,0,6,0,NA,NA,NA
1,5.2,SK Raina,S Sreesanth,NA,MEK Hussey,4,0,4,0,NA,NA,NA
1,5.3,SK Raina,S Sreesanth,NA,MEK Hussey,6,0,6,0,NA,NA,NA
1,5.4,SK Raina,S Sreesanth,NA,MEK Hussey,0,0,0,1,RP Singh,caught,SK Raina
1,5.5,MEK Hussey,S Sreesanth,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,5.6,MEK Hussey,S Sreesanth,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,6.1,MEK Hussey,BJ Hodge,NA,S Badrinath,1,0,1,0,NA,NA,NA
