innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,F du Plessis,Iqbal Abdulla,NA,MEK Hussey,2,0,2,0,NA,NA,NA
1,0.2,F du Plessis,Iqbal Abdulla,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,0.3,F du Plessis,Iqbal Abdulla,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,0.4,MEK Hussey,Iqbal Abdulla,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.5,MEK Hussey,Iqbal Abdulla,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.6,MEK Hussey,Iqbal Abdulla,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,1.1,MEK Hussey,B Lee,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.2,MEK Hussey,B Lee,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.3,MEK Hussey,B Lee,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,1.4,F du Plessis,B Lee,NA,MEK Hussey,0,0,0,1,BB McCullum,caught,F du Plessis
1,1.5,SK Raina,B Lee,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.6,SK Raina,B Lee,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,2.1,MEK Hussey,YK Pathan,NA,SK Raina,4,0,4,0,NA,NA,NA
1,2.2,MEK Hussey,YK Pathan,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,2.3,MEK Hussey,YK Pathan,NA,SK Raina,3,0,3,0,NA,NA,NA
1,2.4,SK Raina,YK Pathan,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,2.5,SK Raina,YK Pathan,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,2.6,MEK Hussey,YK Pathan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,2.7,MEK Hussey,YK Pathan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.1,MEK Hussey,B Lee,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.2,MEK Hussey,B Lee,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.3,MEK Hussey,B Lee,NA,SK Raina,2,0,2,0,NA,NA,NA
1,3.4,MEK Hussey,B Lee,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.5,SK Raina,B Lee,NA,MEK Hussey,6,0,6,0,NA,NA,NA
1,3.6,SK Raina,B Lee,NA,MEK Hussey,2,0,2,0,NA,NA,NA
1,4.1,MEK Hussey,SP Narine,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.2,MEK Hussey,SP Narine,NA,SK Raina,1,0,1,0,NA,NA,NA
1,4.3,SK Raina,SP Narine,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,4.4,MEK Hussey,SP Narine,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.5,MEK Hussey,SP Narine,NA,SK Raina,4,0,4,0,NA,NA,NA
1,4.6,MEK Hussey,SP Narine,NA,SK Raina,0,0,0,1,B Lee,run out,MEK Hussey
1,5.1,SK Raina,Iqbal Abdulla,NA,DJ Bravo,0,0,0,0,NA,NA,NA
1,5.2,SK Raina,Iqbal Abdulla,NA,DJ Bravo,0,0,0,0,NA,NA,NA
1,5.3,SK Raina,Iqbal Abdulla,NA,DJ Bravo,4,0,4,0,NA,NA,NA
1,5.4,SK Raina,Iqbal Abdulla,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,5.5,DJ Bravo,Iqbal Abdulla,NA,SK Raina,0,0,0,0,NA,NA,NA
1,5.6,DJ Bravo,Iqbal Abdulla,NA,SK Raina,6,0,6,0,NA,NA,NA
1,6.1,SK Raina,JH Kallis,NA,DJ Bravo,4,0,4,0,NA,NA,NA
1,6.2,SK Raina,JH Kallis,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,6.3,DJ Bravo,JH Kallis,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.4,DJ Bravo,JH Kallis,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.5,SK Raina,JH Kallis,NA,DJ Bravo,0,0,0,0,NA,NA,NA
1,6.6,SK Raina,JH Kallis,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,7.1,SK Raina,R Bhatia,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,7.2,DJ Bravo,R Bhatia,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.3,SK Raina,R Bhatia,NA,DJ Bravo,2,0,2,0,NA,NA,NA
1,7.4,SK Raina,R Bhatia,NA,DJ Bravo,4,0,4,0,NA,NA,NA
1,7.5,SK Raina,R Bhatia,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,7.6,DJ Bravo,R Bhatia,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.1,DJ Bravo,JH Kallis,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.2,SK Raina,JH Kallis,NA,DJ Bravo,4,0,4,0,NA,NA,NA
1,8.3,SK Raina,JH Kallis,NA,DJ Bravo,0,0,0,0,NA,NA,NA
1,8.4,SK Raina,JH Kallis,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,8.5,DJ Bravo,JH Kallis,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,8.6,DJ Bravo,JH Kallis,NA,SK Raina,0,0,0,0,NA,NA,NA
1,8.7,DJ Bravo,JH Kallis,NA,SK Raina,0,0,0,0,NA,NA,NA
1,9.1,SK Raina,R Bhatia,NA,DJ Bravo,3,0,3,0,NA,NA,NA
1,9.2,DJ Bravo,R Bhatia,NA,SK Raina,1,0,1,0,NA,NA,NA
1,9.3,SK Raina,R Bhatia,NA,DJ Bravo,0,0,0,0,NA,NA,NA
1,9.4,SK Raina,R Bhatia,NA,DJ Bravo,0,0,0,0,NA,NA,NA
1,9.5,SK Raina,R Bhatia,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,9.6,DJ Bravo,R Bhatia,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,9.7,DJ Bravo,R Bhatia,NA,SK Raina,1,0,1,0,NA,NA,NA
1,10.1,DJ Bravo,JH Kallis,NA,SK Raina,0,0,0,1,Iqbal Abdulla,caught,DJ Bravo
1,10.2,SK Raina,JH Kallis,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,10.3,MS Dhoni,JH Kallis,NA,SK Raina,0,0,0,0,NA,NA,NA
1,10.4,MS Dhoni,JH Kallis,NA,SK Raina,0,0,0,0,NA,NA,NA
1,10.5,MS Dhoni,JH Kallis,NA,SK Raina,1,0,1,0,NA,NA,NA
1,10.6,SK Raina,JH Kallis,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,11.1,SK Raina,LR Shukla,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,11.2,MS Dhoni,LR Shukla,NA,SK Raina,1,0,1,0,NA,NA,NA
1,11.3,SK Raina,LR Shukla,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,11.4,MS Dhoni,LR Shukla,NA,SK Raina,2,0,2,0,NA,NA,NA
1,11.5,MS Dhoni,LR Shukla,NA,SK Raina,2,0,2,0,NA,NA,NA
1,11.6,MS Dhoni,LR Shukla,NA,SK Raina,0,0,0,0,NA,NA,NA
1,12.1,SK Raina,JH Kallis,NA,MS Dhoni,1,0,1,0,NA,NA,NA
