innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,LMP Simmons,R Ashwin,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.2,PA Patel,R Ashwin,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,0.3,PA Patel,R Ashwin,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,0.4,PA Patel,R Ashwin,NA,LMP Simmons,4,0,4,0,NA,NA,NA
1,0.5,PA Patel,R Ashwin,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,0.6,PA Patel,R Ashwin,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,1.1,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.2,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.3,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.4,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.5,LMP Simmons,A Nehra,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,1.6,LMP Simmons,A Nehra,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,1.7,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.8,LMP Simmons,A Nehra,NA,PA Patel,4,0,4,0,NA,NA,NA
1,2.1,PA Patel,R Ashwin,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,2.2,LMP Simmons,R Ashwin,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.3,LMP Simmons,R Ashwin,NA,PA Patel,1,0,1,0,NA,NA,NA
1,2.4,PA Patel,R Ashwin,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,2.5,LMP Simmons,R Ashwin,NA,PA Patel,1,0,1,0,NA,NA,NA
1,2.6,PA Patel,R Ashwin,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,3.1,LMP Simmons,A Nehra,NA,PA Patel,4,0,4,0,NA,NA,NA
1,3.2,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.3,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.4,LMP Simmons,A Nehra,NA,PA Patel,2,0,2,0,NA,NA,NA
1,3.5,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.6,LMP Simmons,A Nehra,1noballs,PA Patel,0,1,1,0,NA,NA,NA
1,3.7,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.1,PA Patel,R Ashwin,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,4.2,LMP Simmons,R Ashwin,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.3,LMP Simmons,R Ashwin,NA,PA Patel,6,0,6,0,NA,NA,NA
1,4.4,LMP Simmons,R Ashwin,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.5,LMP Simmons,R Ashwin,NA,PA Patel,6,0,6,0,NA,NA,NA
1,4.6,LMP Simmons,R Ashwin,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.1,PA Patel,A Nehra,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,5.2,PA Patel,A Nehra,NA,LMP Simmons,4,0,4,0,NA,NA,NA
1,5.3,PA Patel,A Nehra,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,5.4,LMP Simmons,A Nehra,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.5,LMP Simmons,A Nehra,NA,PA Patel,6,0,6,0,NA,NA,NA
1,5.6,LMP Simmons,A Nehra,NA,PA Patel,2,0,2,0,NA,NA,NA
1,6.1,PA Patel,P Negi,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,6.2,LMP Simmons,P Negi,NA,PA Patel,1,0,1,0,NA,NA,NA
1,6.3,PA Patel,P Negi,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,6.4,LMP Simmons,P Negi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,6.5,LMP Simmons,P Negi,NA,PA Patel,1,0,1,0,NA,NA,NA
1,6.6,PA Patel,P Negi,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,7.1,PA Patel,RA Jadeja,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,7.2,LMP Simmons,RA Jadeja,NA,PA Patel,0,0,0,0,NA,NA,NA
1,7.3,LMP Simmons,RA Jadeja,NA,PA Patel,6,0,6,0,NA,NA,NA
1,7.4,LMP Simmons,RA Jadeja,NA,PA Patel,2,0,2,0,NA,NA,NA
1,7.5,LMP Simmons,RA Jadeja,NA,PA Patel,0,0,0,0,NA,NA,NA
1,7.6,LMP Simmons,RA Jadeja,NA,PA Patel,0,0,0,0,NA,NA,NA
1,8.1,PA Patel,P Negi,NA,LMP Simmons,6,0,6,0,NA,NA,NA
1,8.2,PA Patel,P Negi,NA,LMP Simmons,4,0,4,0,NA,NA,NA
1,8.3,PA Patel,P Negi,NA,LMP Simmons,4,0,4,0,NA,NA,NA
1,8.4,PA Patel,P Negi,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,8.5,PA Patel,P Negi,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,8.6,LMP Simmons,P Negi,NA,PA Patel,1,0,1,0,NA,NA,NA
1,9.1,LMP Simmons,MM Sharma,NA,PA Patel,4,0,4,0,NA,NA,NA
