innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,F du Plessis,M Kartik,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,0.2,F du Plessis,M Kartik,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,0.3,S Badrinath,M Kartik,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.4,S Badrinath,M Kartik,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,0.5,S Badrinath,M Kartik,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,0.6,F du Plessis,M Kartik,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,1.1,S Badrinath,A Nehra,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.2,S Badrinath,A Nehra,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.3,S Badrinath,A Nehra,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.4,S Badrinath,A Nehra,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.5,S Badrinath,A Nehra,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,1.6,F du Plessis,A Nehra,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,2.1,F du Plessis,M Kartik,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,2.2,S Badrinath,M Kartik,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.3,S Badrinath,M Kartik,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.4,S Badrinath,M Kartik,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.5,S Badrinath,M Kartik,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.6,S Badrinath,M Kartik,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,3.1,F du Plessis,B Kumar,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,3.2,F du Plessis,B Kumar,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,3.3,F du Plessis,B Kumar,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,3.4,F du Plessis,B Kumar,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,3.5,F du Plessis,B Kumar,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,3.6,F du Plessis,B Kumar,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,4.1,S Badrinath,MN Samuels,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,4.2,S Badrinath,MN Samuels,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,4.3,S Badrinath,MN Samuels,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,4.4,F du Plessis,MN Samuels,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,4.5,S Badrinath,MN Samuels,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,4.6,F du Plessis,MN Samuels,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,5.1,S Badrinath,B Kumar,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,5.2,S Badrinath,B Kumar,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,5.3,F du Plessis,B Kumar,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,5.4,F du Plessis,B Kumar,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,5.5,F du Plessis,B Kumar,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,5.6,F du Plessis,B Kumar,1noballs,S Badrinath,1,1,2,0,NA,NA,NA
1,5.7,S Badrinath,B Kumar,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,6.1,S Badrinath,R Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,6.2,F du Plessis,R Sharma,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,6.3,F du Plessis,R Sharma,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,6.4,F du Plessis,R Sharma,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,6.5,F du Plessis,R Sharma,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,6.6,F du Plessis,R Sharma,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,7.1,S Badrinath,AD Mathews,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,7.2,S Badrinath,AD Mathews,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,7.3,S Badrinath,AD Mathews,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,7.4,F du Plessis,AD Mathews,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,7.5,F du Plessis,AD Mathews,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,7.6,S Badrinath,AD Mathews,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,8.1,F du Plessis,R Sharma,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,8.2,F du Plessis,R Sharma,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.3,S Badrinath,R Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,8.4,F du Plessis,R Sharma,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,8.5,F du Plessis,R Sharma,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,8.6,F du Plessis,R Sharma,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,9.1,F du Plessis,A Nehra,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,9.2,S Badrinath,A Nehra,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,9.3,S Badrinath,A Nehra,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,9.4,F du Plessis,A Nehra,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,9.5,S Badrinath,A Nehra,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,9.6,F du Plessis,A Nehra,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,10.1,S Badrinath,M Kartik,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,10.2,F du Plessis,M Kartik,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.3,S Badrinath,M Kartik,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,10.4,F du Plessis,M Kartik,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.5,S Badrinath,M Kartik,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,10.6,F du Plessis,M Kartik,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,11.1,F du Plessis,MN Samuels,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,11.2,F du Plessis,MN Samuels,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,11.3,S Badrinath,MN Samuels,NA,F du Plessis,1,0,1,0,NA,NA,NA
