innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,M Vijay,YK Pathan,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,0.2,ML Hayden,YK Pathan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,0.3,M Vijay,YK Pathan,NA,ML Hayden,4,0,4,0,NA,NA,NA
1,0.4,M Vijay,YK Pathan,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,0.5,M Vijay,YK Pathan,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,0.6,ML Hayden,YK Pathan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.1,ML Hayden,S Narwal,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.2,M Vijay,S Narwal,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,1.3,M Vijay,S Narwal,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,1.4,M Vijay,S Narwal,NA,ML Hayden,6,0,6,0,NA,NA,NA
1,1.5,M Vijay,S Narwal,NA,ML Hayden,4,0,4,0,NA,NA,NA
1,1.6,M Vijay,S Narwal,NA,ML Hayden,4,0,4,0,NA,NA,NA
1,2.1,ML Hayden,YK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.2,ML Hayden,YK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.3,ML Hayden,YK Pathan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.4,M Vijay,YK Pathan,NA,ML Hayden,6,0,6,0,NA,NA,NA
1,2.5,M Vijay,YK Pathan,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,2.6,ML Hayden,YK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.1,M Vijay,SW Tait,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,3.2,M Vijay,SW Tait,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,3.3,ML Hayden,SW Tait,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.4,ML Hayden,SW Tait,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.5,ML Hayden,SW Tait,NA,M Vijay,4,0,4,0,NA,NA,NA
1,3.6,ML Hayden,SW Tait,NA,M Vijay,1,0,1,0,NA,NA,NA
1,4.1,ML Hayden,SR Watson,NA,M Vijay,0,0,0,0,NA,NA,NA
1,4.2,ML Hayden,SR Watson,NA,M Vijay,4,0,4,0,NA,NA,NA
1,4.3,ML Hayden,SR Watson,NA,M Vijay,2,0,2,0,NA,NA,NA
1,4.4,ML Hayden,SR Watson,NA,M Vijay,6,0,6,0,NA,NA,NA
1,4.5,ML Hayden,SR Watson,NA,M Vijay,1,0,1,0,NA,NA,NA
1,4.6,M Vijay,SR Watson,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,5.1,ML Hayden,SB Wagh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,5.2,ML Hayden,SB Wagh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,5.3,ML Hayden,SB Wagh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,5.4,ML Hayden,SB Wagh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,5.5,ML Hayden,SB Wagh,NA,M Vijay,0,0,0,1,SR Watson,caught,ML Hayden
1,5.6,SK Raina,SB Wagh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,6.1,M Vijay,SW Tait,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.2,M Vijay,SW Tait,NA,SK Raina,4,0,4,0,NA,NA,NA
1,6.3,M Vijay,SW Tait,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.4,SK Raina,SW Tait,NA,M Vijay,4,0,4,0,NA,NA,NA
1,6.5,SK Raina,SW Tait,NA,M Vijay,2,0,2,0,NA,NA,NA
1,6.6,SK Raina,SW Tait,NA,M Vijay,0,0,0,0,NA,NA,NA
1,7.1,M Vijay,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.2,M Vijay,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.3,M Vijay,SR Watson,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.4,SK Raina,SR Watson,NA,M Vijay,1,0,1,0,NA,NA,NA
1,7.5,M Vijay,SR Watson,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.6,SK Raina,SR Watson,NA,M Vijay,2,0,2,0,NA,NA,NA
1,8.1,M Vijay,SK Warne,NA,SK Raina,1,0,1,0,NA,NA,NA
