innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,CH Gayle,DP Nannes,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.2,CH Gayle,DP Nannes,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.3,CH Gayle,DP Nannes,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.4,CH Gayle,DP Nannes,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.5,CH Gayle,DP Nannes,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.6,CH Gayle,DP Nannes,1wides,MA Agarwal,0,1,1,0,NA,NA,NA
1,0.7,CH Gayle,DP Nannes,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,1.1,MA Agarwal,CH Morris,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.2,CH Gayle,CH Morris,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,1.3,CH Gayle,CH Morris,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,1.4,CH Gayle,CH Morris,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,1.5,CH Gayle,CH Morris,NA,MA Agarwal,0,0,0,1,MS Dhoni,caught,CH Gayle
1,1.6,V Kohli,CH Morris,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,2.1,MA Agarwal,DP Nannes,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.2,MA Agarwal,DP Nannes,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.3,MA Agarwal,DP Nannes,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.4,MA Agarwal,DP Nannes,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.5,MA Agarwal,DP Nannes,NA,V Kohli,4,0,4,0,NA,NA,NA
1,2.6,MA Agarwal,DP Nannes,NA,V Kohli,1,0,1,0,NA,NA,NA
1,3.1,MA Agarwal,MM Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.2,MA Agarwal,MM Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.3,MA Agarwal,MM Sharma,NA,V Kohli,1,0,1,0,NA,NA,NA
1,3.4,V Kohli,MM Sharma,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,3.5,V Kohli,MM Sharma,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,3.6,MA Agarwal,MM Sharma,NA,V Kohli,4,0,4,0,NA,NA,NA
1,4.1,V Kohli,CH Morris,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,4.2,MA Agarwal,CH Morris,NA,V Kohli,1,0,1,0,NA,NA,NA
1,4.3,V Kohli,CH Morris,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,4.4,V Kohli,CH Morris,NA,MA Agarwal,3,0,3,0,NA,NA,NA
1,4.5,MA Agarwal,CH Morris,NA,V Kohli,0,0,0,0,NA,NA,NA
1,4.6,MA Agarwal,CH Morris,NA,V Kohli,0,0,0,0,NA,NA,NA
1,5.1,V Kohli,MM Sharma,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,5.2,V Kohli,MM Sharma,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,5.3,MA Agarwal,MM Sharma,NA,V Kohli,1,0,1,0,NA,NA,NA
1,5.4,V Kohli,MM Sharma,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,5.5,V Kohli,MM Sharma,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,5.6,V Kohli,MM Sharma,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,6.1,V Kohli,R Ashwin,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,6.2,V Kohli,R Ashwin,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,6.3,V Kohli,R Ashwin,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,6.4,V Kohli,R Ashwin,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,6.5,V Kohli,R Ashwin,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,6.6,MA Agarwal,R Ashwin,NA,V Kohli,1,0,1,0,NA,NA,NA
1,7.1,MA Agarwal,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,7.2,V Kohli,RA Jadeja,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,7.3,MA Agarwal,RA Jadeja,NA,V Kohli,6,0,6,0,NA,NA,NA
1,7.4,MA Agarwal,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,7.5,V Kohli,RA Jadeja,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,7.6,V Kohli,RA Jadeja,NA,MA Agarwal,2,0,2,0,NA,NA,NA
1,8.1,MA Agarwal,R Ashwin,NA,V Kohli,1,0,1,0,NA,NA,NA
1,8.2,V Kohli,R Ashwin,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,8.3,MA Agarwal,R Ashwin,NA,V Kohli,1,0,1,0,NA,NA,NA
1,8.4,V Kohli,R Ashwin,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,8.5,MA Agarwal,R Ashwin,1wides,V Kohli,0,1,1,1,MS Dhoni,stumped,MA Agarwal
1,8.6,AB de Villiers,R Ashwin,NA,V Kohli,0,0,0,0,NA,NA,NA
1,8.7,AB de Villiers,R Ashwin,NA,V Kohli,4,0,4,0,NA,NA,NA
1,9.1,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.2,AB de Villiers,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,9.3,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.4,AB de Villiers,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,9.5,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.6,AB de Villiers,RA Jadeja,NA,V Kohli,4,0,4,0,NA,NA,NA
1,10.1,V Kohli,R Ashwin,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,10.2,AB de Villiers,R Ashwin,NA,V Kohli,1,0,1,0,NA,NA,NA
1,10.3,V Kohli,R Ashwin,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,10.4,V Kohli,R Ashwin,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,10.5,AB de Villiers,R Ashwin,NA,V Kohli,1,0,1,0,NA,NA,NA
1,10.6,V Kohli,R Ashwin,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,11.1,V Kohli,DJ Bravo,NA,AB de Villiers,2,0,2,0,NA,NA,NA
