innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,Q de Kock,MM Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.2,Q de Kock,MM Sharma,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,0.3,Q de Kock,MM Sharma,NA,S Dhawan,0,0,0,1,M Vijay,caught,Q de Kock
1,0.4,GH Vihari,MM Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.5,GH Vihari,MM Sharma,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.6,S Dhawan,MM Sharma,NA,GH Vihari,1,0,1,0,NA,NA,NA
1,1.1,S Dhawan,JO Holder,1wides,GH Vihari,0,1,1,0,NA,NA,NA
1,1.2,S Dhawan,JO Holder,NA,GH Vihari,0,0,0,0,NA,NA,NA
1,1.3,S Dhawan,JO Holder,1wides,GH Vihari,0,1,1,0,NA,NA,NA
1,1.4,S Dhawan,JO Holder,NA,GH Vihari,1,0,1,0,NA,NA,NA
1,1.5,GH Vihari,JO Holder,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.6,S Dhawan,JO Holder,NA,GH Vihari,0,0,0,0,NA,NA,NA
1,1.7,S Dhawan,JO Holder,NA,GH Vihari,2,0,2,0,NA,NA,NA
1,1.8,S Dhawan,JO Holder,NA,GH Vihari,0,0,0,1,SK Raina,run out,GH Vihari
1,2.1,S Dhawan,MM Sharma,NA,CL White,0,0,0,0,NA,NA,NA
1,2.2,S Dhawan,MM Sharma,NA,CL White,0,0,0,0,NA,NA,NA
1,2.3,S Dhawan,MM Sharma,NA,CL White,0,0,0,0,NA,NA,NA
1,2.4,S Dhawan,MM Sharma,NA,CL White,0,0,0,0,NA,NA,NA
1,2.5,S Dhawan,MM Sharma,NA,CL White,1,0,1,0,NA,NA,NA
1,2.6,CL White,MM Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.1,S Dhawan,JO Holder,4legbyes,CL White,0,4,4,0,NA,NA,NA
1,3.2,S Dhawan,JO Holder,NA,CL White,4,0,4,0,NA,NA,NA
1,3.3,S Dhawan,JO Holder,NA,CL White,0,0,0,0,NA,NA,NA
1,3.4,S Dhawan,JO Holder,NA,CL White,4,0,4,0,NA,NA,NA
1,3.5,S Dhawan,JO Holder,NA,CL White,1,0,1,0,NA,NA,NA
1,3.6,CL White,JO Holder,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,4.1,S Dhawan,MM Sharma,NA,CL White,4,0,4,0,NA,NA,NA
1,4.2,S Dhawan,MM Sharma,NA,CL White,0,0,0,0,NA,NA,NA
1,4.3,S Dhawan,MM Sharma,NA,CL White,4,0,4,0,NA,NA,NA
1,4.4,S Dhawan,MM Sharma,NA,CL White,1,0,1,0,NA,NA,NA
1,4.5,CL White,MM Sharma,NA,S Dhawan,0,0,0,1,MS Dhoni,caught,CL White
1,4.6,A Mishra,MM Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,5.1,S Dhawan,R Ashwin,NA,A Mishra,1,0,1,0,NA,NA,NA
1,5.2,A Mishra,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,5.3,A Mishra,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,5.4,A Mishra,R Ashwin,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,5.5,S Dhawan,R Ashwin,NA,A Mishra,1,0,1,0,NA,NA,NA
1,5.6,A Mishra,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.1,S Dhawan,JO Holder,NA,A Mishra,1,0,1,0,NA,NA,NA
1,6.2,A Mishra,JO Holder,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.3,A Mishra,JO Holder,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.4,A Mishra,JO Holder,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.5,A Mishra,JO Holder,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,6.6,A Mishra,JO Holder,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,7.1,S Dhawan,R Ashwin,NA,A Mishra,1,0,1,0,NA,NA,NA
1,7.2,A Mishra,R Ashwin,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.3,S Dhawan,R Ashwin,NA,A Mishra,1,0,1,0,NA,NA,NA
1,7.4,A Mishra,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,7.5,A Mishra,R Ashwin,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.6,S Dhawan,R Ashwin,NA,A Mishra,0,0,0,0,NA,NA,NA
1,8.1,A Mishra,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,8.2,A Mishra,CH Morris,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,8.3,S Dhawan,CH Morris,NA,A Mishra,1,0,1,0,NA,NA,NA
1,8.4,A Mishra,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,8.5,A Mishra,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,8.6,A Mishra,CH Morris,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,9.1,S Dhawan,R Ashwin,1legbyes,A Mishra,0,1,1,0,NA,NA,NA
1,9.2,A Mishra,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,9.3,A Mishra,R Ashwin,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,9.4,S Dhawan,R Ashwin,1wides,A Mishra,0,1,1,0,NA,NA,NA
1,9.5,S Dhawan,R Ashwin,NA,A Mishra,1,0,1,0,NA,NA,NA
1,9.6,A Mishra,R Ashwin,NA,S Dhawan,0,0,0,1,DJ Bravo,caught,A Mishra
1,9.7,S Dhawan,R Ashwin,NA,X Thalaivan Sargunam,1,0,1,0,NA,NA,NA
1,10.1,S Dhawan,CH Morris,NA,X Thalaivan Sargunam,1,0,1,0,NA,NA,NA
1,10.2,X Thalaivan Sargunam,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,10.3,X Thalaivan Sargunam,CH Morris,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,10.4,X Thalaivan Sargunam,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,10.5,X Thalaivan Sargunam,CH Morris,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,10.6,S Dhawan,CH Morris,NA,X Thalaivan Sargunam,1,0,1,0,NA,NA,NA
1,11.1,S Dhawan,R Ashwin,NA,X Thalaivan Sargunam,4,0,4,0,NA,NA,NA
