innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,M Vijay,RJ Harris,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,0.2,ML Hayden,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.3,ML Hayden,RJ Harris,NA,M Vijay,4,0,4,0,NA,NA,NA
1,0.4,ML Hayden,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.5,ML Hayden,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.6,ML Hayden,RJ Harris,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.1,ML Hayden,RP Singh,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,1.2,ML Hayden,RP Singh,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.3,M Vijay,RP Singh,NA,ML Hayden,2,0,2,0,NA,NA,NA
1,1.4,M Vijay,RP Singh,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,1.5,ML Hayden,RP Singh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,1.6,ML Hayden,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.7,ML Hayden,RP Singh,NA,M Vijay,2,0,2,0,NA,NA,NA
1,2.1,M Vijay,RJ Harris,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,2.2,ML Hayden,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.3,ML Hayden,RJ Harris,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.4,M Vijay,RJ Harris,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,2.5,ML Hayden,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.6,ML Hayden,RJ Harris,NA,M Vijay,1,0,1,0,NA,NA,NA
1,3.1,ML Hayden,RG Sharma,NA,M Vijay,1,0,1,0,NA,NA,NA
