innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,GD McGrath,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,0.2,AC Gilchrist,GD McGrath,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,0.3,AC Gilchrist,GD McGrath,1legbyes,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,0.4,Y Venugopal Rao,GD McGrath,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.5,Y Venugopal Rao,GD McGrath,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.6,Y Venugopal Rao,GD McGrath,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.1,AC Gilchrist,Mohammad Asif,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,1.2,AC Gilchrist,Mohammad Asif,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,1.3,AC Gilchrist,Mohammad Asif,NA,Y Venugopal Rao,6,0,6,0,NA,NA,NA
1,1.4,AC Gilchrist,Mohammad Asif,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,1.5,AC Gilchrist,Mohammad Asif,NA,Y Venugopal Rao,2,0,2,0,NA,NA,NA
1,1.6,AC Gilchrist,Mohammad Asif,NA,Y Venugopal Rao,0,0,0,1,NA,bowled,AC Gilchrist
1,2.1,Y Venugopal Rao,GD McGrath,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.2,Y Venugopal Rao,GD McGrath,NA,VVS Laxman,2,0,2,0,NA,NA,NA
1,2.3,Y Venugopal Rao,GD McGrath,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.4,Y Venugopal Rao,GD McGrath,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.5,Y Venugopal Rao,GD McGrath,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.6,Y Venugopal Rao,GD McGrath,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,3.1,VVS Laxman,Mohammad Asif,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,3.2,VVS Laxman,Mohammad Asif,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,3.3,VVS Laxman,Mohammad Asif,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,3.4,VVS Laxman,Mohammad Asif,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,3.5,Y Venugopal Rao,Mohammad Asif,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,3.6,Y Venugopal Rao,Mohammad Asif,NA,VVS Laxman,0,0,0,0,NA,NA,NA
