innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,IK Pathan,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,0.2,VVS Laxman,IK Pathan,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.3,VVS Laxman,IK Pathan,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,0.4,AC Gilchrist,IK Pathan,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,0.5,AC Gilchrist,IK Pathan,NA,VVS Laxman,2,0,2,0,NA,NA,NA
1,0.6,AC Gilchrist,IK Pathan,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,1.1,VVS Laxman,S Sreesanth,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,1.2,AC Gilchrist,S Sreesanth,NA,VVS Laxman,2,0,2,0,NA,NA,NA
1,1.3,AC Gilchrist,S Sreesanth,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,1.4,AC Gilchrist,S Sreesanth,NA,VVS Laxman,6,0,6,0,NA,NA,NA
1,1.5,AC Gilchrist,S Sreesanth,1wides,VVS Laxman,0,1,1,0,NA,NA,NA
1,1.6,AC Gilchrist,S Sreesanth,NA,VVS Laxman,6,0,6,0,NA,NA,NA
1,1.7,AC Gilchrist,S Sreesanth,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,2.1,VVS Laxman,SJ Srivastava,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
1,2.2,VVS Laxman,SJ Srivastava,NA,AC Gilchrist,2,0,2,0,NA,NA,NA
1,2.3,VVS Laxman,SJ Srivastava,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,2.4,AC Gilchrist,SJ Srivastava,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,2.5,AC Gilchrist,SJ Srivastava,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,2.6,AC Gilchrist,SJ Srivastava,NA,VVS Laxman,0,0,0,1,DPMD Jayawardene,caught,AC Gilchrist
1,3.1,HH Gibbs,S Sreesanth,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,3.2,HH Gibbs,S Sreesanth,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,3.3,VVS Laxman,S Sreesanth,NA,HH Gibbs,1,0,1,1,NA,retired hurt,VVS Laxman
1,3.4,HH Gibbs,S Sreesanth,NA,A Symonds,0,0,0,0,NA,NA,NA
1,3.5,HH Gibbs,S Sreesanth,NA,A Symonds,1,0,1,0,NA,NA,NA
1,3.6,A Symonds,S Sreesanth,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,4.1,HH Gibbs,SJ Srivastava,NA,A Symonds,0,0,0,0,NA,NA,NA
1,4.2,HH Gibbs,SJ Srivastava,NA,A Symonds,1,0,1,0,NA,NA,NA
1,4.3,A Symonds,SJ Srivastava,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,4.4,A Symonds,SJ Srivastava,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,4.5,HH Gibbs,SJ Srivastava,NA,A Symonds,1,0,1,0,NA,NA,NA
1,4.6,A Symonds,SJ Srivastava,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,5.1,HH Gibbs,PP Chawla,NA,A Symonds,0,0,0,0,NA,NA,NA
1,5.2,HH Gibbs,PP Chawla,NA,A Symonds,1,0,1,0,NA,NA,NA
