innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,BB McCullum,FH Edwards,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.2,BB McCullum,FH Edwards,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,0.3,CH Gayle,FH Edwards,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.4,CH Gayle,FH Edwards,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.5,CH Gayle,FH Edwards,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.6,CH Gayle,FH Edwards,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.1,BB McCullum,RP Singh,NA,CH Gayle,0,0,0,1,AC Gilchrist,caught,BB McCullum
1,1.2,SC Ganguly,RP Singh,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.3,CH Gayle,RP Singh,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.4,CH Gayle,RP Singh,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.5,CH Gayle,RP Singh,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.6,CH Gayle,RP Singh,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.1,SC Ganguly,FH Edwards,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.2,SC Ganguly,FH Edwards,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.3,SC Ganguly,FH Edwards,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.4,SC Ganguly,FH Edwards,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.5,SC Ganguly,FH Edwards,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.6,SC Ganguly,FH Edwards,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.1,CH Gayle,RP Singh,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,3.2,CH Gayle,RP Singh,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,3.3,CH Gayle,RP Singh,NA,SC Ganguly,6,0,6,0,NA,NA,NA
1,3.4,CH Gayle,RP Singh,NA,SC Ganguly,0,0,0,1,Harmeet Singh,caught,CH Gayle
1,3.5,SC Ganguly,RP Singh,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,3.6,SC Ganguly,RP Singh,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,4.1,BJ Hodge,FH Edwards,2legbyes,SC Ganguly,0,2,2,0,NA,NA,NA
1,4.2,BJ Hodge,FH Edwards,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.3,BJ Hodge,FH Edwards,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.4,BJ Hodge,FH Edwards,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,4.5,SC Ganguly,FH Edwards,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,4.6,SC Ganguly,FH Edwards,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,5.1,BJ Hodge,Harmeet Singh,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,5.2,SC Ganguly,Harmeet Singh,NA,BJ Hodge,0,0,0,1,VVS Laxman,caught,SC Ganguly
1,5.3,A Chopra,Harmeet Singh,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,5.4,A Chopra,Harmeet Singh,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,5.5,A Chopra,Harmeet Singh,1wides,BJ Hodge,0,1,1,0,NA,NA,NA
1,5.6,A Chopra,Harmeet Singh,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,5.7,A Chopra,Harmeet Singh,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,6.1,BJ Hodge,PP Ojha,NA,A Chopra,1,0,1,0,NA,NA,NA
1,6.2,A Chopra,PP Ojha,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,6.3,A Chopra,PP Ojha,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,6.4,A Chopra,PP Ojha,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,6.5,BJ Hodge,PP Ojha,NA,A Chopra,0,0,0,0,NA,NA,NA
