innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DJ Jacobs,A Mishra,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,0.2,SR Tendulkar,A Mishra,NA,DJ Jacobs,0,0,0,0,NA,NA,NA
1,0.3,SR Tendulkar,A Mishra,NA,DJ Jacobs,1,0,1,0,NA,NA,NA
1,0.4,DJ Jacobs,A Mishra,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.5,DJ Jacobs,A Mishra,NA,SR Tendulkar,4,0,4,0,NA,NA,NA
1,0.6,DJ Jacobs,A Mishra,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,1.1,SR Tendulkar,DW Steyn,NA,DJ Jacobs,4,0,4,0,NA,NA,NA
1,1.2,SR Tendulkar,DW Steyn,NA,DJ Jacobs,0,0,0,0,NA,NA,NA
1,1.3,SR Tendulkar,DW Steyn,NA,DJ Jacobs,4,0,4,0,NA,NA,NA
1,1.4,SR Tendulkar,DW Steyn,NA,DJ Jacobs,1,0,1,0,NA,NA,NA
1,1.5,DJ Jacobs,DW Steyn,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,1.6,DJ Jacobs,DW Steyn,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.1,SR Tendulkar,PP Ojha,NA,DJ Jacobs,2,0,2,0,NA,NA,NA
1,2.2,SR Tendulkar,PP Ojha,NA,DJ Jacobs,1,0,1,0,NA,NA,NA
1,2.3,DJ Jacobs,PP Ojha,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.4,DJ Jacobs,PP Ojha,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.5,DJ Jacobs,PP Ojha,NA,SR Tendulkar,6,0,6,0,NA,NA,NA
1,2.6,DJ Jacobs,PP Ojha,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,3.1,DJ Jacobs,I Sharma,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,3.2,DJ Jacobs,I Sharma,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,3.3,SR Tendulkar,I Sharma,NA,DJ Jacobs,1,0,1,0,NA,NA,NA
1,3.4,DJ Jacobs,I Sharma,NA,SR Tendulkar,4,0,4,0,NA,NA,NA
1,3.5,DJ Jacobs,I Sharma,NA,SR Tendulkar,4,0,4,0,NA,NA,NA
1,3.6,DJ Jacobs,I Sharma,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,4.1,DJ Jacobs,DT Christian,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,4.2,SR Tendulkar,DT Christian,NA,DJ Jacobs,0,0,0,0,NA,NA,NA
1,4.3,SR Tendulkar,DT Christian,NA,DJ Jacobs,1,0,1,0,NA,NA,NA
1,4.4,DJ Jacobs,DT Christian,NA,SR Tendulkar,4,0,4,0,NA,NA,NA
1,4.5,DJ Jacobs,DT Christian,NA,SR Tendulkar,4,0,4,0,NA,NA,NA
1,4.6,DJ Jacobs,DT Christian,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,5.1,DJ Jacobs,I Sharma,NA,SR Tendulkar,0,0,0,1,PP Ojha,caught,DJ Jacobs
1,5.2,SR Tendulkar,I Sharma,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,5.3,SR Tendulkar,I Sharma,NA,AT Rayudu,4,0,4,0,NA,NA,NA
1,5.4,SR Tendulkar,I Sharma,NA,AT Rayudu,4,0,4,0,NA,NA,NA
1,5.5,SR Tendulkar,I Sharma,1wides,AT Rayudu,0,1,1,0,NA,NA,NA
1,5.6,SR Tendulkar,I Sharma,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,5.7,SR Tendulkar,I Sharma,1legbyes,AT Rayudu,0,1,1,0,NA,NA,NA
1,6.1,SR Tendulkar,PP Ojha,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,6.2,AT Rayudu,PP Ojha,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,6.3,SR Tendulkar,PP Ojha,1wides,AT Rayudu,0,1,1,0,NA,NA,NA
1,6.4,SR Tendulkar,PP Ojha,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,6.5,AT Rayudu,PP Ojha,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,6.6,SR Tendulkar,PP Ojha,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,6.7,AT Rayudu,PP Ojha,NA,SR Tendulkar,2,0,2,0,NA,NA,NA
1,7.1,SR Tendulkar,DT Christian,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,7.2,SR Tendulkar,DT Christian,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,7.3,AT Rayudu,DT Christian,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,7.4,SR Tendulkar,DT Christian,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,7.5,SR Tendulkar,DT Christian,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,7.6,AT Rayudu,DT Christian,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,8.1,AT Rayudu,A Mishra,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,8.2,SR Tendulkar,A Mishra,NA,AT Rayudu,0,0,0,1,DW Steyn,caught,SR Tendulkar
1,8.3,AT Rayudu,A Mishra,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,8.4,AT Rayudu,A Mishra,NA,KA Pollard,0,0,0,1,S Dhawan,caught,AT Rayudu
1,8.5,RG Sharma,A Mishra,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,8.6,RG Sharma,A Mishra,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,9.1,KA Pollard,PP Ojha,NA,RG Sharma,0,0,0,1,KC Sangakkara,caught,KA Pollard
1,9.2,RG Sharma,PP Ojha,NA,A Symonds,0,0,0,0,NA,NA,NA
1,9.3,RG Sharma,PP Ojha,NA,A Symonds,1,0,1,0,NA,NA,NA
1,9.4,A Symonds,PP Ojha,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,9.5,A Symonds,PP Ojha,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,9.6,RG Sharma,PP Ojha,NA,A Symonds,0,0,0,0,NA,NA,NA
1,10.1,A Symonds,A Mishra,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,10.2,A Symonds,A Mishra,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,10.3,A Symonds,A Mishra,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,10.4,A Symonds,A Mishra,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,10.5,RG Sharma,A Mishra,NA,A Symonds,1,0,1,0,NA,NA,NA
1,10.6,A Symonds,A Mishra,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,11.1,RG Sharma,DW Steyn,NA,A Symonds,0,0,0,0,NA,NA,NA
1,11.2,RG Sharma,DW Steyn,NA,A Symonds,1,0,1,0,NA,NA,NA
1,11.3,A Symonds,DW Steyn,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,11.4,RG Sharma,DW Steyn,NA,A Symonds,0,0,0,0,NA,NA,NA
1,11.5,RG Sharma,DW Steyn,NA,A Symonds,1,0,1,0,NA,NA,NA
1,11.6,A Symonds,DW Steyn,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,12.1,A Symonds,PP Ojha,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,12.2,RG Sharma,PP Ojha,NA,A Symonds,0,0,0,0,NA,NA,NA
1,12.3,RG Sharma,PP Ojha,NA,A Symonds,4,0,4,0,NA,NA,NA
1,12.4,RG Sharma,PP Ojha,NA,A Symonds,2,0,2,0,NA,NA,NA
1,12.5,RG Sharma,PP Ojha,NA,A Symonds,0,0,0,0,NA,NA,NA
1,12.6,RG Sharma,PP Ojha,NA,A Symonds,2,0,2,0,NA,NA,NA
