innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,S Dhawan,B Kumar,NA,DB Ravi Teja,0,0,0,0,NA,NA,NA
1,0.2,S Dhawan,B Kumar,NA,DB Ravi Teja,0,0,0,0,NA,NA,NA
1,0.3,S Dhawan,B Kumar,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,0.4,DB Ravi Teja,B Kumar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.5,S Dhawan,B Kumar,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,0.6,DB Ravi Teja,B Kumar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.1,DB Ravi Teja,SB Wagh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.2,DB Ravi Teja,SB Wagh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.3,DB Ravi Teja,SB Wagh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.4,DB Ravi Teja,SB Wagh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.5,DB Ravi Teja,SB Wagh,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,1.6,DB Ravi Teja,SB Wagh,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,2.1,S Dhawan,B Kumar,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,2.2,DB Ravi Teja,B Kumar,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,2.3,DB Ravi Teja,B Kumar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.4,S Dhawan,B Kumar,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,2.5,DB Ravi Teja,B Kumar,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.6,DB Ravi Teja,B Kumar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.1,DB Ravi Teja,WD Parnell,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.2,S Dhawan,WD Parnell,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,3.3,DB Ravi Teja,WD Parnell,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.4,DB Ravi Teja,WD Parnell,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,3.5,DB Ravi Teja,WD Parnell,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.6,S Dhawan,WD Parnell,NA,DB Ravi Teja,4,0,4,0,NA,NA,NA
