innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,S Dhawan,JDP Oram,NA,IR Jaggi,5,0,5,0,NA,NA,NA
1,0.2,IR Jaggi,JDP Oram,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.3,IR Jaggi,JDP Oram,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.4,IR Jaggi,JDP Oram,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.5,S Dhawan,JDP Oram,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,0.6,S Dhawan,JDP Oram,NA,IR Jaggi,4,0,4,0,NA,NA,NA
1,1.1,IR Jaggi,A Singh,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,1.2,IR Jaggi,A Singh,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,1.3,IR Jaggi,A Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.4,S Dhawan,A Singh,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,1.5,IR Jaggi,A Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.6,IR Jaggi,A Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.1,S Dhawan,J Botha,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,2.2,S Dhawan,J Botha,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,2.3,IR Jaggi,J Botha,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.4,S Dhawan,J Botha,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,2.5,IR Jaggi,J Botha,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.6,IR Jaggi,J Botha,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,3.1,S Dhawan,JDP Oram,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,3.2,S Dhawan,JDP Oram,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,3.3,IR Jaggi,JDP Oram,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.4,IR Jaggi,JDP Oram,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.5,S Dhawan,JDP Oram,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,3.6,IR Jaggi,JDP Oram,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,4.1,S Dhawan,A Singh,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,4.2,S Dhawan,A Singh,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,4.3,S Dhawan,A Singh,NA,IR Jaggi,6,0,6,0,NA,NA,NA
1,4.4,S Dhawan,A Singh,NA,IR Jaggi,4,0,4,0,NA,NA,NA
1,4.5,S Dhawan,A Singh,NA,IR Jaggi,0,0,0,1,AS Raut,caught,S Dhawan
1,4.6,IR Jaggi,A Singh,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,5.1,KC Sangakkara,SK Trivedi,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,5.2,KC Sangakkara,SK Trivedi,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,5.3,KC Sangakkara,SK Trivedi,NA,IR Jaggi,0,0,0,1,AG Paunikar,caught,KC Sangakkara
1,5.4,B Chipli,SK Trivedi,NA,IR Jaggi,4,0,4,0,NA,NA,NA
1,5.5,B Chipli,SK Trivedi,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,5.6,B Chipli,SK Trivedi,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,6.1,IR Jaggi,SK Warne,NA,B Chipli,0,0,0,0,NA,NA,NA
1,6.2,IR Jaggi,SK Warne,NA,B Chipli,0,0,0,0,NA,NA,NA
1,6.3,IR Jaggi,SK Warne,4wides,B Chipli,0,4,4,0,NA,NA,NA
1,6.4,B Chipli,SK Warne,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,6.5,B Chipli,SK Warne,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,6.6,IR Jaggi,SK Warne,NA,B Chipli,2,0,2,0,NA,NA,NA
1,6.7,IR Jaggi,SK Warne,NA,B Chipli,0,0,0,0,NA,NA,NA
1,7.1,B Chipli,SK Trivedi,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,7.2,B Chipli,SK Trivedi,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,7.3,IR Jaggi,SK Trivedi,NA,B Chipli,1,0,1,0,NA,NA,NA
1,7.4,B Chipli,SK Trivedi,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,7.5,B Chipli,SK Trivedi,NA,IR Jaggi,0,0,0,1,NA,bowled,B Chipli
1,7.6,JP Duminy,SK Trivedi,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,8.1,JP Duminy,SK Warne,NA,IR Jaggi,6,0,6,0,NA,NA,NA
1,8.2,JP Duminy,SK Warne,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,8.3,IR Jaggi,SK Warne,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,8.4,JP Duminy,SK Warne,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,8.5,IR Jaggi,SK Warne,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,8.6,IR Jaggi,SK Warne,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,9.1,IR Jaggi,J Botha,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,9.2,JP Duminy,J Botha,NA,IR Jaggi,1,0,1,0,NA,NA,NA
1,9.3,IR Jaggi,J Botha,NA,JP Duminy,2,0,2,0,NA,NA,NA
1,9.4,IR Jaggi,J Botha,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,9.5,IR Jaggi,J Botha,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,9.6,JP Duminy,J Botha,NA,IR Jaggi,0,0,0,0,NA,NA,NA
1,10.1,IR Jaggi,SK Warne,NA,JP Duminy,0,0,0,1,J Botha,caught,IR Jaggi
1,10.2,JP Duminy,SK Warne,NA,DT Christian,1,0,1,0,NA,NA,NA
1,10.3,DT Christian,SK Warne,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,10.4,DT Christian,SK Warne,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,10.5,JP Duminy,SK Warne,NA,DT Christian,0,0,0,0,NA,NA,NA
1,10.6,JP Duminy,SK Warne,NA,DT Christian,0,0,0,0,NA,NA,NA
1,11.1,DT Christian,J Botha,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,11.2,JP Duminy,J Botha,NA,DT Christian,1,0,1,0,NA,NA,NA
1,11.3,DT Christian,J Botha,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,11.4,JP Duminy,J Botha,NA,DT Christian,0,0,0,0,NA,NA,NA
1,11.5,JP Duminy,J Botha,NA,DT Christian,1,0,1,0,NA,NA,NA
1,11.6,DT Christian,J Botha,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,12.1,JP Duminy,SK Warne,NA,DT Christian,0,0,0,0,NA,NA,NA
1,12.2,JP Duminy,SK Warne,NA,DT Christian,0,0,0,0,NA,NA,NA
1,12.3,JP Duminy,SK Warne,NA,DT Christian,0,0,0,0,NA,NA,NA
1,12.4,JP Duminy,SK Warne,NA,DT Christian,1,0,1,0,NA,NA,NA
1,12.5,DT Christian,SK Warne,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,12.6,JP Duminy,SK Warne,NA,DT Christian,0,0,0,1,J Botha,caught,JP Duminy
1,13.1,DB Ravi Teja,SK Trivedi,NA,DT Christian,1,0,1,0,NA,NA,NA
1,13.2,DT Christian,SK Trivedi,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,13.3,DB Ravi Teja,SK Trivedi,NA,DT Christian,0,0,0,0,NA,NA,NA
1,13.4,DB Ravi Teja,SK Trivedi,NA,DT Christian,2,0,2,0,NA,NA,NA
1,13.5,DB Ravi Teja,SK Trivedi,NA,DT Christian,0,0,0,0,NA,NA,NA
1,13.6,DB Ravi Teja,SK Trivedi,NA,DT Christian,1,0,1,0,NA,NA,NA
1,14.1,DB Ravi Teja,AL Menaria,NA,DT Christian,1,0,1,0,NA,NA,NA
1,14.2,DT Christian,AL Menaria,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,14.3,DB Ravi Teja,AL Menaria,NA,DT Christian,4,0,4,0,NA,NA,NA
1,14.4,DB Ravi Teja,AL Menaria,NA,DT Christian,1,0,1,0,NA,NA,NA
1,14.5,DT Christian,AL Menaria,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,14.6,DB Ravi Teja,AL Menaria,NA,DT Christian,0,0,0,0,NA,NA,NA
1,15.1,DT Christian,J Botha,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,15.2,DB Ravi Teja,J Botha,NA,DT Christian,1,0,1,0,NA,NA,NA
1,15.3,DT Christian,J Botha,NA,DB Ravi Teja,4,0,4,0,NA,NA,NA
1,15.4,DT Christian,J Botha,NA,DB Ravi Teja,6,0,6,0,NA,NA,NA
1,15.5,DT Christian,J Botha,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,15.6,DB Ravi Teja,J Botha,NA,DT Christian,2,0,2,0,NA,NA,NA
1,16.1,DT Christian,A Singh,NA,DB Ravi Teja,0,0,0,0,NA,NA,NA
1,16.2,DT Christian,A Singh,NA,DB Ravi Teja,6,0,6,0,NA,NA,NA
1,16.3,DT Christian,A Singh,NA,DB Ravi Teja,0,0,0,0,NA,NA,NA
1,16.4,DT Christian,A Singh,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,16.5,DB Ravi Teja,A Singh,NA,DT Christian,0,0,0,0,NA,NA,NA
1,16.6,DB Ravi Teja,A Singh,NA,DT Christian,1,0,1,0,NA,NA,NA
1,17.1,DB Ravi Teja,SK Trivedi,NA,DT Christian,1,0,1,0,NA,NA,NA
1,17.2,DT Christian,SK Trivedi,NA,DB Ravi Teja,0,0,0,0,NA,NA,NA
1,17.3,DT Christian,SK Trivedi,NA,DB Ravi Teja,0,0,0,1,AM Rahane (sub),caught,DT Christian
1,17.4,DB Ravi Teja,SK Trivedi,NA,DW Steyn,1,0,1,0,NA,NA,NA
1,17.5,DW Steyn,SK Trivedi,NA,DB Ravi Teja,0,0,0,0,NA,NA,NA
1,17.6,DW Steyn,SK Trivedi,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,18.1,DW Steyn,STR Binny,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,18.2,DB Ravi Teja,STR Binny,NA,DW Steyn,6,0,6,0,NA,NA,NA
1,18.3,DB Ravi Teja,STR Binny,NA,DW Steyn,1,0,1,0,NA,NA,NA
1,18.4,DW Steyn,STR Binny,NA,DB Ravi Teja,1,0,1,0,NA,NA,NA
1,18.5,DB Ravi Teja,STR Binny,NA,DW Steyn,4,0,4,0,NA,NA,NA
1,18.6,DB Ravi Teja,STR Binny,NA,DW Steyn,1,0,1,0,NA,NA,NA
1,19.1,DB Ravi Teja,A Singh,NA,DW Steyn,0,0,0,1,AL Menaria,caught,DB Ravi Teja
1,19.2,DW Steyn,A Singh,NA,A Mishra,4,0,4,0,NA,NA,NA
1,19.3,DW Steyn,A Singh,NA,A Mishra,0,0,0,1,J Botha,caught,DW Steyn
1,19.4,A Mishra,A Singh,NA,I Sharma,1,0,1,0,NA,NA,NA
1,19.5,I Sharma,A Singh,NA,A Mishra,1,0,1,0,NA,NA,NA
1,19.6,A Mishra,A Singh,NA,I Sharma,1,0,1,0,NA,NA,NA
2,0.1,AG Paunikar,PP Ojha,NA,R Dravid,4,0,4,0,NA,NA,NA
2,0.2,AG Paunikar,PP Ojha,NA,R Dravid,4,0,4,0,NA,NA,NA
2,0.3,AG Paunikar,PP Ojha,NA,R Dravid,2,0,2,0,NA,NA,NA
2,0.4,AG Paunikar,PP Ojha,NA,R Dravid,1,0,1,0,NA,NA,NA
