innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,A Kumble,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,0.2,HH Gibbs,A Kumble,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.3,HH Gibbs,A Kumble,5wides,AC Gilchrist,0,5,5,0,NA,NA,NA
1,0.4,HH Gibbs,A Kumble,1legbyes,AC Gilchrist,0,1,1,0,NA,NA,NA
1,0.5,AC Gilchrist,A Kumble,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,0.6,AC Gilchrist,A Kumble,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,0.7,HH Gibbs,A Kumble,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.1,AC Gilchrist,DW Steyn,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,1.2,HH Gibbs,DW Steyn,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.3,HH Gibbs,DW Steyn,1wides,AC Gilchrist,0,1,1,0,NA,NA,NA
1,1.4,HH Gibbs,DW Steyn,NA,AC Gilchrist,2,0,2,0,NA,NA,NA
1,1.5,HH Gibbs,DW Steyn,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
1,1.6,HH Gibbs,DW Steyn,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.7,HH Gibbs,DW Steyn,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,2.1,HH Gibbs,A Kumble,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,2.2,AC Gilchrist,A Kumble,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,2.3,AC Gilchrist,A Kumble,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,2.4,AC Gilchrist,A Kumble,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,2.5,AC Gilchrist,A Kumble,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,2.6,HH Gibbs,A Kumble,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.1,AC Gilchrist,DW Steyn,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,3.2,AC Gilchrist,DW Steyn,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,3.3,AC Gilchrist,DW Steyn,1legbyes,HH Gibbs,0,1,1,0,NA,NA,NA
1,3.4,HH Gibbs,DW Steyn,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.5,HH Gibbs,DW Steyn,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,3.6,AC Gilchrist,DW Steyn,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,4.1,AC Gilchrist,JH Kallis,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,4.2,AC Gilchrist,JH Kallis,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,4.3,HH Gibbs,JH Kallis,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,4.4,AC Gilchrist,JH Kallis,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,4.5,AC Gilchrist,JH Kallis,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,4.6,AC Gilchrist,JH Kallis,1wides,HH Gibbs,0,1,1,0,NA,NA,NA
1,4.7,AC Gilchrist,JH Kallis,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,5.1,AC Gilchrist,DW Steyn,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,5.2,HH Gibbs,DW Steyn,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,5.3,AC Gilchrist,DW Steyn,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,5.4,HH Gibbs,DW Steyn,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,5.5,HH Gibbs,DW Steyn,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,5.6,HH Gibbs,DW Steyn,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
