innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,JA Morkel,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.2,DA Warner,JA Morkel,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,0.3,V Sehwag,JA Morkel,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.4,V Sehwag,JA Morkel,NA,DA Warner,4,0,4,0,NA,NA,NA
1,0.5,V Sehwag,JA Morkel,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.6,V Sehwag,JA Morkel,NA,DA Warner,4,0,4,0,NA,NA,NA
1,1.1,DA Warner,R Ashwin,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.2,DA Warner,R Ashwin,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.3,DA Warner,R Ashwin,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,1.4,DA Warner,R Ashwin,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,1.5,V Sehwag,R Ashwin,NA,DA Warner,4,0,4,0,NA,NA,NA
1,1.6,V Sehwag,R Ashwin,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.1,V Sehwag,Joginder Sharma,NA,DA Warner,4,0,4,0,NA,NA,NA
1,2.2,V Sehwag,Joginder Sharma,NA,DA Warner,4,0,4,0,NA,NA,NA
1,2.3,V Sehwag,Joginder Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.4,V Sehwag,Joginder Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.5,V Sehwag,Joginder Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.6,DA Warner,Joginder Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.1,V Sehwag,L Balaji,NA,DA Warner,6,0,6,0,NA,NA,NA
1,3.2,V Sehwag,L Balaji,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.3,DA Warner,L Balaji,NA,V Sehwag,0,0,0,1,ML Hayden,caught,DA Warner
1,3.4,TM Dilshan,L Balaji,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.5,TM Dilshan,L Balaji,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.6,TM Dilshan,L Balaji,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,4.1,TM Dilshan,Joginder Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.2,TM Dilshan,Joginder Sharma,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,4.3,TM Dilshan,Joginder Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.4,TM Dilshan,Joginder Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.5,TM Dilshan,Joginder Sharma,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,4.6,V Sehwag,Joginder Sharma,1noballs,TM Dilshan,4,1,5,0,NA,NA,NA
1,4.7,V Sehwag,Joginder Sharma,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,5.1,TM Dilshan,L Balaji,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.2,TM Dilshan,L Balaji,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,5.3,V Sehwag,L Balaji,NA,TM Dilshan,0,0,0,0,NA,NA,NA
