innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,DP Nannes,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,0.2,AC Gilchrist,DP Nannes,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,0.3,MD Mishra,DP Nannes,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,0.4,AC Gilchrist,DP Nannes,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,0.5,AC Gilchrist,DP Nannes,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,0.6,AC Gilchrist,DP Nannes,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,1.1,AC Gilchrist,A Nehra,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,1.2,AC Gilchrist,A Nehra,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,1.3,AC Gilchrist,A Nehra,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,1.4,AC Gilchrist,A Nehra,NA,MD Mishra,0,0,0,1,G Gambhir,caught,AC Gilchrist
1,1.5,TL Suman,A Nehra,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,1.6,TL Suman,A Nehra,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,2.1,MD Mishra,DP Nannes,NA,TL Suman,0,0,0,0,NA,NA,NA
1,2.2,MD Mishra,DP Nannes,NA,TL Suman,0,0,0,0,NA,NA,NA
1,2.3,MD Mishra,DP Nannes,NA,TL Suman,1,0,1,0,NA,NA,NA
1,2.4,TL Suman,DP Nannes,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,2.5,TL Suman,DP Nannes,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,2.6,MD Mishra,DP Nannes,NA,TL Suman,1,0,1,0,NA,NA,NA
1,3.1,MD Mishra,A Nehra,NA,TL Suman,1,0,1,0,NA,NA,NA
1,3.2,TL Suman,A Nehra,1legbyes,MD Mishra,0,1,1,0,NA,NA,NA
1,3.3,MD Mishra,A Nehra,NA,TL Suman,0,0,0,0,NA,NA,NA
1,3.4,MD Mishra,A Nehra,NA,TL Suman,6,0,6,0,NA,NA,NA
1,3.5,MD Mishra,A Nehra,NA,TL Suman,2,0,2,0,NA,NA,NA
1,3.6,MD Mishra,A Nehra,NA,TL Suman,4,0,4,0,NA,NA,NA
1,4.1,TL Suman,UT Yadav,NA,MD Mishra,0,0,0,1,NA,bowled,TL Suman
1,4.2,RG Sharma,UT Yadav,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,4.3,RG Sharma,UT Yadav,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,4.4,RG Sharma,UT Yadav,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,4.5,MD Mishra,UT Yadav,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,4.6,MD Mishra,UT Yadav,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,5.1,MD Mishra,A Mishra,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,5.2,RG Sharma,A Mishra,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,5.3,RG Sharma,A Mishra,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,5.4,MD Mishra,A Mishra,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,5.5,RG Sharma,A Mishra,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,5.6,MD Mishra,A Mishra,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,6.1,RG Sharma,UT Yadav,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,6.2,RG Sharma,UT Yadav,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,6.3,RG Sharma,UT Yadav,1wides,MD Mishra,0,1,1,0,NA,NA,NA
1,6.4,RG Sharma,UT Yadav,NA,MD Mishra,0,0,0,1,KD Karthik,caught,RG Sharma
1,6.5,A Symonds,UT Yadav,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,6.6,A Symonds,UT Yadav,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,6.7,A Symonds,UT Yadav,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,7.1,A Symonds,A Mishra,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,7.2,A Symonds,A Mishra,NA,MD Mishra,6,0,6,0,NA,NA,NA
1,7.3,A Symonds,A Mishra,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,7.4,A Symonds,A Mishra,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,7.5,MD Mishra,A Mishra,NA,A Symonds,1,0,1,0,NA,NA,NA
1,7.6,A Symonds,A Mishra,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,8.1,MD Mishra,UT Yadav,NA,A Symonds,1,0,1,0,NA,NA,NA
1,8.2,A Symonds,UT Yadav,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,8.3,A Symonds,UT Yadav,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,8.4,A Symonds,UT Yadav,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,8.5,MD Mishra,UT Yadav,NA,A Symonds,4,0,4,0,NA,NA,NA
1,8.6,MD Mishra,UT Yadav,NA,A Symonds,0,0,0,1,M Manhas,run out,MD Mishra
1,9.1,MR Marsh,A Mishra,NA,A Symonds,0,0,0,0,NA,NA,NA
