innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DR Smith,S Nadeem,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.2,DR Smith,S Nadeem,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.3,DR Smith,S Nadeem,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,0.4,BB McCullum,S Nadeem,NA,DR Smith,0,0,0,0,NA,NA,NA
1,0.5,BB McCullum,S Nadeem,NA,DR Smith,1,0,1,0,NA,NA,NA
1,0.6,DR Smith,S Nadeem,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.1,BB McCullum,K Rabada,NA,DR Smith,0,0,0,1,RR Pant,caught,BB McCullum
1,1.2,SK Raina,K Rabada,NA,DR Smith,0,0,0,1,S Nadeem,run out,DR Smith
1,1.3,SK Raina,K Rabada,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,1.4,SK Raina,K Rabada,NA,KD Karthik,2,0,2,0,NA,NA,NA
1,1.5,SK Raina,K Rabada,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,1.6,SK Raina,K Rabada,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,2.1,SK Raina,PJ Cummins,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,2.2,SK Raina,PJ Cummins,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,2.3,SK Raina,PJ Cummins,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,2.4,KD Karthik,PJ Cummins,NA,SK Raina,0,0,0,0,NA,NA,NA
1,2.5,KD Karthik,PJ Cummins,NA,SK Raina,0,0,0,0,NA,NA,NA
1,2.6,KD Karthik,PJ Cummins,NA,SK Raina,2,0,2,0,NA,NA,NA
1,3.1,SK Raina,Mohammed Shami,NA,KD Karthik,6,0,6,0,NA,NA,NA
1,3.2,SK Raina,Mohammed Shami,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,3.3,SK Raina,Mohammed Shami,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.4,SK Raina,Mohammed Shami,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,3.5,SK Raina,Mohammed Shami,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.6,SK Raina,Mohammed Shami,NA,KD Karthik,1,0,1,0,NA,NA,NA
