innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SV Samson,Sandeep Sharma,NA,SW Billings,0,0,0,0,NA,NA,NA
1,0.2,SV Samson,Sandeep Sharma,NA,SW Billings,0,0,0,0,NA,NA,NA
1,0.3,SV Samson,Sandeep Sharma,NA,SW Billings,4,0,4,0,NA,NA,NA
1,0.4,SV Samson,Sandeep Sharma,NA,SW Billings,0,0,0,0,NA,NA,NA
1,0.5,SV Samson,Sandeep Sharma,NA,SW Billings,0,0,0,0,NA,NA,NA
1,0.6,SV Samson,Sandeep Sharma,NA,SW Billings,4,0,4,0,NA,NA,NA
1,1.1,SW Billings,MM Sharma,NA,SV Samson,0,0,0,0,NA,NA,NA
1,1.2,SW Billings,MM Sharma,NA,SV Samson,0,0,0,0,NA,NA,NA
1,1.3,SW Billings,MM Sharma,NA,SV Samson,0,0,0,0,NA,NA,NA
1,1.4,SW Billings,MM Sharma,NA,SV Samson,4,0,4,0,NA,NA,NA
1,1.5,SW Billings,MM Sharma,NA,SV Samson,4,0,4,0,NA,NA,NA
1,1.6,SW Billings,MM Sharma,NA,SV Samson,1,0,1,0,NA,NA,NA
1,2.1,SW Billings,Sandeep Sharma,NA,SV Samson,0,0,0,0,NA,NA,NA
1,2.2,SW Billings,Sandeep Sharma,NA,SV Samson,0,0,0,0,NA,NA,NA
1,2.3,SW Billings,Sandeep Sharma,NA,SV Samson,0,0,0,0,NA,NA,NA
1,2.4,SW Billings,Sandeep Sharma,NA,SV Samson,0,0,0,0,NA,NA,NA
1,2.5,SW Billings,Sandeep Sharma,NA,SV Samson,4,0,4,0,NA,NA,NA
1,2.6,SW Billings,Sandeep Sharma,NA,SV Samson,1,0,1,0,NA,NA,NA
1,3.1,SW Billings,AR Patel,NA,SV Samson,1,0,1,0,NA,NA,NA
1,3.2,SV Samson,AR Patel,NA,SW Billings,1,0,1,0,NA,NA,NA
1,3.3,SW Billings,AR Patel,NA,SV Samson,1,0,1,0,NA,NA,NA
1,3.4,SV Samson,AR Patel,NA,SW Billings,1,0,1,0,NA,NA,NA
1,3.5,SW Billings,AR Patel,NA,SV Samson,1,0,1,0,NA,NA,NA
1,3.6,SV Samson,AR Patel,NA,SW Billings,0,0,0,0,NA,NA,NA
1,4.1,SW Billings,VR Aaron,NA,SV Samson,0,0,0,0,NA,NA,NA
1,4.2,SW Billings,VR Aaron,NA,SV Samson,4,0,4,0,NA,NA,NA
1,4.3,SW Billings,VR Aaron,NA,SV Samson,4,0,4,0,NA,NA,NA
1,4.4,SW Billings,VR Aaron,NA,SV Samson,4,0,4,0,NA,NA,NA
1,4.5,SW Billings,VR Aaron,1legbyes,SV Samson,0,1,1,0,NA,NA,NA
1,4.6,SV Samson,VR Aaron,NA,SW Billings,1,0,1,0,NA,NA,NA
1,5.1,SV Samson,MM Sharma,NA,SW Billings,0,0,0,0,NA,NA,NA
1,5.2,SV Samson,MM Sharma,NA,SW Billings,0,0,0,0,NA,NA,NA
1,5.3,SV Samson,MM Sharma,NA,SW Billings,1,0,1,0,NA,NA,NA
1,5.4,SW Billings,MM Sharma,NA,SV Samson,1,0,1,0,NA,NA,NA
1,5.5,SV Samson,MM Sharma,NA,SW Billings,0,0,0,0,NA,NA,NA
1,5.6,SV Samson,MM Sharma,NA,SW Billings,6,0,6,0,NA,NA,NA
1,6.1,SW Billings,KC Cariappa,NA,SV Samson,1,0,1,0,NA,NA,NA
