innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,RP Singh,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,0.2,V Sehwag,RP Singh,NA,DA Warner,4,0,4,0,NA,NA,NA
1,0.3,V Sehwag,RP Singh,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.4,V Sehwag,RP Singh,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.5,V Sehwag,RP Singh,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.6,V Sehwag,RP Singh,NA,DA Warner,4,0,4,0,NA,NA,NA
1,1.1,DA Warner,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.2,DA Warner,S Sreesanth,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,1.3,DA Warner,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.4,DA Warner,S Sreesanth,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,1.5,V Sehwag,S Sreesanth,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.6,DA Warner,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.1,V Sehwag,P Parameswaran,NA,DA Warner,6,0,6,0,NA,NA,NA
1,2.2,V Sehwag,P Parameswaran,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.3,V Sehwag,P Parameswaran,NA,DA Warner,0,0,0,1,PA Patel,caught,V Sehwag
1,2.4,NV Ojha,P Parameswaran,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.5,NV Ojha,P Parameswaran,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.6,NV Ojha,P Parameswaran,NA,DA Warner,0,0,0,0,NA,NA,NA
1,3.1,DA Warner,S Sreesanth,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,3.2,DA Warner,S Sreesanth,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,3.3,DA Warner,S Sreesanth,NA,NV Ojha,4,0,4,0,NA,NA,NA
1,3.4,DA Warner,S Sreesanth,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,3.5,NV Ojha,S Sreesanth,NA,DA Warner,0,0,0,0,NA,NA,NA
1,3.6,NV Ojha,S Sreesanth,NA,DA Warner,1,0,1,0,NA,NA,NA
1,4.1,NV Ojha,P Parameswaran,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.2,NV Ojha,P Parameswaran,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.3,NV Ojha,P Parameswaran,NA,DA Warner,6,0,6,0,NA,NA,NA
1,4.4,NV Ojha,P Parameswaran,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.5,NV Ojha,P Parameswaran,NA,DA Warner,4,0,4,0,NA,NA,NA
1,4.6,NV Ojha,P Parameswaran,NA,DA Warner,1,0,1,0,NA,NA,NA
1,5.1,NV Ojha,S Sreesanth,NA,DA Warner,1,0,1,0,NA,NA,NA
1,5.2,DA Warner,S Sreesanth,NA,NV Ojha,2,0,2,0,NA,NA,NA
1,5.3,DA Warner,S Sreesanth,1noballs,NV Ojha,0,1,1,0,NA,NA,NA
1,5.4,DA Warner,S Sreesanth,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,5.5,DA Warner,S Sreesanth,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,5.6,DA Warner,S Sreesanth,NA,NV Ojha,0,0,0,1,R Vinay Kumar,caught,DA Warner
1,5.7,Y Nagar,S Sreesanth,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,6.1,NV Ojha,RP Singh,1wides,Y Nagar,0,1,1,0,NA,NA,NA
1,6.2,NV Ojha,RP Singh,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,6.3,NV Ojha,RP Singh,NA,Y Nagar,0,0,0,1,PA Patel,caught,NV Ojha
1,6.4,Y Venugopal Rao,RP Singh,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,6.5,Y Venugopal Rao,RP Singh,NA,Y Nagar,4,0,4,0,NA,NA,NA
1,6.6,Y Venugopal Rao,RP Singh,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,6.7,Y Venugopal Rao,RP Singh,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,7.1,Y Venugopal Rao,P Parameswaran,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,7.2,Y Venugopal Rao,P Parameswaran,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,7.3,Y Nagar,P Parameswaran,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,7.4,Y Nagar,P Parameswaran,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,7.5,Y Nagar,P Parameswaran,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,7.6,Y Venugopal Rao,P Parameswaran,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,8.1,Y Nagar,R Vinay Kumar,1legbyes,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,8.2,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,8.3,Y Nagar,R Vinay Kumar,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,8.4,Y Nagar,R Vinay Kumar,1legbyes,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,8.5,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,8.6,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,2,0,2,0,NA,NA,NA
1,9.1,Y Nagar,RV Gomez,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,9.2,Y Nagar,RV Gomez,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,9.3,Y Venugopal Rao,RV Gomez,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,9.4,Y Venugopal Rao,RV Gomez,NA,Y Nagar,4,0,4,0,NA,NA,NA
1,9.5,Y Venugopal Rao,RV Gomez,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,9.6,Y Nagar,RV Gomez,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,10.1,Y Nagar,RA Jadeja,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,10.2,Y Venugopal Rao,RA Jadeja,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,10.3,Y Venugopal Rao,RA Jadeja,1wides,Y Nagar,0,1,1,0,NA,NA,NA
1,10.4,Y Venugopal Rao,RA Jadeja,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,10.5,Y Nagar,RA Jadeja,1wides,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,10.6,Y Nagar,RA Jadeja,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,10.7,Y Venugopal Rao,RA Jadeja,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,10.8,Y Nagar,RA Jadeja,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,11.1,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,11.2,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,11.3,Y Nagar,R Vinay Kumar,NA,Y Venugopal Rao,4,0,4,0,NA,NA,NA
1,11.4,Y Nagar,R Vinay Kumar,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,11.5,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,11.6,Y Nagar,R Vinay Kumar,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,12.1,Y Nagar,RV Gomez,NA,Y Venugopal Rao,2,0,2,0,NA,NA,NA
1,12.2,Y Nagar,RV Gomez,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,12.3,Y Venugopal Rao,RV Gomez,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,12.4,Y Venugopal Rao,RV Gomez,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,12.5,Y Nagar,RV Gomez,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,12.6,Y Venugopal Rao,RV Gomez,NA,Y Nagar,4,0,4,0,NA,NA,NA
1,13.1,Y Nagar,RP Singh,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,13.2,Y Venugopal Rao,RP Singh,NA,Y Nagar,4,0,4,0,NA,NA,NA
1,13.3,Y Venugopal Rao,RP Singh,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,13.4,Y Venugopal Rao,RP Singh,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,13.5,Y Nagar,RP Singh,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,13.6,Y Venugopal Rao,RP Singh,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,14.1,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,14.2,Y Nagar,R Vinay Kumar,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,14.3,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,14.4,Y Venugopal Rao,R Vinay Kumar,1wides,Y Nagar,0,1,1,0,NA,NA,NA
1,14.5,Y Venugopal Rao,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,14.6,Y Nagar,R Vinay Kumar,NA,Y Venugopal Rao,0,0,0,1,RP Singh,caught,Y Nagar
1,14.7,Y Venugopal Rao,R Vinay Kumar,NA,TR Birt,1,0,1,0,NA,NA,NA
1,15.1,Y Venugopal Rao,RA Jadeja,NA,TR Birt,1,0,1,0,NA,NA,NA
1,15.2,TR Birt,RA Jadeja,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,15.3,Y Venugopal Rao,RA Jadeja,NA,TR Birt,4,0,4,0,NA,NA,NA
1,15.4,Y Venugopal Rao,RA Jadeja,NA,TR Birt,1,0,1,0,NA,NA,NA
1,15.5,TR Birt,RA Jadeja,NA,Y Venugopal Rao,2,0,2,0,NA,NA,NA
1,15.6,TR Birt,RA Jadeja,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,16.1,TR Birt,S Sreesanth,NA,Y Venugopal Rao,4,0,4,0,NA,NA,NA
1,16.2,TR Birt,S Sreesanth,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,16.3,Y Venugopal Rao,S Sreesanth,NA,TR Birt,1,0,1,0,NA,NA,NA
1,16.4,TR Birt,S Sreesanth,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
