innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,JH Kallis,IK Pathan,NA,SP Goswami,1,0,1,0,NA,NA,NA
1,0.2,SP Goswami,IK Pathan,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,0.3,SP Goswami,IK Pathan,NA,JH Kallis,1,0,1,0,NA,NA,NA
1,0.4,JH Kallis,IK Pathan,NA,SP Goswami,0,0,0,0,NA,NA,NA
1,0.5,JH Kallis,IK Pathan,NA,SP Goswami,1,0,1,0,NA,NA,NA
1,0.6,SP Goswami,IK Pathan,NA,JH Kallis,1,0,1,0,NA,NA,NA
1,1.1,SP Goswami,M Morkel,1wides,JH Kallis,0,1,1,0,NA,NA,NA
1,1.2,SP Goswami,M Morkel,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,1.3,SP Goswami,M Morkel,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,1.4,SP Goswami,M Morkel,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,1.5,SP Goswami,M Morkel,NA,JH Kallis,4,0,4,0,NA,NA,NA
1,1.6,SP Goswami,M Morkel,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,1.7,SP Goswami,M Morkel,NA,JH Kallis,4,0,4,0,NA,NA,NA
1,2.1,JH Kallis,IK Pathan,NA,SP Goswami,0,0,0,0,NA,NA,NA
1,2.2,JH Kallis,IK Pathan,NA,SP Goswami,0,0,0,0,NA,NA,NA
1,2.3,JH Kallis,IK Pathan,NA,SP Goswami,1,0,1,0,NA,NA,NA
1,2.4,SP Goswami,IK Pathan,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,2.5,SP Goswami,IK Pathan,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,2.6,SP Goswami,IK Pathan,NA,JH Kallis,1,0,1,0,NA,NA,NA
1,3.1,SP Goswami,M Morkel,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,3.2,SP Goswami,M Morkel,NA,JH Kallis,4,0,4,0,NA,NA,NA
1,3.3,SP Goswami,M Morkel,NA,JH Kallis,1,0,1,0,NA,NA,NA
1,3.4,JH Kallis,M Morkel,NA,SP Goswami,4,0,4,0,NA,NA,NA
1,3.5,JH Kallis,M Morkel,NA,SP Goswami,4,0,4,0,NA,NA,NA
1,3.6,JH Kallis,M Morkel,NA,SP Goswami,0,0,0,0,NA,NA,NA
1,4.1,SP Goswami,IK Pathan,NA,JH Kallis,1,0,1,0,NA,NA,NA
