innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MA Agarwal,MJ McClenaghan,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,0.2,SS Iyer,MJ McClenaghan,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,0.3,MA Agarwal,MJ McClenaghan,NA,SS Iyer,0,0,0,1,AT Rayudu,caught,MA Agarwal
1,0.4,JP Duminy,MJ McClenaghan,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,0.5,JP Duminy,MJ McClenaghan,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,0.6,JP Duminy,MJ McClenaghan,1wides,SS Iyer,0,1,1,0,NA,NA,NA
1,0.7,JP Duminy,MJ McClenaghan,1wides,SS Iyer,0,1,1,0,NA,NA,NA
1,0.8,JP Duminy,MJ McClenaghan,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,1.1,SS Iyer,SL Malinga,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,1.2,SS Iyer,SL Malinga,NA,JP Duminy,4,0,4,0,NA,NA,NA
1,1.3,SS Iyer,SL Malinga,1wides,JP Duminy,0,1,1,0,NA,NA,NA
1,1.4,SS Iyer,SL Malinga,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,1.5,SS Iyer,SL Malinga,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,1.6,SS Iyer,SL Malinga,1wides,JP Duminy,0,1,1,0,NA,NA,NA
1,1.7,SS Iyer,SL Malinga,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,1.8,JP Duminy,SL Malinga,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,2.1,SS Iyer,MJ McClenaghan,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,2.2,SS Iyer,MJ McClenaghan,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,2.3,SS Iyer,MJ McClenaghan,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,2.4,SS Iyer,MJ McClenaghan,NA,JP Duminy,4,0,4,0,NA,NA,NA
1,2.5,SS Iyer,MJ McClenaghan,NA,JP Duminy,6,0,6,0,NA,NA,NA
1,2.6,SS Iyer,MJ McClenaghan,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,3.1,JP Duminy,JJ Bumrah,NA,SS Iyer,2,0,2,0,NA,NA,NA
1,3.2,JP Duminy,JJ Bumrah,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,3.3,JP Duminy,JJ Bumrah,NA,SS Iyer,6,0,6,0,NA,NA,NA
1,3.4,JP Duminy,JJ Bumrah,NA,SS Iyer,6,0,6,0,NA,NA,NA
1,3.5,JP Duminy,JJ Bumrah,NA,SS Iyer,0,0,0,0,NA,NA,NA
