innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DPMD Jayawardene,B Kumar,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,0.2,V Sehwag,B Kumar,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,0.3,V Sehwag,B Kumar,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,0.4,DPMD Jayawardene,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.5,DPMD Jayawardene,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.6,DPMD Jayawardene,B Kumar,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,1.1,DPMD Jayawardene,KW Richardson,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,1.2,DPMD Jayawardene,KW Richardson,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.3,DPMD Jayawardene,KW Richardson,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.4,DPMD Jayawardene,KW Richardson,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.5,DPMD Jayawardene,KW Richardson,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,1.6,V Sehwag,KW Richardson,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.1,DPMD Jayawardene,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.2,DPMD Jayawardene,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.3,DPMD Jayawardene,B Kumar,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,2.4,DPMD Jayawardene,B Kumar,5wides,V Sehwag,0,5,5,0,NA,NA,NA
1,2.5,DPMD Jayawardene,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.6,DPMD Jayawardene,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.7,DPMD Jayawardene,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.1,V Sehwag,KW Richardson,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,3.2,V Sehwag,KW Richardson,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,3.3,V Sehwag,KW Richardson,1wides,DPMD Jayawardene,0,1,1,0,NA,NA,NA
1,3.4,V Sehwag,KW Richardson,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,3.5,V Sehwag,KW Richardson,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.6,DPMD Jayawardene,KW Richardson,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,3.7,V Sehwag,KW Richardson,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,4.1,DPMD Jayawardene,AB Dinda,NA,V Sehwag,0,0,0,1,LJ Wright,caught,DPMD Jayawardene
1,4.2,UBT Chand,AB Dinda,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.3,UBT Chand,AB Dinda,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.4,UBT Chand,AB Dinda,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.5,UBT Chand,AB Dinda,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.6,UBT Chand,AB Dinda,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,5.1,V Sehwag,B Kumar,NA,UBT Chand,6,0,6,0,NA,NA,NA
1,5.2,V Sehwag,B Kumar,1wides,UBT Chand,0,1,1,0,NA,NA,NA
1,5.3,V Sehwag,B Kumar,NA,UBT Chand,4,0,4,0,NA,NA,NA
1,5.4,V Sehwag,B Kumar,1wides,UBT Chand,0,1,1,0,NA,NA,NA
1,5.5,V Sehwag,B Kumar,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,5.6,V Sehwag,B Kumar,1legbyes,UBT Chand,0,1,1,0,NA,NA,NA
1,5.7,UBT Chand,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.8,UBT Chand,B Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.1,V Sehwag,R Sharma,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,6.2,V Sehwag,R Sharma,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,6.3,UBT Chand,R Sharma,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,6.4,UBT Chand,R Sharma,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,6.5,V Sehwag,R Sharma,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,6.6,UBT Chand,R Sharma,NA,V Sehwag,2,0,2,0,NA,NA,NA
1,7.1,V Sehwag,LJ Wright,1wides,UBT Chand,0,1,1,0,NA,NA,NA
1,7.2,V Sehwag,LJ Wright,NA,UBT Chand,6,0,6,0,NA,NA,NA
1,7.3,V Sehwag,LJ Wright,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,7.4,UBT Chand,LJ Wright,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,7.5,V Sehwag,LJ Wright,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,7.6,UBT Chand,LJ Wright,1wides,V Sehwag,0,1,1,0,NA,NA,NA
1,7.7,UBT Chand,LJ Wright,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,7.8,V Sehwag,LJ Wright,NA,UBT Chand,4,0,4,0,NA,NA,NA
1,8.1,UBT Chand,Yuvraj Singh,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,8.2,V Sehwag,Yuvraj Singh,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,8.3,UBT Chand,Yuvraj Singh,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,8.4,V Sehwag,Yuvraj Singh,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,8.5,UBT Chand,Yuvraj Singh,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,8.6,V Sehwag,Yuvraj Singh,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,9.1,UBT Chand,AB Dinda,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,9.2,UBT Chand,AB Dinda,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,9.3,V Sehwag,AB Dinda,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,9.4,V Sehwag,AB Dinda,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,9.5,V Sehwag,AB Dinda,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,9.6,V Sehwag,AB Dinda,NA,UBT Chand,0,0,0,1,RV Uthappa,caught,V Sehwag
1,10.1,UBT Chand,R Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,10.2,UBT Chand,R Sharma,NA,DA Warner,0,0,0,1,RV Uthappa,caught,UBT Chand
1,10.3,BJ Rohrer,R Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,10.4,BJ Rohrer,R Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
1,10.5,DA Warner,R Sharma,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,10.6,BJ Rohrer,R Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,11.1,DA Warner,AM Nayar,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,11.2,BJ Rohrer,AM Nayar,1wides,DA Warner,0,1,1,0,NA,NA,NA
1,11.3,BJ Rohrer,AM Nayar,NA,DA Warner,2,0,2,0,NA,NA,NA
1,11.4,BJ Rohrer,AM Nayar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,11.5,BJ Rohrer,AM Nayar,NA,DA Warner,4,0,4,0,NA,NA,NA
1,11.6,BJ Rohrer,AM Nayar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,11.7,BJ Rohrer,AM Nayar,NA,DA Warner,2,0,2,0,NA,NA,NA
1,12.1,DA Warner,R Sharma,NA,BJ Rohrer,0,0,0,0,NA,NA,NA
1,12.2,DA Warner,R Sharma,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,12.3,BJ Rohrer,R Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
1,12.4,DA Warner,R Sharma,NA,BJ Rohrer,4,0,4,0,NA,NA,NA
1,12.5,DA Warner,R Sharma,NA,BJ Rohrer,6,0,6,0,NA,NA,NA
1,12.6,DA Warner,R Sharma,NA,BJ Rohrer,0,0,0,0,NA,NA,NA
1,13.1,BJ Rohrer,AM Nayar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,13.2,BJ Rohrer,AM Nayar,NA,DA Warner,2,0,2,0,NA,NA,NA
1,13.3,BJ Rohrer,AM Nayar,NA,DA Warner,1,0,1,0,NA,NA,NA
1,13.4,DA Warner,AM Nayar,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,13.5,BJ Rohrer,AM Nayar,NA,DA Warner,0,0,0,1,RV Uthappa,caught,BJ Rohrer
1,13.6,KM Jadhav,AM Nayar,NA,DA Warner,1,0,1,0,NA,NA,NA
1,14.1,KM Jadhav,Yuvraj Singh,NA,DA Warner,1,0,1,0,NA,NA,NA
1,14.2,DA Warner,Yuvraj Singh,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,14.3,KM Jadhav,Yuvraj Singh,NA,DA Warner,0,0,0,0,NA,NA,NA
1,14.4,KM Jadhav,Yuvraj Singh,NA,DA Warner,0,0,0,0,NA,NA,NA
1,14.5,KM Jadhav,Yuvraj Singh,NA,DA Warner,1,0,1,0,NA,NA,NA
1,14.6,DA Warner,Yuvraj Singh,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,15.1,DA Warner,KW Richardson,1legbyes,KM Jadhav,0,1,1,0,NA,NA,NA
1,15.2,KM Jadhav,KW Richardson,NA,DA Warner,1,0,1,0,NA,NA,NA
1,15.3,DA Warner,KW Richardson,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,15.4,DA Warner,KW Richardson,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,15.5,KM Jadhav,KW Richardson,NA,DA Warner,0,0,0,0,NA,NA,NA
1,15.6,KM Jadhav,KW Richardson,NA,DA Warner,1,0,1,0,NA,NA,NA
1,16.1,KM Jadhav,AB Dinda,NA,DA Warner,1,0,1,0,NA,NA,NA
1,16.2,DA Warner,AB Dinda,NA,KM Jadhav,4,0,4,0,NA,NA,NA
1,16.3,DA Warner,AB Dinda,NA,KM Jadhav,4,0,4,0,NA,NA,NA
1,16.4,DA Warner,AB Dinda,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,16.5,DA Warner,AB Dinda,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,16.6,DA Warner,AB Dinda,NA,KM Jadhav,4,0,4,0,NA,NA,NA
1,17.1,KM Jadhav,B Kumar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,17.2,KM Jadhav,B Kumar,NA,DA Warner,2,0,2,0,NA,NA,NA
1,17.3,KM Jadhav,B Kumar,NA,DA Warner,1,0,1,0,NA,NA,NA
1,17.4,DA Warner,B Kumar,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,17.5,KM Jadhav,B Kumar,1wides,DA Warner,0,1,1,0,NA,NA,NA
1,17.6,KM Jadhav,B Kumar,NA,DA Warner,1,0,1,0,NA,NA,NA
1,17.7,DA Warner,B Kumar,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,18.1,KM Jadhav,KW Richardson,NA,DA Warner,6,0,6,0,NA,NA,NA
1,18.2,KM Jadhav,KW Richardson,NA,DA Warner,1,0,1,0,NA,NA,NA
1,18.3,DA Warner,KW Richardson,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,18.4,DA Warner,KW Richardson,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,18.5,DA Warner,KW Richardson,NA,KM Jadhav,2,0,2,0,NA,NA,NA
1,18.6,DA Warner,KW Richardson,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,19.1,KM Jadhav,AB Dinda,NA,DA Warner,2,0,2,0,NA,NA,NA
1,19.2,KM Jadhav,AB Dinda,NA,DA Warner,0,0,0,0,NA,NA,NA
1,19.3,KM Jadhav,AB Dinda,NA,DA Warner,6,0,6,0,NA,NA,NA
1,19.4,KM Jadhav,AB Dinda,NA,DA Warner,0,0,0,1,M Manhas,caught,KM Jadhav
1,19.5,DA Warner,AB Dinda,NA,IK Pathan,1,0,1,0,NA,NA,NA
1,19.6,IK Pathan,AB Dinda,NA,DA Warner,4,0,4,0,NA,NA,NA
2,0.1,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,0.2,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,0.3,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,0.4,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,0.5,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,0.6,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,1.1,AJ Finch,UT Yadav,NA,RV Uthappa,0,0,0,0,NA,NA,NA
2,1.2,AJ Finch,UT Yadav,NA,RV Uthappa,4,0,4,0,NA,NA,NA
2,1.3,AJ Finch,UT Yadav,NA,RV Uthappa,3,0,3,0,NA,NA,NA
2,1.4,RV Uthappa,UT Yadav,NA,AJ Finch,3,0,3,0,NA,NA,NA
2,1.5,AJ Finch,UT Yadav,NA,RV Uthappa,0,0,0,0,NA,NA,NA
2,1.6,AJ Finch,UT Yadav,NA,RV Uthappa,0,0,0,0,NA,NA,NA
2,2.1,RV Uthappa,M Morkel,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,2.2,RV Uthappa,M Morkel,NA,AJ Finch,1,0,1,0,NA,NA,NA
2,2.3,AJ Finch,M Morkel,NA,RV Uthappa,1,0,1,0,NA,NA,NA
2,2.4,RV Uthappa,M Morkel,NA,AJ Finch,2,0,2,0,NA,NA,NA
2,2.5,RV Uthappa,M Morkel,NA,AJ Finch,4,0,4,0,NA,NA,NA
2,2.6,RV Uthappa,M Morkel,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,3.1,AJ Finch,A Nehra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
2,3.2,AJ Finch,A Nehra,NA,RV Uthappa,1,0,1,0,NA,NA,NA
2,3.3,RV Uthappa,A Nehra,NA,AJ Finch,1,0,1,0,NA,NA,NA
2,3.4,AJ Finch,A Nehra,NA,RV Uthappa,1,0,1,0,NA,NA,NA
2,3.5,RV Uthappa,A Nehra,NA,AJ Finch,0,0,0,0,NA,NA,NA
2,3.6,RV Uthappa,A Nehra,NA,AJ Finch,4,0,4,0,NA,NA,NA
