innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MA Agarwal,TG Southee,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,0.2,SS Iyer,TG Southee,1wides,MA Agarwal,0,1,1,0,NA,NA,NA
1,0.3,SS Iyer,TG Southee,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,0.4,MA Agarwal,TG Southee,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,0.5,MA Agarwal,TG Southee,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,0.6,MA Agarwal,TG Southee,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,0.7,MA Agarwal,TG Southee,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,1.1,MA Agarwal,CH Morris,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,1.2,MA Agarwal,CH Morris,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,1.3,MA Agarwal,CH Morris,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,1.4,MA Agarwal,CH Morris,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,1.5,SS Iyer,CH Morris,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,1.6,SS Iyer,CH Morris,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,2.1,MA Agarwal,TG Southee,NA,SS Iyer,6,0,6,0,NA,NA,NA
1,2.2,MA Agarwal,TG Southee,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,2.3,MA Agarwal,TG Southee,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,2.4,SS Iyer,TG Southee,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,2.5,SS Iyer,TG Southee,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,2.6,MA Agarwal,TG Southee,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,3.1,MA Agarwal,DS Kulkarni,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,3.2,MA Agarwal,DS Kulkarni,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,3.3,MA Agarwal,DS Kulkarni,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,3.4,MA Agarwal,DS Kulkarni,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,3.5,MA Agarwal,DS Kulkarni,NA,SS Iyer,2,0,2,0,NA,NA,NA
1,3.6,MA Agarwal,DS Kulkarni,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,4.1,SS Iyer,PV Tambe,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,4.2,SS Iyer,PV Tambe,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,4.3,MA Agarwal,PV Tambe,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,4.4,MA Agarwal,PV Tambe,NA,SS Iyer,0,0,0,1,NA,caught and bowled,MA Agarwal
1,4.5,JP Duminy,PV Tambe,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,4.6,JP Duminy,PV Tambe,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,5.1,JP Duminy,DJ Hooda,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,5.2,SS Iyer,DJ Hooda,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,5.3,JP Duminy,DJ Hooda,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,5.4,SS Iyer,DJ Hooda,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,5.5,SS Iyer,DJ Hooda,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,5.6,JP Duminy,DJ Hooda,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,6.1,JP Duminy,PV Tambe,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,6.2,SS Iyer,PV Tambe,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,6.3,SS Iyer,PV Tambe,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,6.4,JP Duminy,PV Tambe,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,6.5,SS Iyer,PV Tambe,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,6.6,SS Iyer,PV Tambe,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,7.1,JP Duminy,DJ Hooda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,7.2,JP Duminy,DJ Hooda,NA,SS Iyer,2,0,2,0,NA,NA,NA
1,7.3,JP Duminy,DJ Hooda,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,7.4,SS Iyer,DJ Hooda,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,7.5,SS Iyer,DJ Hooda,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,7.6,SS Iyer,DJ Hooda,1wides,JP Duminy,0,1,1,0,NA,NA,NA
1,7.7,SS Iyer,DJ Hooda,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,8.1,JP Duminy,JP Faulkner,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,8.2,JP Duminy,JP Faulkner,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,8.3,SS Iyer,JP Faulkner,NA,JP Duminy,4,0,4,0,NA,NA,NA
1,8.4,SS Iyer,JP Faulkner,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,8.5,SS Iyer,JP Faulkner,NA,JP Duminy,6,0,6,0,NA,NA,NA
1,8.6,SS Iyer,JP Faulkner,1wides,JP Duminy,0,1,1,0,NA,NA,NA
1,8.7,SS Iyer,JP Faulkner,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,9.1,SS Iyer,PV Tambe,NA,JP Duminy,6,0,6,0,NA,NA,NA
1,9.2,SS Iyer,PV Tambe,NA,JP Duminy,4,0,4,0,NA,NA,NA
1,9.3,SS Iyer,PV Tambe,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,9.4,JP Duminy,PV Tambe,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,9.5,JP Duminy,PV Tambe,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,9.6,SS Iyer,PV Tambe,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,10.1,SS Iyer,CH Morris,NA,JP Duminy,6,0,6,0,NA,NA,NA
1,10.2,SS Iyer,CH Morris,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,10.3,SS Iyer,CH Morris,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,10.4,SS Iyer,CH Morris,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,10.5,JP Duminy,CH Morris,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,10.6,SS Iyer,CH Morris,1wides,JP Duminy,0,1,1,0,NA,NA,NA
1,10.7,SS Iyer,CH Morris,NA,JP Duminy,0,0,0,1,TG Southee,caught,SS Iyer
1,11.1,Yuvraj Singh,DJ Hooda,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,11.2,JP Duminy,DJ Hooda,1legbyes,Yuvraj Singh,0,1,1,0,NA,NA,NA
1,11.3,Yuvraj Singh,DJ Hooda,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,11.4,JP Duminy,DJ Hooda,1wides,Yuvraj Singh,0,1,1,0,NA,NA,NA
1,11.5,JP Duminy,DJ Hooda,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,11.6,JP Duminy,DJ Hooda,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,11.7,Yuvraj Singh,DJ Hooda,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,12.1,JP Duminy,JP Faulkner,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,12.2,JP Duminy,JP Faulkner,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,12.3,JP Duminy,JP Faulkner,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
1,12.4,JP Duminy,JP Faulkner,NA,Yuvraj Singh,6,0,6,0,NA,NA,NA
1,12.5,JP Duminy,JP Faulkner,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,12.6,JP Duminy,JP Faulkner,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,13.1,Yuvraj Singh,DJ Hooda,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,13.2,JP Duminy,DJ Hooda,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,13.3,Yuvraj Singh,DJ Hooda,NA,JP Duminy,2,0,2,0,NA,NA,NA
1,13.4,Yuvraj Singh,DJ Hooda,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,13.5,JP Duminy,DJ Hooda,1wides,Yuvraj Singh,0,1,1,0,NA,NA,NA
1,13.6,JP Duminy,DJ Hooda,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,13.7,Yuvraj Singh,DJ Hooda,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,14.1,JP Duminy,TG Southee,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,14.2,Yuvraj Singh,TG Southee,NA,JP Duminy,2,0,2,0,NA,NA,NA
1,14.3,Yuvraj Singh,TG Southee,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,14.4,JP Duminy,TG Southee,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,14.5,JP Duminy,TG Southee,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,14.6,Yuvraj Singh,TG Southee,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,15.1,Yuvraj Singh,JP Faulkner,NA,JP Duminy,6,0,6,0,NA,NA,NA
1,15.2,Yuvraj Singh,JP Faulkner,NA,JP Duminy,2,0,2,0,NA,NA,NA
1,15.3,Yuvraj Singh,JP Faulkner,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,15.4,JP Duminy,JP Faulkner,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,15.5,Yuvraj Singh,JP Faulkner,NA,JP Duminy,6,0,6,0,NA,NA,NA
1,15.6,Yuvraj Singh,JP Faulkner,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,16.1,Yuvraj Singh,CH Morris,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,16.2,JP Duminy,CH Morris,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,16.3,Yuvraj Singh,CH Morris,NA,JP Duminy,0,0,0,1,KK Nair,caught,Yuvraj Singh
1,16.4,JP Duminy,CH Morris,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,16.5,AD Mathews,CH Morris,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,16.6,AD Mathews,CH Morris,1wides,JP Duminy,0,1,1,0,NA,NA,NA
1,16.7,AD Mathews,CH Morris,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,17.1,AD Mathews,JP Faulkner,NA,JP Duminy,4,0,4,0,NA,NA,NA
1,17.2,AD Mathews,JP Faulkner,NA,JP Duminy,0,0,0,0,NA,NA,NA
1,17.3,AD Mathews,JP Faulkner,NA,JP Duminy,2,0,2,0,NA,NA,NA
1,17.4,AD Mathews,JP Faulkner,NA,JP Duminy,4,0,4,0,NA,NA,NA
1,17.5,AD Mathews,JP Faulkner,NA,JP Duminy,6,0,6,0,NA,NA,NA
1,17.6,AD Mathews,JP Faulkner,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,18.1,AD Mathews,TG Southee,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,18.2,JP Duminy,TG Southee,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,18.3,AD Mathews,TG Southee,NA,JP Duminy,4,0,4,0,NA,NA,NA
1,18.4,AD Mathews,TG Southee,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,18.5,JP Duminy,TG Southee,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,18.6,AD Mathews,TG Southee,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,19.1,AD Mathews,CH Morris,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,19.2,JP Duminy,CH Morris,NA,AD Mathews,2,0,2,0,NA,NA,NA
1,19.3,JP Duminy,CH Morris,NA,AD Mathews,6,0,6,0,NA,NA,NA
1,19.4,JP Duminy,CH Morris,1legbyes,AD Mathews,0,1,1,0,NA,NA,NA
1,19.5,AD Mathews,CH Morris,NA,JP Duminy,1,0,1,0,NA,NA,NA
1,19.6,JP Duminy,CH Morris,NA,AD Mathews,6,0,6,0,NA,NA,NA
2,0.1,AM Rahane,JD Unadkat,NA,SV Samson,0,0,0,0,NA,NA,NA
2,0.2,AM Rahane,JD Unadkat,NA,SV Samson,0,0,0,0,NA,NA,NA
2,0.3,AM Rahane,JD Unadkat,NA,SV Samson,0,0,0,0,NA,NA,NA
2,0.4,AM Rahane,JD Unadkat,NA,SV Samson,0,0,0,0,NA,NA,NA
2,0.5,AM Rahane,JD Unadkat,NA,SV Samson,0,0,0,0,NA,NA,NA
2,0.6,AM Rahane,JD Unadkat,NA,SV Samson,2,0,2,0,NA,NA,NA
2,1.1,SV Samson,NM Coulter-Nile,NA,AM Rahane,4,0,4,0,NA,NA,NA
2,1.2,SV Samson,NM Coulter-Nile,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,1.3,SV Samson,NM Coulter-Nile,NA,AM Rahane,2,0,2,0,NA,NA,NA
2,1.4,SV Samson,NM Coulter-Nile,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,1.5,SV Samson,NM Coulter-Nile,NA,AM Rahane,2,0,2,0,NA,NA,NA
2,1.6,SV Samson,NM Coulter-Nile,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,2.1,AM Rahane,JD Unadkat,NA,SV Samson,6,0,6,0,NA,NA,NA
2,2.2,AM Rahane,JD Unadkat,NA,SV Samson,4,0,4,0,NA,NA,NA
2,2.3,AM Rahane,JD Unadkat,NA,SV Samson,0,0,0,0,NA,NA,NA
2,2.4,AM Rahane,JD Unadkat,NA,SV Samson,1,0,1,0,NA,NA,NA
2,2.5,SV Samson,JD Unadkat,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,2.6,AM Rahane,JD Unadkat,NA,SV Samson,1,0,1,0,NA,NA,NA
2,3.1,AM Rahane,NM Coulter-Nile,NA,SV Samson,0,0,0,0,NA,NA,NA
2,3.2,AM Rahane,NM Coulter-Nile,NA,SV Samson,6,0,6,0,NA,NA,NA
2,3.3,AM Rahane,NM Coulter-Nile,NA,SV Samson,0,0,0,0,NA,NA,NA
2,3.4,AM Rahane,NM Coulter-Nile,NA,SV Samson,4,0,4,0,NA,NA,NA
2,3.5,AM Rahane,NM Coulter-Nile,NA,SV Samson,1,0,1,0,NA,NA,NA
2,3.6,SV Samson,NM Coulter-Nile,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,4.1,SV Samson,AD Mathews,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,4.2,SV Samson,AD Mathews,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,4.3,SV Samson,AD Mathews,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,4.4,AM Rahane,AD Mathews,NA,SV Samson,0,0,0,0,NA,NA,NA
2,4.5,AM Rahane,AD Mathews,NA,SV Samson,1,0,1,0,NA,NA,NA
2,4.6,SV Samson,AD Mathews,NA,AM Rahane,0,0,0,1,Yuvraj Singh,caught,SV Samson
2,5.1,AM Rahane,NM Coulter-Nile,NA,SPD Smith,0,0,0,0,NA,NA,NA
2,5.2,AM Rahane,NM Coulter-Nile,NA,SPD Smith,1,0,1,0,NA,NA,NA
2,5.3,SPD Smith,NM Coulter-Nile,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,5.4,SPD Smith,NM Coulter-Nile,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,5.5,SPD Smith,NM Coulter-Nile,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,5.6,SPD Smith,NM Coulter-Nile,NA,AM Rahane,4,0,4,0,NA,NA,NA
2,6.1,AM Rahane,AD Mathews,NA,SPD Smith,0,0,0,0,NA,NA,NA
2,6.2,AM Rahane,AD Mathews,NA,SPD Smith,1,0,1,0,NA,NA,NA
2,6.3,SPD Smith,AD Mathews,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,6.4,AM Rahane,AD Mathews,NA,SPD Smith,1,0,1,0,NA,NA,NA
2,6.5,SPD Smith,AD Mathews,NA,AM Rahane,4,0,4,0,NA,NA,NA
2,6.6,SPD Smith,AD Mathews,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,7.1,SPD Smith,A Mishra,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,7.2,SPD Smith,A Mishra,NA,AM Rahane,0,0,0,1,MA Agarwal,caught,SPD Smith
2,7.3,KK Nair,A Mishra,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,7.4,KK Nair,A Mishra,NA,AM Rahane,4,0,4,0,NA,NA,NA
2,7.5,KK Nair,A Mishra,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,7.6,AM Rahane,A Mishra,NA,KK Nair,2,0,2,0,NA,NA,NA
2,8.1,KK Nair,Imran Tahir,NA,AM Rahane,2,0,2,0,NA,NA,NA
2,8.2,KK Nair,Imran Tahir,NA,AM Rahane,2,0,2,0,NA,NA,NA
2,8.3,KK Nair,Imran Tahir,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,8.4,KK Nair,Imran Tahir,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,8.5,AM Rahane,Imran Tahir,NA,KK Nair,0,0,0,0,NA,NA,NA
