innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SV Samson,JD Unadkat,NA,KK Nair,0,0,0,0,NA,NA,NA
1,0.2,SV Samson,JD Unadkat,NA,KK Nair,1,0,1,0,NA,NA,NA
1,0.3,KK Nair,JD Unadkat,NA,SV Samson,1,0,1,0,NA,NA,NA
1,0.4,SV Samson,JD Unadkat,NA,KK Nair,0,0,0,0,NA,NA,NA
1,0.5,SV Samson,JD Unadkat,NA,KK Nair,1,0,1,0,NA,NA,NA
1,0.6,KK Nair,JD Unadkat,NA,SV Samson,0,0,0,1,BA Stokes,run out,SV Samson
1,1.1,KK Nair,SN Thakur,NA,SS Iyer,2,0,2,0,NA,NA,NA
1,1.2,KK Nair,SN Thakur,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,1.3,SS Iyer,SN Thakur,NA,KK Nair,0,0,0,0,NA,NA,NA
1,1.4,SS Iyer,SN Thakur,NA,KK Nair,0,0,0,0,NA,NA,NA
1,1.5,SS Iyer,SN Thakur,NA,KK Nair,3,0,3,0,NA,NA,NA
1,1.6,KK Nair,SN Thakur,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,2.1,SS Iyer,JD Unadkat,NA,KK Nair,0,0,0,1,MS Dhoni,caught,SS Iyer
1,2.2,RR Pant,JD Unadkat,NA,KK Nair,0,0,0,0,NA,NA,NA
1,2.3,RR Pant,JD Unadkat,NA,KK Nair,1,0,1,0,NA,NA,NA
1,2.4,KK Nair,JD Unadkat,NA,RR Pant,1,0,1,0,NA,NA,NA
1,2.5,RR Pant,JD Unadkat,NA,KK Nair,0,0,0,0,NA,NA,NA
1,2.6,RR Pant,JD Unadkat,NA,KK Nair,0,0,0,0,NA,NA,NA
1,3.1,KK Nair,Washington Sundar,NA,RR Pant,4,0,4,0,NA,NA,NA
1,3.2,KK Nair,Washington Sundar,NA,RR Pant,0,0,0,0,NA,NA,NA
