innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RR Pant,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,0.2,RR Pant,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,0.3,RR Pant,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,0.4,RR Pant,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,0.5,RR Pant,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,0.6,RR Pant,AB Dinda,NA,SV Samson,2,0,2,0,NA,NA,NA
1,1.1,SV Samson,NLTC Perera,NA,RR Pant,0,0,0,0,NA,NA,NA
1,1.2,SV Samson,NLTC Perera,NA,RR Pant,4,0,4,0,NA,NA,NA
1,1.3,SV Samson,NLTC Perera,NA,RR Pant,4,0,4,0,NA,NA,NA
1,1.4,SV Samson,NLTC Perera,NA,RR Pant,0,0,0,0,NA,NA,NA
1,1.5,SV Samson,NLTC Perera,NA,RR Pant,1,0,1,0,NA,NA,NA
1,1.6,RR Pant,NLTC Perera,NA,SV Samson,0,0,0,0,NA,NA,NA
1,2.1,SV Samson,AB Dinda,NA,RR Pant,0,0,0,0,NA,NA,NA
1,2.2,SV Samson,AB Dinda,NA,RR Pant,0,0,0,0,NA,NA,NA
1,2.3,SV Samson,AB Dinda,NA,RR Pant,1,0,1,0,NA,NA,NA
1,2.4,RR Pant,AB Dinda,1wides,SV Samson,0,1,1,0,NA,NA,NA
1,2.5,RR Pant,AB Dinda,NA,SV Samson,0,0,0,1,NA,bowled,RR Pant
1,2.6,KK Nair,AB Dinda,NA,SV Samson,4,0,4,0,NA,NA,NA
1,2.7,KK Nair,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,3.1,SV Samson,SM Boland,NA,KK Nair,0,0,0,0,NA,NA,NA
1,3.2,SV Samson,SM Boland,NA,KK Nair,1,0,1,0,NA,NA,NA
1,3.3,KK Nair,SM Boland,NA,SV Samson,4,0,4,0,NA,NA,NA
1,3.4,KK Nair,SM Boland,NA,SV Samson,1,0,1,0,NA,NA,NA
1,3.5,SV Samson,SM Boland,NA,KK Nair,4,0,4,0,NA,NA,NA
1,3.6,SV Samson,SM Boland,NA,KK Nair,0,0,0,0,NA,NA,NA
1,4.1,KK Nair,AB Dinda,NA,SV Samson,4,0,4,0,NA,NA,NA
1,4.2,KK Nair,AB Dinda,NA,SV Samson,1,0,1,0,NA,NA,NA
1,4.3,SV Samson,AB Dinda,NA,KK Nair,1,0,1,0,NA,NA,NA
1,4.4,KK Nair,AB Dinda,NA,SV Samson,1,0,1,0,NA,NA,NA
1,4.5,SV Samson,AB Dinda,NA,KK Nair,1,0,1,0,NA,NA,NA
1,4.6,KK Nair,AB Dinda,1noballs,SV Samson,4,1,5,0,NA,NA,NA
1,4.7,KK Nair,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,5.1,SV Samson,SM Boland,NA,KK Nair,1,0,1,0,NA,NA,NA
1,5.2,KK Nair,SM Boland,NA,SV Samson,0,0,0,0,NA,NA,NA
1,5.3,KK Nair,SM Boland,NA,SV Samson,4,0,4,0,NA,NA,NA
