innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,Q de Kock,DW Steyn,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,0.2,Q de Kock,DW Steyn,NA,KP Pietersen,2,0,2,0,NA,NA,NA
1,0.3,Q de Kock,DW Steyn,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,0.4,KP Pietersen,DW Steyn,NA,Q de Kock,0,0,0,0,NA,NA,NA
1,0.5,KP Pietersen,DW Steyn,NA,Q de Kock,1,0,1,0,NA,NA,NA
1,0.6,Q de Kock,DW Steyn,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,1.1,KP Pietersen,B Kumar,NA,Q de Kock,1,0,1,0,NA,NA,NA
1,1.2,Q de Kock,B Kumar,NA,KP Pietersen,3,0,3,0,NA,NA,NA
1,1.3,KP Pietersen,B Kumar,1legbyes,Q de Kock,0,1,1,0,NA,NA,NA
1,1.4,Q de Kock,B Kumar,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,1.5,Q de Kock,B Kumar,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,1.6,Q de Kock,B Kumar,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,2.1,Q de Kock,DW Steyn,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.2,Q de Kock,DW Steyn,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.3,Q de Kock,DW Steyn,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.4,Q de Kock,DW Steyn,NA,KP Pietersen,0,0,0,1,KL Rahul,caught,Q de Kock
1,2.5,MA Agarwal,DW Steyn,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.6,MA Agarwal,DW Steyn,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,3.1,KP Pietersen,B Kumar,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,3.2,KP Pietersen,B Kumar,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,3.3,KP Pietersen,B Kumar,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,3.4,KP Pietersen,B Kumar,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,3.5,KP Pietersen,B Kumar,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,3.6,MA Agarwal,B Kumar,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,4.1,KP Pietersen,KV Sharma,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,4.2,MA Agarwal,KV Sharma,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,4.3,KP Pietersen,KV Sharma,NA,MA Agarwal,6,0,6,0,NA,NA,NA
1,4.4,KP Pietersen,KV Sharma,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,4.5,KP Pietersen,KV Sharma,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,4.6,KP Pietersen,KV Sharma,1wides,MA Agarwal,0,1,1,0,NA,NA,NA
1,4.7,KP Pietersen,KV Sharma,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,5.1,KP Pietersen,MC Henriques,NA,MA Agarwal,6,0,6,0,NA,NA,NA
1,5.2,KP Pietersen,MC Henriques,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,5.3,KP Pietersen,MC Henriques,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,5.4,MA Agarwal,MC Henriques,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,5.5,MA Agarwal,MC Henriques,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,5.6,MA Agarwal,MC Henriques,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,6.1,KP Pietersen,A Mishra,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,6.2,MA Agarwal,A Mishra,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,6.3,KP Pietersen,A Mishra,NA,MA Agarwal,0,0,0,1,S Dhawan,caught,KP Pietersen
1,6.4,KD Karthik,A Mishra,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,6.5,MA Agarwal,A Mishra,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,6.6,MA Agarwal,A Mishra,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,7.1,MA Agarwal,MC Henriques,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,7.2,KD Karthik,MC Henriques,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,7.3,MA Agarwal,MC Henriques,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,7.4,KD Karthik,MC Henriques,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,7.5,MA Agarwal,MC Henriques,NA,KD Karthik,2,0,2,0,NA,NA,NA
1,7.6,MA Agarwal,MC Henriques,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,8.1,MA Agarwal,A Mishra,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,8.2,MA Agarwal,A Mishra,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,8.3,MA Agarwal,A Mishra,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,8.4,KD Karthik,A Mishra,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,8.5,MA Agarwal,A Mishra,NA,KD Karthik,0,0,0,1,DA Warner,caught,MA Agarwal
