innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DR Smith,Z Khan,NA,Ishan Kishan,0,0,0,0,NA,NA,NA
1,0.2,DR Smith,Z Khan,NA,Ishan Kishan,4,0,4,0,NA,NA,NA
1,0.3,DR Smith,Z Khan,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,0.4,Ishan Kishan,Z Khan,NA,DR Smith,0,0,0,0,NA,NA,NA
1,0.5,Ishan Kishan,Z Khan,NA,DR Smith,1,0,1,0,NA,NA,NA
1,0.6,DR Smith,Z Khan,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,1.1,DR Smith,Mohammed Shami,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,1.2,Ishan Kishan,Mohammed Shami,NA,DR Smith,0,0,0,0,NA,NA,NA
1,1.3,Ishan Kishan,Mohammed Shami,1wides,DR Smith,0,1,1,0,NA,NA,NA
1,1.4,Ishan Kishan,Mohammed Shami,NA,DR Smith,4,0,4,0,NA,NA,NA
1,1.5,Ishan Kishan,Mohammed Shami,NA,DR Smith,0,0,0,0,NA,NA,NA
1,1.6,Ishan Kishan,Mohammed Shami,NA,DR Smith,0,0,0,0,NA,NA,NA
1,1.7,Ishan Kishan,Mohammed Shami,1wides,DR Smith,0,1,1,0,NA,NA,NA
1,1.8,Ishan Kishan,Mohammed Shami,1legbyes,DR Smith,0,1,1,0,NA,NA,NA
1,2.1,Ishan Kishan,Z Khan,NA,DR Smith,0,0,0,0,NA,NA,NA
1,2.2,Ishan Kishan,Z Khan,NA,DR Smith,4,0,4,0,NA,NA,NA
1,2.3,Ishan Kishan,Z Khan,NA,DR Smith,0,0,0,0,NA,NA,NA
1,2.4,Ishan Kishan,Z Khan,NA,DR Smith,1,0,1,0,NA,NA,NA
1,2.5,DR Smith,Z Khan,NA,Ishan Kishan,0,0,0,0,NA,NA,NA
1,2.6,DR Smith,Z Khan,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,3.1,DR Smith,Mohammed Shami,NA,Ishan Kishan,0,0,0,1,A Mishra,run out,DR Smith
1,3.2,Ishan Kishan,Mohammed Shami,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.3,Ishan Kishan,Mohammed Shami,NA,SK Raina,6,0,6,0,NA,NA,NA
