innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,M Vijay,P Kumar,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,0.2,M Vijay,P Kumar,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,0.3,M Vijay,P Kumar,NA,MP Stoinis,4,0,4,0,NA,NA,NA
1,0.4,M Vijay,P Kumar,NA,MP Stoinis,2,0,2,0,NA,NA,NA
1,0.5,M Vijay,P Kumar,NA,MP Stoinis,3,0,3,0,NA,NA,NA
1,0.6,MP Stoinis,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.1,M Vijay,DS Kulkarni,NA,MP Stoinis,1,0,1,0,NA,NA,NA
1,1.2,MP Stoinis,DS Kulkarni,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.3,MP Stoinis,DS Kulkarni,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.4,M Vijay,DS Kulkarni,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,1.5,M Vijay,DS Kulkarni,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,1.6,M Vijay,DS Kulkarni,NA,MP Stoinis,2,0,2,0,NA,NA,NA
1,2.1,MP Stoinis,P Kumar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.2,M Vijay,P Kumar,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,2.3,M Vijay,P Kumar,NA,MP Stoinis,4,0,4,0,NA,NA,NA
1,2.4,M Vijay,P Kumar,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,2.5,M Vijay,P Kumar,NA,MP Stoinis,4,0,4,0,NA,NA,NA
1,2.6,M Vijay,P Kumar,NA,MP Stoinis,4,0,4,0,NA,NA,NA
1,3.1,MP Stoinis,DS Kulkarni,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.2,MP Stoinis,DS Kulkarni,NA,M Vijay,1,0,1,0,NA,NA,NA
1,3.3,M Vijay,DS Kulkarni,NA,MP Stoinis,4,0,4,0,NA,NA,NA
1,3.4,M Vijay,DS Kulkarni,NA,MP Stoinis,2,0,2,0,NA,NA,NA
1,3.5,M Vijay,DS Kulkarni,NA,MP Stoinis,1,0,1,0,NA,NA,NA
1,3.6,MP Stoinis,DS Kulkarni,NA,M Vijay,0,0,0,0,NA,NA,NA
1,4.1,M Vijay,RA Jadeja,NA,MP Stoinis,1,0,1,0,NA,NA,NA
1,4.2,MP Stoinis,RA Jadeja,NA,M Vijay,6,0,6,0,NA,NA,NA
1,4.3,MP Stoinis,RA Jadeja,NA,M Vijay,2,0,2,0,NA,NA,NA
1,4.4,MP Stoinis,RA Jadeja,NA,M Vijay,2,0,2,0,NA,NA,NA
1,4.5,MP Stoinis,RA Jadeja,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,4.6,MP Stoinis,RA Jadeja,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,4.7,MP Stoinis,RA Jadeja,NA,M Vijay,0,0,0,0,NA,NA,NA
1,4.8,MP Stoinis,RA Jadeja,NA,M Vijay,4,0,4,0,NA,NA,NA
1,5.1,M Vijay,DS Kulkarni,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,5.2,M Vijay,DS Kulkarni,NA,MP Stoinis,1,0,1,0,NA,NA,NA
1,5.3,MP Stoinis,DS Kulkarni,NA,M Vijay,4,0,4,0,NA,NA,NA
1,5.4,MP Stoinis,DS Kulkarni,NA,M Vijay,1,0,1,0,NA,NA,NA
1,5.5,M Vijay,DS Kulkarni,NA,MP Stoinis,0,0,0,0,NA,NA,NA
1,5.6,M Vijay,DS Kulkarni,NA,MP Stoinis,2,0,2,0,NA,NA,NA
1,6.1,MP Stoinis,RA Jadeja,NA,M Vijay,4,0,4,0,NA,NA,NA
1,6.2,MP Stoinis,RA Jadeja,NA,M Vijay,1,0,1,0,NA,NA,NA
1,6.3,M Vijay,RA Jadeja,NA,MP Stoinis,1,0,1,0,NA,NA,NA
1,6.4,MP Stoinis,RA Jadeja,NA,M Vijay,0,0,0,1,KD Karthik,stumped,MP Stoinis
1,6.5,SE Marsh,RA Jadeja,1legbyes,M Vijay,0,1,1,0,NA,NA,NA
1,6.6,M Vijay,RA Jadeja,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,7.1,M Vijay,S Kaushik,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,7.2,M Vijay,S Kaushik,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,7.3,SE Marsh,S Kaushik,NA,M Vijay,1,0,1,0,NA,NA,NA
1,7.4,M Vijay,S Kaushik,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,7.5,SE Marsh,S Kaushik,NA,M Vijay,0,0,0,1,SK Raina,caught,SE Marsh
1,7.6,GJ Maxwell,S Kaushik,NA,M Vijay,0,0,0,1,KD Karthik,caught,GJ Maxwell
1,8.1,M Vijay,RA Jadeja,NA,Gurkeerat Singh,2,0,2,0,NA,NA,NA
1,8.2,M Vijay,RA Jadeja,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,8.3,Gurkeerat Singh,RA Jadeja,NA,M Vijay,0,0,0,0,NA,NA,NA
1,8.4,Gurkeerat Singh,RA Jadeja,NA,M Vijay,0,0,0,0,NA,NA,NA
1,8.5,Gurkeerat Singh,RA Jadeja,NA,M Vijay,0,0,0,1,JP Faulkner,run out,Gurkeerat Singh
1,8.6,DA Miller,RA Jadeja,NA,M Vijay,1,0,1,0,NA,NA,NA
1,9.1,DA Miller,S Kaushik,NA,M Vijay,0,0,0,0,NA,NA,NA
1,9.2,DA Miller,S Kaushik,NA,M Vijay,1,0,1,0,NA,NA,NA
1,9.3,M Vijay,S Kaushik,NA,DA Miller,1,0,1,0,NA,NA,NA
1,9.4,DA Miller,S Kaushik,NA,M Vijay,0,0,0,0,NA,NA,NA
1,9.5,DA Miller,S Kaushik,NA,M Vijay,1,0,1,0,NA,NA,NA
1,9.6,M Vijay,S Kaushik,NA,DA Miller,1,0,1,0,NA,NA,NA
1,10.1,M Vijay,DJ Bravo,NA,DA Miller,1,0,1,0,NA,NA,NA
1,10.2,DA Miller,DJ Bravo,NA,M Vijay,0,0,0,0,NA,NA,NA
1,10.3,DA Miller,DJ Bravo,NA,M Vijay,1,0,1,0,NA,NA,NA
1,10.4,M Vijay,DJ Bravo,NA,DA Miller,1,0,1,0,NA,NA,NA
1,10.5,DA Miller,DJ Bravo,NA,M Vijay,4,0,4,0,NA,NA,NA
1,10.6,DA Miller,DJ Bravo,NA,M Vijay,1,0,1,0,NA,NA,NA
1,11.1,DA Miller,S Kaushik,NA,M Vijay,1,0,1,0,NA,NA,NA
1,11.2,M Vijay,S Kaushik,1wides,DA Miller,0,1,1,0,NA,NA,NA
1,11.3,M Vijay,S Kaushik,NA,DA Miller,0,0,0,0,NA,NA,NA
1,11.4,M Vijay,S Kaushik,NA,DA Miller,1,0,1,0,NA,NA,NA
1,11.5,DA Miller,S Kaushik,NA,M Vijay,0,0,0,0,NA,NA,NA
1,11.6,DA Miller,S Kaushik,NA,M Vijay,1,0,1,0,NA,NA,NA
1,11.7,M Vijay,S Kaushik,NA,DA Miller,4,0,4,0,NA,NA,NA
1,12.1,DA Miller,JP Faulkner,NA,M Vijay,1,0,1,0,NA,NA,NA
1,12.2,M Vijay,JP Faulkner,NA,DA Miller,2,0,2,0,NA,NA,NA
1,12.3,M Vijay,JP Faulkner,NA,DA Miller,0,0,0,0,NA,NA,NA
1,12.4,M Vijay,JP Faulkner,NA,DA Miller,1,0,1,0,NA,NA,NA
1,12.5,DA Miller,JP Faulkner,NA,M Vijay,1,0,1,0,NA,NA,NA
1,12.6,M Vijay,JP Faulkner,NA,DA Miller,1,0,1,0,NA,NA,NA
1,13.1,M Vijay,S Kaushik,NA,DA Miller,0,0,0,1,DJ Bravo,caught,M Vijay
1,13.2,WP Saha,S Kaushik,NA,DA Miller,1,0,1,0,NA,NA,NA
1,13.3,DA Miller,S Kaushik,NA,WP Saha,2,0,2,0,NA,NA,NA
1,13.4,DA Miller,S Kaushik,NA,WP Saha,0,0,0,0,NA,NA,NA
1,13.5,DA Miller,S Kaushik,NA,WP Saha,0,0,0,0,NA,NA,NA
1,13.6,DA Miller,S Kaushik,NA,WP Saha,2,0,2,0,NA,NA,NA
1,14.1,WP Saha,DJ Bravo,NA,DA Miller,1,0,1,0,NA,NA,NA
1,14.2,DA Miller,DJ Bravo,NA,WP Saha,1,0,1,0,NA,NA,NA
1,14.3,WP Saha,DJ Bravo,NA,DA Miller,0,0,0,0,NA,NA,NA
1,14.4,WP Saha,DJ Bravo,NA,DA Miller,1,0,1,0,NA,NA,NA
1,14.5,DA Miller,DJ Bravo,NA,WP Saha,1,0,1,0,NA,NA,NA
1,14.6,WP Saha,DJ Bravo,NA,DA Miller,1,0,1,0,NA,NA,NA
1,15.1,WP Saha,JP Faulkner,NA,DA Miller,1,0,1,0,NA,NA,NA
1,15.2,DA Miller,JP Faulkner,NA,WP Saha,4,0,4,0,NA,NA,NA
1,15.3,DA Miller,JP Faulkner,NA,WP Saha,1,0,1,0,NA,NA,NA
1,15.4,WP Saha,JP Faulkner,NA,DA Miller,4,0,4,0,NA,NA,NA
1,15.5,WP Saha,JP Faulkner,NA,DA Miller,1,0,1,0,NA,NA,NA
1,15.6,DA Miller,JP Faulkner,NA,WP Saha,2,0,2,0,NA,NA,NA
1,16.1,WP Saha,DJ Bravo,NA,DA Miller,4,0,4,0,NA,NA,NA
1,16.2,WP Saha,DJ Bravo,NA,DA Miller,1,0,1,0,NA,NA,NA
1,16.3,DA Miller,DJ Bravo,NA,WP Saha,2,0,2,0,NA,NA,NA
1,16.4,DA Miller,DJ Bravo,NA,WP Saha,1,0,1,0,NA,NA,NA
1,16.5,WP Saha,DJ Bravo,NA,DA Miller,4,0,4,0,NA,NA,NA
1,16.6,WP Saha,DJ Bravo,NA,DA Miller,2,0,2,0,NA,NA,NA
1,17.1,DA Miller,DS Kulkarni,NA,WP Saha,2,0,2,0,NA,NA,NA
1,17.2,DA Miller,DS Kulkarni,NA,WP Saha,0,0,0,1,DR Smith,caught,DA Miller
1,17.3,WP Saha,DS Kulkarni,NA,AR Patel,0,0,0,0,NA,NA,NA
1,17.4,WP Saha,DS Kulkarni,NA,AR Patel,2,0,2,0,NA,NA,NA
1,17.5,WP Saha,DS Kulkarni,NA,AR Patel,2,0,2,0,NA,NA,NA
1,17.6,WP Saha,DS Kulkarni,NA,AR Patel,2,0,2,0,NA,NA,NA
1,18.1,AR Patel,DJ Bravo,NA,WP Saha,0,0,0,0,NA,NA,NA
1,18.2,AR Patel,DJ Bravo,NA,WP Saha,0,0,0,1,Ishan Kishan,caught,AR Patel
1,18.3,WP Saha,DJ Bravo,NA,MM Sharma,4,0,4,0,NA,NA,NA
1,18.4,WP Saha,DJ Bravo,NA,MM Sharma,2,0,2,0,NA,NA,NA
1,18.5,WP Saha,DJ Bravo,NA,MM Sharma,0,0,0,1,NA,bowled,WP Saha
1,18.6,KC Cariappa,DJ Bravo,NA,MM Sharma,0,0,0,0,NA,NA,NA
1,19.1,MM Sharma,P Kumar,NA,KC Cariappa,1,0,1,0,NA,NA,NA
1,19.2,KC Cariappa,P Kumar,NA,MM Sharma,1,0,1,0,NA,NA,NA
1,19.3,MM Sharma,P Kumar,NA,KC Cariappa,0,0,0,1,NA,bowled,MM Sharma
1,19.4,Sandeep Sharma,P Kumar,NA,KC Cariappa,1,0,1,0,NA,NA,NA
1,19.5,KC Cariappa,P Kumar,NA,Sandeep Sharma,0,0,0,1,NA,bowled,KC Cariappa
2,0.1,DR Smith,Sandeep Sharma,1wides,BB McCullum,0,1,1,0,NA,NA,NA
2,0.2,DR Smith,Sandeep Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
2,0.3,DR Smith,Sandeep Sharma,NA,BB McCullum,4,0,4,0,NA,NA,NA
2,0.4,DR Smith,Sandeep Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
2,0.5,DR Smith,Sandeep Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
2,0.6,DR Smith,Sandeep Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
