innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,JJ Roy,TA Boult,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.2,JJ Roy,TA Boult,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.3,JJ Roy,TA Boult,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.4,JJ Roy,TA Boult,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.5,JJ Roy,TA Boult,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.6,JJ Roy,TA Boult,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.1,BB McCullum,PP Chawla,NA,JJ Roy,1,0,1,0,NA,NA,NA
1,1.2,JJ Roy,PP Chawla,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.3,JJ Roy,PP Chawla,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,1.4,JJ Roy,PP Chawla,1wides,BB McCullum,0,1,1,0,NA,NA,NA
1,1.5,JJ Roy,PP Chawla,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.6,JJ Roy,PP Chawla,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.7,BB McCullum,PP Chawla,NA,JJ Roy,1,0,1,0,NA,NA,NA
1,2.1,BB McCullum,SP Narine,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,2.2,BB McCullum,SP Narine,NA,JJ Roy,4,0,4,0,NA,NA,NA
1,2.3,BB McCullum,SP Narine,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,2.4,BB McCullum,SP Narine,NA,JJ Roy,1,0,1,0,NA,NA,NA
1,2.5,JJ Roy,SP Narine,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.6,BB McCullum,SP Narine,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,3.1,JJ Roy,PP Chawla,NA,BB McCullum,0,0,0,1,YK Pathan,caught,JJ Roy
1,3.2,SK Raina,PP Chawla,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.3,SK Raina,PP Chawla,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.4,BB McCullum,PP Chawla,NA,SK Raina,6,0,6,0,NA,NA,NA
1,3.5,BB McCullum,PP Chawla,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.6,BB McCullum,PP Chawla,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.1,SK Raina,SP Narine,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.2,BB McCullum,SP Narine,NA,SK Raina,2,0,2,0,NA,NA,NA
1,4.3,BB McCullum,SP Narine,NA,SK Raina,4,0,4,0,NA,NA,NA
1,4.4,BB McCullum,SP Narine,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.5,BB McCullum,SP Narine,NA,SK Raina,4,0,4,0,NA,NA,NA
1,4.6,BB McCullum,SP Narine,NA,SK Raina,0,0,0,0,NA,NA,NA
1,5.1,SK Raina,CR Woakes,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,5.2,SK Raina,CR Woakes,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.3,SK Raina,CR Woakes,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,5.4,SK Raina,CR Woakes,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,5.5,SK Raina,CR Woakes,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,5.6,SK Raina,CR Woakes,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,6.1,BB McCullum,Kuldeep Yadav,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.2,BB McCullum,Kuldeep Yadav,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.3,SK Raina,Kuldeep Yadav,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,6.4,BB McCullum,Kuldeep Yadav,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.5,BB McCullum,Kuldeep Yadav,NA,SK Raina,4,0,4,0,NA,NA,NA
1,6.6,BB McCullum,Kuldeep Yadav,NA,SK Raina,6,0,6,0,NA,NA,NA
1,7.1,SK Raina,CR Woakes,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.2,BB McCullum,CR Woakes,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.3,BB McCullum,CR Woakes,1legbyes,SK Raina,0,1,1,0,NA,NA,NA
1,7.4,SK Raina,CR Woakes,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.5,BB McCullum,CR Woakes,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.6,SK Raina,CR Woakes,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,8.1,BB McCullum,Kuldeep Yadav,NA,SK Raina,0,0,0,1,NA,lbw,BB McCullum
1,8.2,AJ Finch,Kuldeep Yadav,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.3,SK Raina,Kuldeep Yadav,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,8.4,AJ Finch,Kuldeep Yadav,NA,SK Raina,0,0,0,0,NA,NA,NA
1,8.5,AJ Finch,Kuldeep Yadav,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.6,SK Raina,Kuldeep Yadav,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,9.1,SK Raina,YK Pathan,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,9.2,AJ Finch,YK Pathan,NA,SK Raina,6,0,6,0,NA,NA,NA
1,9.3,AJ Finch,YK Pathan,NA,SK Raina,6,0,6,0,NA,NA,NA
1,9.4,AJ Finch,YK Pathan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,9.5,SK Raina,YK Pathan,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,9.6,AJ Finch,YK Pathan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,10.1,SK Raina,Kuldeep Yadav,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,10.2,AJ Finch,Kuldeep Yadav,NA,SK Raina,0,0,0,1,Kuldeep Yadav,caught,AJ Finch
1,10.3,SK Raina,Kuldeep Yadav,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,10.4,KD Karthik,Kuldeep Yadav,NA,SK Raina,0,0,0,0,NA,NA,NA
1,10.5,KD Karthik,Kuldeep Yadav,NA,SK Raina,1,0,1,0,NA,NA,NA
1,10.6,SK Raina,Kuldeep Yadav,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,11.1,SK Raina,TA Boult,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,11.2,SK Raina,TA Boult,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,11.3,SK Raina,TA Boult,NA,KD Karthik,1,0,1,0,NA,NA,NA
