innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RG Sharma,P Kumar,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,0.2,RG Sharma,P Kumar,NA,MJ Guptill,4,0,4,0,NA,NA,NA
1,0.3,RG Sharma,P Kumar,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,0.4,RG Sharma,P Kumar,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,0.5,RG Sharma,P Kumar,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,0.6,RG Sharma,P Kumar,NA,MJ Guptill,4,0,4,0,NA,NA,NA
1,1.1,MJ Guptill,DS Kulkarni,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,1.2,MJ Guptill,DS Kulkarni,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,1.3,MJ Guptill,DS Kulkarni,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,1.4,RG Sharma,DS Kulkarni,NA,MJ Guptill,4,0,4,0,NA,NA,NA
1,1.5,RG Sharma,DS Kulkarni,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,1.6,RG Sharma,DS Kulkarni,NA,MJ Guptill,6,0,6,0,NA,NA,NA
1,2.1,MJ Guptill,P Kumar,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,2.2,RG Sharma,P Kumar,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,2.3,RG Sharma,P Kumar,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,2.4,RG Sharma,P Kumar,NA,MJ Guptill,4,0,4,0,NA,NA,NA
1,2.5,RG Sharma,P Kumar,NA,MJ Guptill,1,0,1,0,NA,NA,NA
1,2.6,MJ Guptill,P Kumar,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,3.1,RG Sharma,DS Kulkarni,NA,MJ Guptill,1,0,1,0,NA,NA,NA
1,3.2,MJ Guptill,DS Kulkarni,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,3.3,RG Sharma,DS Kulkarni,NA,MJ Guptill,0,0,0,0,NA,NA,NA
1,3.4,RG Sharma,DS Kulkarni,NA,MJ Guptill,6,0,6,0,NA,NA,NA
1,3.5,RG Sharma,DS Kulkarni,NA,MJ Guptill,0,0,0,1,SB Jakati,caught,RG Sharma
1,3.6,N Rana,DS Kulkarni,NA,MJ Guptill,4,0,4,0,NA,NA,NA
1,4.1,MJ Guptill,DR Smith,NA,N Rana,0,0,0,0,NA,NA,NA
1,4.2,MJ Guptill,DR Smith,NA,N Rana,4,0,4,0,NA,NA,NA
1,4.3,MJ Guptill,DR Smith,NA,N Rana,0,0,0,1,DJ Bravo,caught,MJ Guptill
1,4.4,KH Pandya,DR Smith,NA,N Rana,4,0,4,0,NA,NA,NA
1,4.5,KH Pandya,DR Smith,NA,N Rana,0,0,0,0,NA,NA,NA
1,4.6,KH Pandya,DR Smith,NA,N Rana,0,0,0,1,AJ Finch,caught,KH Pandya
1,5.1,JC Buttler,P Kumar,NA,N Rana,0,0,0,0,NA,NA,NA
1,5.2,JC Buttler,P Kumar,NA,N Rana,0,0,0,0,NA,NA,NA
1,5.3,JC Buttler,P Kumar,NA,N Rana,0,0,0,0,NA,NA,NA
1,5.4,JC Buttler,P Kumar,NA,N Rana,0,0,0,0,NA,NA,NA
1,5.5,JC Buttler,P Kumar,NA,N Rana,0,0,0,0,NA,NA,NA
1,5.6,JC Buttler,P Kumar,NA,N Rana,4,0,4,0,NA,NA,NA
1,6.1,N Rana,DR Smith,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,6.2,JC Buttler,DR Smith,NA,N Rana,0,0,0,0,NA,NA,NA
1,6.3,JC Buttler,DR Smith,NA,N Rana,1,0,1,0,NA,NA,NA
1,6.4,N Rana,DR Smith,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,6.5,JC Buttler,DR Smith,1wides,N Rana,0,1,1,0,NA,NA,NA
1,6.6,JC Buttler,DR Smith,NA,N Rana,1,0,1,0,NA,NA,NA
1,6.7,N Rana,DR Smith,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,7.1,JC Buttler,SB Jakati,NA,N Rana,1,0,1,0,NA,NA,NA
1,7.2,N Rana,SB Jakati,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,7.3,N Rana,SB Jakati,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,7.4,N Rana,SB Jakati,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,7.5,JC Buttler,SB Jakati,NA,N Rana,2,0,2,0,NA,NA,NA
1,7.6,JC Buttler,SB Jakati,NA,N Rana,1,0,1,0,NA,NA,NA
1,8.1,JC Buttler,DR Smith,NA,N Rana,4,0,4,0,NA,NA,NA
1,8.2,JC Buttler,DR Smith,NA,N Rana,1,0,1,0,NA,NA,NA
1,8.3,N Rana,DR Smith,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,8.4,JC Buttler,DR Smith,NA,N Rana,0,0,0,0,NA,NA,NA
1,8.5,JC Buttler,DR Smith,NA,N Rana,2,0,2,0,NA,NA,NA
1,8.6,JC Buttler,DR Smith,NA,N Rana,0,0,0,0,NA,NA,NA
1,9.1,N Rana,DJ Bravo,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,9.2,JC Buttler,DJ Bravo,NA,N Rana,2,0,2,0,NA,NA,NA
1,9.3,JC Buttler,DJ Bravo,NA,N Rana,1,0,1,0,NA,NA,NA
1,9.4,N Rana,DJ Bravo,NA,JC Buttler,0,0,0,0,NA,NA,NA
