innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,P Kumar,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,P Kumar,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.3,AM Rahane,P Kumar,NA,RA Tripathi,0,0,0,1,SK Raina,caught,AM Rahane
1,0.4,SPD Smith,P Kumar,1wides,RA Tripathi,0,1,1,0,NA,NA,NA
1,0.5,SPD Smith,P Kumar,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.6,SPD Smith,P Kumar,1wides,RA Tripathi,0,1,1,0,NA,NA,NA
1,0.7,SPD Smith,P Kumar,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,0.8,SPD Smith,P Kumar,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,1.1,RA Tripathi,Basil Thampi,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,1.2,RA Tripathi,Basil Thampi,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,1.3,RA Tripathi,Basil Thampi,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,1.4,SPD Smith,Basil Thampi,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,1.5,SPD Smith,Basil Thampi,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,1.6,SPD Smith,Basil Thampi,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,2.1,RA Tripathi,P Kumar,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,2.2,RA Tripathi,P Kumar,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,2.3,RA Tripathi,P Kumar,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,2.4,RA Tripathi,P Kumar,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,2.5,RA Tripathi,P Kumar,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,2.6,SPD Smith,P Kumar,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,3.1,SPD Smith,SB Jakati,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,3.2,SPD Smith,SB Jakati,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,3.3,SPD Smith,SB Jakati,NA,RA Tripathi,6,0,6,0,NA,NA,NA
1,3.4,SPD Smith,SB Jakati,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,3.5,SPD Smith,SB Jakati,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,3.6,RA Tripathi,SB Jakati,NA,SPD Smith,1,0,1,0,NA,NA,NA
