innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,P Kumar,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,P Kumar,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,0.3,AM Rahane,P Kumar,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,0.4,F du Plessis,P Kumar,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.5,F du Plessis,P Kumar,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.6,F du Plessis,P Kumar,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.1,AM Rahane,SB Jakati,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.2,AM Rahane,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,1.3,F du Plessis,SB Jakati,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.4,AM Rahane,SB Jakati,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,1.5,AM Rahane,SB Jakati,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,1.6,AM Rahane,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,2.1,AM Rahane,P Kumar,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.2,AM Rahane,P Kumar,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.3,AM Rahane,P Kumar,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,2.4,F du Plessis,P Kumar,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.5,F du Plessis,P Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.6,AM Rahane,P Kumar,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,3.1,AM Rahane,PV Tambe,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,3.2,AM Rahane,PV Tambe,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,3.3,AM Rahane,PV Tambe,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,3.4,AM Rahane,PV Tambe,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,3.5,AM Rahane,PV Tambe,NA,F du Plessis,0,0,0,1,NA,lbw,AM Rahane
1,3.6,KP Pietersen,PV Tambe,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,4.1,KP Pietersen,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,4.2,F du Plessis,SB Jakati,NA,KP Pietersen,6,0,6,0,NA,NA,NA
1,4.3,F du Plessis,SB Jakati,1byes,KP Pietersen,0,1,1,0,NA,NA,NA
1,4.4,KP Pietersen,SB Jakati,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,4.5,KP Pietersen,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,4.6,F du Plessis,SB Jakati,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,5.1,KP Pietersen,DJ Bravo,NA,F du Plessis,6,0,6,0,NA,NA,NA
1,5.2,KP Pietersen,DJ Bravo,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,5.3,F du Plessis,DJ Bravo,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,5.4,KP Pietersen,DJ Bravo,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,5.5,F du Plessis,DJ Bravo,NA,KP Pietersen,6,0,6,0,NA,NA,NA
1,5.6,F du Plessis,DJ Bravo,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,6.1,F du Plessis,RA Jadeja,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,6.2,KP Pietersen,RA Jadeja,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,6.3,KP Pietersen,RA Jadeja,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,6.4,F du Plessis,RA Jadeja,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,6.5,F du Plessis,RA Jadeja,NA,KP Pietersen,6,0,6,0,NA,NA,NA
1,6.6,F du Plessis,RA Jadeja,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,7.1,F du Plessis,PV Tambe,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,7.2,KP Pietersen,PV Tambe,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,7.3,F du Plessis,PV Tambe,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,7.4,KP Pietersen,PV Tambe,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,7.5,KP Pietersen,PV Tambe,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,7.6,F du Plessis,PV Tambe,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,8.1,KP Pietersen,RA Jadeja,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,8.2,KP Pietersen,RA Jadeja,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,8.3,KP Pietersen,RA Jadeja,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,8.4,F du Plessis,RA Jadeja,NA,KP Pietersen,2,0,2,0,NA,NA,NA
1,8.5,F du Plessis,RA Jadeja,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,8.6,KP Pietersen,RA Jadeja,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,9.1,F du Plessis,PV Tambe,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,9.2,F du Plessis,PV Tambe,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,9.3,KP Pietersen,PV Tambe,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,9.4,F du Plessis,PV Tambe,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,9.5,KP Pietersen,PV Tambe,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,9.6,KP Pietersen,PV Tambe,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,10.1,F du Plessis,SB Jakati,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,10.2,F du Plessis,SB Jakati,NA,KP Pietersen,2,0,2,0,NA,NA,NA
1,10.3,F du Plessis,SB Jakati,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,10.4,KP Pietersen,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,10.5,F du Plessis,SB Jakati,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,10.6,KP Pietersen,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,11.1,KP Pietersen,JP Faulkner,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,11.2,KP Pietersen,JP Faulkner,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,11.3,KP Pietersen,JP Faulkner,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,11.4,F du Plessis,JP Faulkner,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,11.5,KP Pietersen,JP Faulkner,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,11.6,F du Plessis,JP Faulkner,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,12.1,KP Pietersen,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,12.2,F du Plessis,SB Jakati,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,12.3,F du Plessis,SB Jakati,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,12.4,KP Pietersen,SB Jakati,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,12.5,KP Pietersen,SB Jakati,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,12.6,F du Plessis,SB Jakati,NA,KP Pietersen,4,0,4,0,NA,NA,NA
