innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,CH Gayle,DS Kulkarni,NA,V Kohli,1,0,1,0,NA,NA,NA
1,0.2,V Kohli,DS Kulkarni,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.3,V Kohli,DS Kulkarni,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,0.4,CH Gayle,DS Kulkarni,NA,V Kohli,1,0,1,0,NA,NA,NA
1,0.5,V Kohli,DS Kulkarni,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,0.6,V Kohli,DS Kulkarni,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.1,V Kohli,Basil Thampi,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.2,V Kohli,Basil Thampi,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.3,V Kohli,Basil Thampi,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.4,V Kohli,Basil Thampi,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.5,V Kohli,Basil Thampi,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,1.6,V Kohli,Basil Thampi,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,2.1,V Kohli,DS Kulkarni,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.2,V Kohli,DS Kulkarni,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.3,V Kohli,DS Kulkarni,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,2.4,V Kohli,DS Kulkarni,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,2.5,V Kohli,DS Kulkarni,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,2.6,V Kohli,DS Kulkarni,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.1,CH Gayle,Basil Thampi,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.2,CH Gayle,Basil Thampi,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.3,CH Gayle,Basil Thampi,NA,V Kohli,1,0,1,0,NA,NA,NA
1,3.4,V Kohli,Basil Thampi,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.5,CH Gayle,Basil Thampi,NA,V Kohli,6,0,6,0,NA,NA,NA
1,3.6,CH Gayle,Basil Thampi,NA,V Kohli,0,0,0,0,NA,NA,NA
1,4.1,V Kohli,AJ Tye,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,4.2,CH Gayle,AJ Tye,NA,V Kohli,1,0,1,0,NA,NA,NA
1,4.3,V Kohli,AJ Tye,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.4,V Kohli,AJ Tye,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.5,V Kohli,AJ Tye,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.6,V Kohli,AJ Tye,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,5.1,V Kohli,RA Jadeja,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,5.2,CH Gayle,RA Jadeja,NA,V Kohli,4,0,4,0,NA,NA,NA
1,5.3,CH Gayle,RA Jadeja,NA,V Kohli,2,0,2,0,NA,NA,NA
1,5.4,CH Gayle,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,5.5,V Kohli,RA Jadeja,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.6,V Kohli,RA Jadeja,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,6.1,V Kohli,S Kaushik,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,6.2,V Kohli,S Kaushik,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,6.3,CH Gayle,S Kaushik,NA,V Kohli,1,0,1,0,NA,NA,NA
1,6.4,V Kohli,S Kaushik,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,6.5,CH Gayle,S Kaushik,NA,V Kohli,6,0,6,0,NA,NA,NA
1,6.6,CH Gayle,S Kaushik,NA,V Kohli,0,0,0,0,NA,NA,NA
1,7.1,V Kohli,RA Jadeja,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,7.2,CH Gayle,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,7.3,CH Gayle,RA Jadeja,NA,V Kohli,4,0,4,0,NA,NA,NA
1,7.4,CH Gayle,RA Jadeja,NA,V Kohli,4,0,4,0,NA,NA,NA
1,7.5,CH Gayle,RA Jadeja,NA,V Kohli,6,0,6,0,NA,NA,NA
1,7.6,CH Gayle,RA Jadeja,NA,V Kohli,6,0,6,0,NA,NA,NA
1,8.1,V Kohli,AJ Tye,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,8.2,V Kohli,AJ Tye,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,8.3,CH Gayle,AJ Tye,1legbyes,V Kohli,0,1,1,0,NA,NA,NA
1,8.4,V Kohli,AJ Tye,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,8.5,CH Gayle,AJ Tye,NA,V Kohli,1,0,1,0,NA,NA,NA
1,8.6,V Kohli,AJ Tye,NA,CH Gayle,4,0,4,0,NA,NA,NA
