innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AJ Finch,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.2,AJ Finch,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.3,AJ Finch,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.4,AJ Finch,B Kumar,NA,BB McCullum,0,0,0,1,NA,bowled,AJ Finch
1,0.5,SK Raina,B Kumar,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.6,SK Raina,B Kumar,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.1,SK Raina,BB Sran,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,1.2,SK Raina,BB Sran,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,1.3,SK Raina,BB Sran,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.4,BB McCullum,BB Sran,NA,SK Raina,1,0,1,0,NA,NA,NA
1,1.5,SK Raina,BB Sran,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.6,SK Raina,BB Sran,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.1,SK Raina,B Kumar,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,2.2,SK Raina,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.3,SK Raina,B Kumar,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,2.4,SK Raina,B Kumar,1legbyes,BB McCullum,0,1,1,0,NA,NA,NA
1,2.5,BB McCullum,B Kumar,NA,SK Raina,0,0,0,0,NA,NA,NA
1,2.6,BB McCullum,B Kumar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.1,BB McCullum,Mustafizur Rahman,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.2,BB McCullum,Mustafizur Rahman,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.3,BB McCullum,Mustafizur Rahman,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.4,SK Raina,Mustafizur Rahman,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.5,BB McCullum,Mustafizur Rahman,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.6,BB McCullum,Mustafizur Rahman,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.1,SK Raina,BB Sran,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,4.2,SK Raina,BB Sran,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.3,BB McCullum,BB Sran,NA,SK Raina,6,0,6,0,NA,NA,NA
1,4.4,BB McCullum,BB Sran,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.5,BB McCullum,BB Sran,NA,SK Raina,4,0,4,0,NA,NA,NA
1,4.6,BB McCullum,BB Sran,NA,SK Raina,2,0,2,0,NA,NA,NA
1,5.1,SK Raina,DJ Hooda,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,5.2,SK Raina,DJ Hooda,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,5.3,BB McCullum,DJ Hooda,NA,SK Raina,1,0,1,0,NA,NA,NA
1,5.4,SK Raina,DJ Hooda,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,5.5,SK Raina,DJ Hooda,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,5.6,BB McCullum,DJ Hooda,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.1,SK Raina,MC Henriques,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,6.2,BB McCullum,MC Henriques,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.3,SK Raina,MC Henriques,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,6.4,BB McCullum,MC Henriques,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.5,SK Raina,MC Henriques,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,6.6,SK Raina,MC Henriques,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.1,SK Raina,Bipul Sharma,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.2,BB McCullum,Bipul Sharma,NA,SK Raina,0,0,0,1,DJ Hooda,caught,BB McCullum
1,7.3,SK Raina,Bipul Sharma,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,7.4,KD Karthik,Bipul Sharma,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.5,KD Karthik,Bipul Sharma,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.6,SK Raina,Bipul Sharma,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,8.1,KD Karthik,MC Henriques,NA,SK Raina,0,0,0,0,NA,NA,NA
1,8.2,KD Karthik,MC Henriques,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.3,SK Raina,MC Henriques,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,8.4,KD Karthik,MC Henriques,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,8.5,KD Karthik,MC Henriques,NA,SK Raina,0,0,0,0,NA,NA,NA
1,8.6,KD Karthik,MC Henriques,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.7,SK Raina,MC Henriques,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,9.1,SK Raina,DJ Hooda,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,9.2,SK Raina,DJ Hooda,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,9.3,KD Karthik,DJ Hooda,NA,SK Raina,1,0,1,0,NA,NA,NA
1,9.4,SK Raina,DJ Hooda,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,9.5,KD Karthik,DJ Hooda,NA,SK Raina,4,0,4,0,NA,NA,NA
1,9.6,KD Karthik,DJ Hooda,NA,SK Raina,0,0,0,1,B Kumar,caught,KD Karthik
1,10.1,DJ Bravo,Bipul Sharma,NA,SK Raina,0,0,0,0,NA,NA,NA
