innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,S Anirudha,P Kumar,NA,M Vijay,0,0,0,1,NA,lbw,S Anirudha
1,0.2,SK Raina,P Kumar,NA,M Vijay,0,0,0,1,PC Valthaty,caught,SK Raina
1,0.3,S Badrinath,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.4,S Badrinath,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.5,S Badrinath,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.6,S Badrinath,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.1,M Vijay,RJ Harris,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,1.2,M Vijay,RJ Harris,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,1.3,M Vijay,RJ Harris,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,1.4,M Vijay,RJ Harris,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,1.5,M Vijay,RJ Harris,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,1.6,M Vijay,RJ Harris,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,2.1,S Badrinath,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.2,S Badrinath,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.3,S Badrinath,P Kumar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.4,M Vijay,P Kumar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,2.5,S Badrinath,P Kumar,2legbyes,M Vijay,0,2,2,0,NA,NA,NA
1,2.6,S Badrinath,P Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.1,M Vijay,RJ Harris,NA,S Badrinath,3,0,3,0,NA,NA,NA
1,3.2,S Badrinath,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.3,S Badrinath,RJ Harris,NA,M Vijay,4,0,4,0,NA,NA,NA
1,3.4,S Badrinath,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.5,S Badrinath,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.6,S Badrinath,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,4.1,M Vijay,P Kumar,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,4.2,M Vijay,P Kumar,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,4.3,M Vijay,P Kumar,NA,S Badrinath,3,0,3,0,NA,NA,NA
1,4.4,S Badrinath,P Kumar,1legbyes,M Vijay,0,1,1,0,NA,NA,NA
1,4.5,M Vijay,P Kumar,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,4.6,M Vijay,P Kumar,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,5.1,S Badrinath,R McLaren,NA,M Vijay,0,0,0,0,NA,NA,NA
1,5.2,S Badrinath,R McLaren,NA,M Vijay,2,0,2,0,NA,NA,NA
1,5.3,S Badrinath,R McLaren,NA,M Vijay,1,0,1,0,NA,NA,NA
1,5.4,M Vijay,R McLaren,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,5.5,M Vijay,R McLaren,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,5.6,M Vijay,R McLaren,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,6.1,M Vijay,PP Chawla,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,6.2,M Vijay,PP Chawla,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,6.3,M Vijay,PP Chawla,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,6.4,S Badrinath,PP Chawla,NA,M Vijay,0,0,0,0,NA,NA,NA
1,6.5,S Badrinath,PP Chawla,NA,M Vijay,1,0,1,0,NA,NA,NA
1,6.6,M Vijay,PP Chawla,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,7.1,S Badrinath,R McLaren,NA,M Vijay,1,0,1,0,NA,NA,NA
1,7.2,M Vijay,R McLaren,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,7.3,S Badrinath,R McLaren,NA,M Vijay,0,0,0,0,NA,NA,NA
1,7.4,S Badrinath,R McLaren,NA,M Vijay,1,0,1,0,NA,NA,NA
1,7.5,M Vijay,R McLaren,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,7.6,S Badrinath,R McLaren,NA,M Vijay,4,0,4,0,NA,NA,NA
1,8.1,M Vijay,AM Nayar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.2,S Badrinath,AM Nayar,NA,M Vijay,4,0,4,0,NA,NA,NA
1,8.3,S Badrinath,AM Nayar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,8.4,S Badrinath,AM Nayar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,8.5,M Vijay,AM Nayar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.6,S Badrinath,AM Nayar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,9.1,S Badrinath,PP Chawla,NA,M Vijay,1,0,1,0,NA,NA,NA
1,9.2,M Vijay,PP Chawla,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,9.3,M Vijay,PP Chawla,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,9.4,S Badrinath,PP Chawla,NA,M Vijay,4,0,4,0,NA,NA,NA
1,9.5,S Badrinath,PP Chawla,NA,M Vijay,0,0,0,0,NA,NA,NA
1,9.6,S Badrinath,PP Chawla,NA,M Vijay,2,0,2,0,NA,NA,NA
1,10.1,M Vijay,BA Bhatt,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.2,S Badrinath,BA Bhatt,NA,M Vijay,2,0,2,0,NA,NA,NA
1,10.3,S Badrinath,BA Bhatt,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,10.4,S Badrinath,BA Bhatt,NA,M Vijay,1,0,1,0,NA,NA,NA
1,10.5,M Vijay,BA Bhatt,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.6,S Badrinath,BA Bhatt,NA,M Vijay,4,0,4,0,NA,NA,NA
1,10.7,S Badrinath,BA Bhatt,NA,M Vijay,1,0,1,0,NA,NA,NA
1,11.1,S Badrinath,AM Nayar,NA,M Vijay,4,0,4,0,NA,NA,NA
1,11.2,S Badrinath,AM Nayar,NA,M Vijay,2,0,2,0,NA,NA,NA
1,11.3,S Badrinath,AM Nayar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,11.4,M Vijay,AM Nayar,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,11.5,M Vijay,AM Nayar,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,11.6,M Vijay,AM Nayar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,12.1,M Vijay,BA Bhatt,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,12.2,M Vijay,BA Bhatt,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,12.3,S Badrinath,BA Bhatt,NA,M Vijay,0,0,0,0,NA,NA,NA
1,12.4,S Badrinath,BA Bhatt,NA,M Vijay,1,0,1,0,NA,NA,NA
1,12.5,M Vijay,BA Bhatt,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,12.6,M Vijay,BA Bhatt,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,13.1,S Badrinath,RJ Harris,NA,M Vijay,0,0,0,0,NA,NA,NA
1,13.2,S Badrinath,RJ Harris,NA,M Vijay,1,0,1,0,NA,NA,NA
1,13.3,M Vijay,RJ Harris,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,13.4,M Vijay,RJ Harris,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,13.5,M Vijay,RJ Harris,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,13.6,M Vijay,RJ Harris,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,14.1,S Badrinath,PP Chawla,NA,M Vijay,1,0,1,0,NA,NA,NA
1,14.2,M Vijay,PP Chawla,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,14.3,M Vijay,PP Chawla,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,14.4,M Vijay,PP Chawla,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,14.5,M Vijay,PP Chawla,NA,S Badrinath,0,0,0,1,AC Gilchrist,stumped,M Vijay
1,14.6,MS Dhoni,PP Chawla,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,15.1,S Badrinath,BA Bhatt,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,15.2,MS Dhoni,BA Bhatt,NA,S Badrinath,1,0,1,0,NA,NA,NA
