innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,S Dhawan,P Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.2,S Dhawan,P Kumar,NA,PA Patel,4,0,4,0,NA,NA,NA
1,0.3,S Dhawan,P Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.4,PA Patel,P Kumar,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.5,PA Patel,P Kumar,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.6,PA Patel,P Kumar,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.1,S Dhawan,DJ Hussey,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,1.2,S Dhawan,DJ Hussey,NA,PA Patel,1,0,1,0,NA,NA,NA
1,1.3,PA Patel,DJ Hussey,1legbyes,S Dhawan,0,1,1,0,NA,NA,NA
1,1.4,S Dhawan,DJ Hussey,NA,PA Patel,1,0,1,0,NA,NA,NA
1,1.5,PA Patel,DJ Hussey,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,1.6,PA Patel,DJ Hussey,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.7,S Dhawan,DJ Hussey,NA,PA Patel,6,0,6,0,NA,NA,NA
1,2.1,PA Patel,P Kumar,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.2,PA Patel,P Kumar,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.3,PA Patel,P Kumar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.4,S Dhawan,P Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.5,S Dhawan,P Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,2.6,PA Patel,P Kumar,NA,S Dhawan,5,0,5,0,NA,NA,NA
1,3.1,PA Patel,RJ Harris,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.2,S Dhawan,RJ Harris,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.3,S Dhawan,RJ Harris,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.4,S Dhawan,RJ Harris,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.5,S Dhawan,RJ Harris,NA,PA Patel,4,0,4,0,NA,NA,NA
1,3.6,S Dhawan,RJ Harris,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.1,S Dhawan,P Awana,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.2,S Dhawan,P Awana,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.3,PA Patel,P Awana,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,4.4,PA Patel,P Awana,1legbyes,S Dhawan,0,1,1,0,NA,NA,NA
1,4.5,S Dhawan,P Awana,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.6,S Dhawan,P Awana,NA,PA Patel,2,0,2,0,NA,NA,NA
1,5.1,PA Patel,Azhar Mahmood,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,5.2,S Dhawan,Azhar Mahmood,NA,PA Patel,2,0,2,0,NA,NA,NA
1,5.3,S Dhawan,Azhar Mahmood,NA,PA Patel,1,0,1,0,NA,NA,NA
1,5.4,PA Patel,Azhar Mahmood,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,5.5,S Dhawan,Azhar Mahmood,NA,PA Patel,1,0,1,0,NA,NA,NA
1,5.6,PA Patel,Azhar Mahmood,NA,S Dhawan,0,0,0,1,Gurkeerat Singh,caught,PA Patel
1,6.1,KC Sangakkara,P Awana,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.2,KC Sangakkara,P Awana,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,6.3,S Dhawan,P Awana,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,6.4,S Dhawan,P Awana,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,6.5,KC Sangakkara,P Awana,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.6,KC Sangakkara,P Awana,NA,S Dhawan,0,0,0,1,Azhar Mahmood,caught,KC Sangakkara
1,7.1,S Dhawan,RJ Harris,NA,CL White,1,0,1,0,NA,NA,NA
1,7.2,CL White,RJ Harris,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.3,S Dhawan,RJ Harris,NA,CL White,1,0,1,0,NA,NA,NA
1,7.4,CL White,RJ Harris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,7.5,CL White,RJ Harris,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,7.6,CL White,RJ Harris,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,8.1,S Dhawan,PP Chawla,NA,CL White,0,0,0,0,NA,NA,NA
1,8.2,S Dhawan,PP Chawla,NA,CL White,4,0,4,0,NA,NA,NA
1,8.3,S Dhawan,PP Chawla,NA,CL White,0,0,0,0,NA,NA,NA
1,8.4,S Dhawan,PP Chawla,NA,CL White,1,0,1,0,NA,NA,NA
1,8.5,CL White,PP Chawla,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,8.6,CL White,PP Chawla,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,9.1,S Dhawan,Azhar Mahmood,NA,CL White,2,0,2,0,NA,NA,NA
1,9.2,S Dhawan,Azhar Mahmood,NA,CL White,3,0,3,0,NA,NA,NA
1,9.3,CL White,Azhar Mahmood,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,9.4,CL White,Azhar Mahmood,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,9.5,S Dhawan,Azhar Mahmood,NA,CL White,1,0,1,0,NA,NA,NA
1,9.6,CL White,Azhar Mahmood,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,10.1,S Dhawan,P Kumar,NA,CL White,1,0,1,0,NA,NA,NA
1,10.2,CL White,P Kumar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,10.3,S Dhawan,P Kumar,NA,CL White,1,0,1,0,NA,NA,NA
