innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,KP Pietersen,P Awana,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.2,KP Pietersen,P Awana,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,0.3,MA Agarwal,P Awana,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,0.4,KP Pietersen,P Awana,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.5,KP Pietersen,P Awana,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.6,KP Pietersen,P Awana,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,1.1,MA Agarwal,AR Patel,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,1.2,KP Pietersen,AR Patel,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,1.3,KP Pietersen,AR Patel,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,1.4,KP Pietersen,AR Patel,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,1.5,MA Agarwal,AR Patel,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,1.6,MA Agarwal,AR Patel,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.1,KP Pietersen,MG Johnson,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,2.2,MA Agarwal,MG Johnson,NA,KP Pietersen,0,0,0,1,V Sehwag,caught,MA Agarwal
1,2.3,KD Karthik,MG Johnson,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,2.4,KD Karthik,MG Johnson,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.5,KD Karthik,MG Johnson,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.6,KD Karthik,MG Johnson,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,3.1,KP Pietersen,P Awana,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.2,KP Pietersen,P Awana,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.3,KP Pietersen,P Awana,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.4,KP Pietersen,P Awana,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,3.5,KP Pietersen,P Awana,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,3.6,KD Karthik,P Awana,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,4.1,KP Pietersen,MG Johnson,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,4.2,KP Pietersen,MG Johnson,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,4.3,KP Pietersen,MG Johnson,NA,KD Karthik,3,0,3,0,NA,NA,NA
1,4.4,KD Karthik,MG Johnson,NA,KP Pietersen,1,0,1,0,NA,NA,NA
