innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MJ Guptill,PJ Sangwan,NA,HM Amla,2,0,2,0,NA,NA,NA
1,0.2,MJ Guptill,PJ Sangwan,NA,HM Amla,0,0,0,0,NA,NA,NA
1,0.3,MJ Guptill,PJ Sangwan,NA,HM Amla,0,0,0,0,NA,NA,NA
1,0.4,MJ Guptill,PJ Sangwan,NA,HM Amla,0,0,0,0,NA,NA,NA
1,0.5,MJ Guptill,PJ Sangwan,NA,HM Amla,0,0,0,1,Basil Thampi,caught,MJ Guptill
1,0.6,HM Amla,PJ Sangwan,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,1.1,SE Marsh,DS Kulkarni,NA,HM Amla,0,0,0,0,NA,NA,NA
1,1.2,SE Marsh,DS Kulkarni,NA,HM Amla,0,0,0,0,NA,NA,NA
1,1.3,SE Marsh,DS Kulkarni,NA,HM Amla,1,0,1,0,NA,NA,NA
1,1.4,HM Amla,DS Kulkarni,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,1.5,HM Amla,DS Kulkarni,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,1.6,HM Amla,DS Kulkarni,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,2.1,SE Marsh,PJ Sangwan,NA,HM Amla,0,0,0,0,NA,NA,NA
1,2.2,SE Marsh,PJ Sangwan,NA,HM Amla,1,0,1,0,NA,NA,NA
1,2.3,HM Amla,PJ Sangwan,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,2.4,HM Amla,PJ Sangwan,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,2.5,HM Amla,PJ Sangwan,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,2.6,HM Amla,PJ Sangwan,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,3.1,HM Amla,DS Kulkarni,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,3.2,SE Marsh,DS Kulkarni,NA,HM Amla,1,0,1,0,NA,NA,NA
1,3.3,HM Amla,DS Kulkarni,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,3.4,SE Marsh,DS Kulkarni,NA,HM Amla,1,0,1,0,NA,NA,NA
1,3.5,HM Amla,DS Kulkarni,1wides,SE Marsh,0,1,1,0,NA,NA,NA
1,3.6,HM Amla,DS Kulkarni,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,3.7,SE Marsh,DS Kulkarni,1wides,HM Amla,0,1,1,0,NA,NA,NA
1,3.8,SE Marsh,DS Kulkarni,NA,HM Amla,1,0,1,0,NA,NA,NA
1,4.1,SE Marsh,Basil Thampi,NA,HM Amla,0,0,0,0,NA,NA,NA
1,4.2,SE Marsh,Basil Thampi,NA,HM Amla,1,0,1,0,NA,NA,NA
1,4.3,HM Amla,Basil Thampi,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,4.4,SE Marsh,Basil Thampi,NA,HM Amla,1,0,1,0,NA,NA,NA
1,4.5,HM Amla,Basil Thampi,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,4.6,HM Amla,Basil Thampi,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,5.1,HM Amla,JP Faulkner,NA,SE Marsh,6,0,6,0,NA,NA,NA
1,5.2,HM Amla,JP Faulkner,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,5.3,SE Marsh,JP Faulkner,NA,HM Amla,2,0,2,0,NA,NA,NA
1,5.4,SE Marsh,JP Faulkner,NA,HM Amla,1,0,1,0,NA,NA,NA
1,5.5,HM Amla,JP Faulkner,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,5.6,HM Amla,JP Faulkner,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,6.1,HM Amla,RA Jadeja,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,6.2,SE Marsh,RA Jadeja,NA,HM Amla,2,0,2,0,NA,NA,NA
1,6.3,SE Marsh,RA Jadeja,NA,HM Amla,1,0,1,0,NA,NA,NA
1,6.4,HM Amla,RA Jadeja,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,6.5,SE Marsh,RA Jadeja,NA,HM Amla,4,0,4,0,NA,NA,NA
1,6.6,SE Marsh,RA Jadeja,NA,HM Amla,1,0,1,0,NA,NA,NA
1,7.1,SE Marsh,Ankit Soni,NA,HM Amla,2,0,2,0,NA,NA,NA
1,7.2,SE Marsh,Ankit Soni,NA,HM Amla,0,0,0,0,NA,NA,NA
1,7.3,SE Marsh,Ankit Soni,NA,HM Amla,1,0,1,0,NA,NA,NA
1,7.4,HM Amla,Ankit Soni,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,7.5,SE Marsh,Ankit Soni,NA,HM Amla,4,0,4,0,NA,NA,NA
1,7.6,SE Marsh,Ankit Soni,NA,HM Amla,1,0,1,0,NA,NA,NA
1,8.1,SE Marsh,RA Jadeja,NA,HM Amla,4,0,4,0,NA,NA,NA
1,8.2,SE Marsh,RA Jadeja,NA,HM Amla,0,0,0,0,NA,NA,NA
1,8.3,SE Marsh,RA Jadeja,1wides,HM Amla,0,1,1,0,NA,NA,NA
1,8.4,SE Marsh,RA Jadeja,NA,HM Amla,1,0,1,0,NA,NA,NA
1,8.5,HM Amla,RA Jadeja,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,8.6,SE Marsh,RA Jadeja,NA,HM Amla,1,0,1,0,NA,NA,NA
