innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,M Vijay,M Morkel,NA,M Vohra,0,0,0,0,NA,NA,NA
1,0.2,M Vijay,M Morkel,NA,M Vohra,0,0,0,0,NA,NA,NA
1,0.3,M Vijay,M Morkel,NA,M Vohra,0,0,0,0,NA,NA,NA
1,0.4,M Vijay,M Morkel,NA,M Vohra,4,0,4,0,NA,NA,NA
1,0.5,M Vijay,M Morkel,NA,M Vohra,1,0,1,0,NA,NA,NA
1,0.6,M Vohra,M Morkel,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.1,M Vijay,UT Yadav,NA,M Vohra,0,0,0,0,NA,NA,NA
1,1.2,M Vijay,UT Yadav,NA,M Vohra,2,0,2,0,NA,NA,NA
1,1.3,M Vijay,UT Yadav,NA,M Vohra,1,0,1,0,NA,NA,NA
1,1.4,M Vohra,UT Yadav,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.5,M Vohra,UT Yadav,NA,M Vijay,2,0,2,0,NA,NA,NA
1,1.6,M Vohra,UT Yadav,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.1,M Vohra,Shakib Al Hasan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.2,M Vohra,Shakib Al Hasan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.3,M Vohra,Shakib Al Hasan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.4,M Vohra,Shakib Al Hasan,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,2.5,M Vohra,Shakib Al Hasan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,2.6,M Vijay,Shakib Al Hasan,NA,M Vohra,4,0,4,0,NA,NA,NA
1,2.7,M Vijay,Shakib Al Hasan,NA,M Vohra,0,0,0,0,NA,NA,NA
1,3.1,M Vohra,M Morkel,NA,M Vijay,2,0,2,0,NA,NA,NA
1,3.2,M Vohra,M Morkel,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.3,M Vohra,M Morkel,NA,M Vijay,2,0,2,0,NA,NA,NA
1,3.4,M Vohra,M Morkel,NA,M Vijay,0,0,0,1,Shakib Al Hasan,caught,M Vohra
1,3.5,M Vijay,M Morkel,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,3.6,SE Marsh,M Morkel,NA,M Vijay,4,0,4,0,NA,NA,NA
1,4.1,M Vijay,Shakib Al Hasan,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,4.2,SE Marsh,Shakib Al Hasan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,4.3,SE Marsh,Shakib Al Hasan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,4.4,M Vijay,Shakib Al Hasan,NA,SE Marsh,4,0,4,0,NA,NA,NA
