innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,NM Coulter-Nile,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,0.2,AC Gilchrist,NM Coulter-Nile,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,0.3,AC Gilchrist,NM Coulter-Nile,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,0.4,Mandeep Singh,NM Coulter-Nile,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,0.5,AC Gilchrist,NM Coulter-Nile,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,0.6,AC Gilchrist,NM Coulter-Nile,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,1.1,Mandeep Singh,R Dhawan,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.2,Mandeep Singh,R Dhawan,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.3,Mandeep Singh,R Dhawan,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.4,Mandeep Singh,R Dhawan,NA,AC Gilchrist,0,0,0,1,KA Pollard,caught,Mandeep Singh
1,1.5,Azhar Mahmood,R Dhawan,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.6,Azhar Mahmood,R Dhawan,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,2.1,AC Gilchrist,NM Coulter-Nile,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,2.2,AC Gilchrist,NM Coulter-Nile,NA,Azhar Mahmood,0,0,0,1,NA,bowled,AC Gilchrist
1,2.3,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,2.4,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,2.5,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,2.6,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,3.1,SE Marsh,R Dhawan,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,3.2,SE Marsh,R Dhawan,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,3.3,SE Marsh,R Dhawan,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,3.4,SE Marsh,R Dhawan,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,3.5,SE Marsh,R Dhawan,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,3.6,Azhar Mahmood,R Dhawan,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,4.1,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,4.2,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,4.3,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,4.4,SE Marsh,NM Coulter-Nile,1wides,Azhar Mahmood,0,1,1,0,NA,NA,NA
1,4.5,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,4.6,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,4.7,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,5.1,SE Marsh,DS Kulkarni,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,5.2,SE Marsh,DS Kulkarni,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,5.3,SE Marsh,DS Kulkarni,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,5.4,SE Marsh,DS Kulkarni,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,5.5,SE Marsh,RG Sharma,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,5.6,Azhar Mahmood,RG Sharma,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,6.1,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,6.2,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,6.3,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,6.4,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,6.5,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,6.6,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,7.1,Azhar Mahmood,SL Malinga,1wides,SE Marsh,0,1,1,0,NA,NA,NA
1,7.2,Azhar Mahmood,SL Malinga,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,7.3,Azhar Mahmood,SL Malinga,NA,SE Marsh,6,0,6,0,NA,NA,NA
1,7.4,Azhar Mahmood,SL Malinga,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,7.5,Azhar Mahmood,SL Malinga,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,7.6,Azhar Mahmood,SL Malinga,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,7.7,Azhar Mahmood,SL Malinga,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,8.1,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,8.2,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,8.3,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,8.4,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,8.5,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,8.6,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,9.1,Azhar Mahmood,KA Pollard,NA,SE Marsh,2,0,2,0,NA,NA,NA
1,9.2,Azhar Mahmood,KA Pollard,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,9.3,SE Marsh,KA Pollard,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,9.4,SE Marsh,KA Pollard,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,9.5,SE Marsh,KA Pollard,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,9.6,SE Marsh,KA Pollard,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,10.1,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,10.2,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,10.3,Azhar Mahmood,Harbhajan Singh,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,10.4,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,10.5,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,10.6,SE Marsh,Harbhajan Singh,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,11.1,SE Marsh,SL Malinga,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,11.2,Azhar Mahmood,SL Malinga,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,11.3,Azhar Mahmood,SL Malinga,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,11.4,Azhar Mahmood,SL Malinga,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,11.5,SE Marsh,SL Malinga,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,11.6,SE Marsh,SL Malinga,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,12.1,SE Marsh,GJ Maxwell,NA,Azhar Mahmood,0,0,0,0,NA,NA,NA
1,12.2,SE Marsh,GJ Maxwell,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,12.3,Azhar Mahmood,GJ Maxwell,NA,SE Marsh,6,0,6,0,NA,NA,NA
1,12.4,Azhar Mahmood,GJ Maxwell,NA,SE Marsh,6,0,6,0,NA,NA,NA
1,12.5,Azhar Mahmood,GJ Maxwell,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,12.6,Azhar Mahmood,GJ Maxwell,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,13.1,Azhar Mahmood,R Dhawan,NA,SE Marsh,2,0,2,0,NA,NA,NA
1,13.2,Azhar Mahmood,R Dhawan,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,13.3,SE Marsh,R Dhawan,1legbyes,Azhar Mahmood,0,1,1,0,NA,NA,NA
1,13.4,Azhar Mahmood,R Dhawan,1legbyes,SE Marsh,0,1,1,0,NA,NA,NA
1,13.5,SE Marsh,R Dhawan,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,13.6,SE Marsh,R Dhawan,NA,Azhar Mahmood,2,0,2,0,NA,NA,NA
1,14.1,Azhar Mahmood,NM Coulter-Nile,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,14.2,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,14.3,Azhar Mahmood,NM Coulter-Nile,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,14.4,SE Marsh,NM Coulter-Nile,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,14.5,Azhar Mahmood,NM Coulter-Nile,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,14.6,Azhar Mahmood,NM Coulter-Nile,NA,SE Marsh,4,0,4,0,NA,NA,NA
1,15.1,SE Marsh,R Dhawan,1wides,Azhar Mahmood,0,1,1,0,NA,NA,NA
1,15.2,SE Marsh,R Dhawan,NA,Azhar Mahmood,4,0,4,0,NA,NA,NA
1,15.3,SE Marsh,R Dhawan,NA,Azhar Mahmood,1,0,1,0,NA,NA,NA
1,15.4,Azhar Mahmood,R Dhawan,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,15.5,Azhar Mahmood,R Dhawan,NA,SE Marsh,2,0,2,0,NA,NA,NA
1,15.6,Azhar Mahmood,R Dhawan,NA,SE Marsh,2,0,2,0,NA,NA,NA
