innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RV Uthappa,P Kumar,NA,AJ Finch,2,0,2,0,NA,NA,NA
1,0.2,RV Uthappa,P Kumar,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,0.3,AJ Finch,P Kumar,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,0.4,AJ Finch,P Kumar,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,0.5,RV Uthappa,P Kumar,1wides,AJ Finch,0,1,1,0,NA,NA,NA
1,0.6,RV Uthappa,P Kumar,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,0.7,RV Uthappa,P Kumar,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.1,AJ Finch,Azhar Mahmood,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.2,AJ Finch,Azhar Mahmood,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.3,AJ Finch,Azhar Mahmood,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.4,AJ Finch,Azhar Mahmood,NA,RV Uthappa,6,0,6,0,NA,NA,NA
1,1.5,AJ Finch,Azhar Mahmood,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,1.6,AJ Finch,Azhar Mahmood,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,2.1,AJ Finch,P Awana,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,2.2,AJ Finch,P Awana,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.3,AJ Finch,P Awana,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.4,AJ Finch,P Awana,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,2.5,AJ Finch,P Awana,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.6,AJ Finch,P Awana,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,3.1,RV Uthappa,Azhar Mahmood,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,3.2,AJ Finch,Azhar Mahmood,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,3.3,AJ Finch,Azhar Mahmood,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,3.4,AJ Finch,Azhar Mahmood,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.5,AJ Finch,Azhar Mahmood,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.6,RV Uthappa,Azhar Mahmood,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,4.1,RV Uthappa,P Awana,NA,AJ Finch,2,0,2,0,NA,NA,NA
1,4.2,RV Uthappa,P Awana,NA,AJ Finch,2,0,2,0,NA,NA,NA
1,4.3,RV Uthappa,P Awana,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.4,RV Uthappa,P Awana,NA,AJ Finch,2,0,2,0,NA,NA,NA
1,4.5,RV Uthappa,P Awana,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.6,RV Uthappa,P Awana,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,5.1,AJ Finch,P Kumar,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,5.2,AJ Finch,P Kumar,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,5.3,AJ Finch,P Kumar,1legbyes,RV Uthappa,0,1,1,0,NA,NA,NA
1,5.4,RV Uthappa,P Kumar,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,5.5,RV Uthappa,P Kumar,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,5.6,RV Uthappa,P Kumar,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.1,AJ Finch,MS Gony,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,6.2,AJ Finch,MS Gony,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,6.3,RV Uthappa,MS Gony,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.4,RV Uthappa,MS Gony,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.5,RV Uthappa,MS Gony,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.6,RV Uthappa,MS Gony,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,7.1,AJ Finch,PP Chawla,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.2,RV Uthappa,PP Chawla,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,7.3,RV Uthappa,PP Chawla,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,7.4,AJ Finch,PP Chawla,NA,RV Uthappa,1,0,1,0,NA,NA,NA
