innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,NV Ojha,RR Powar,NA,GC Smith,0,0,0,0,NA,NA,NA
1,0.2,NV Ojha,RR Powar,NA,GC Smith,6,0,6,0,NA,NA,NA
1,0.3,NV Ojha,RR Powar,NA,GC Smith,0,0,0,0,NA,NA,NA
1,0.4,NV Ojha,RR Powar,NA,GC Smith,0,0,0,0,NA,NA,NA
1,0.5,NV Ojha,RR Powar,NA,GC Smith,4,0,4,0,NA,NA,NA
1,0.6,NV Ojha,RR Powar,NA,GC Smith,6,0,6,0,NA,NA,NA
1,1.1,GC Smith,IK Pathan,NA,NV Ojha,4,0,4,0,NA,NA,NA
1,1.2,GC Smith,IK Pathan,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,1.3,NV Ojha,IK Pathan,NA,GC Smith,0,0,0,0,NA,NA,NA
1,1.4,NV Ojha,IK Pathan,NA,GC Smith,0,0,0,0,NA,NA,NA
1,1.5,NV Ojha,IK Pathan,NA,GC Smith,0,0,0,0,NA,NA,NA
1,1.6,NV Ojha,IK Pathan,NA,GC Smith,0,0,0,0,NA,NA,NA
1,2.1,GC Smith,S Sreesanth,1noballs,NV Ojha,0,1,1,0,NA,NA,NA
1,2.2,GC Smith,S Sreesanth,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,2.3,NV Ojha,S Sreesanth,NA,GC Smith,0,0,0,0,NA,NA,NA
1,2.4,NV Ojha,S Sreesanth,NA,GC Smith,0,0,0,0,NA,NA,NA
1,2.5,NV Ojha,S Sreesanth,NA,GC Smith,1,0,1,0,NA,NA,NA
1,2.6,GC Smith,S Sreesanth,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,2.7,GC Smith,S Sreesanth,NA,NV Ojha,2,0,2,0,NA,NA,NA
1,3.1,NV Ojha,IK Pathan,NA,GC Smith,6,0,6,0,NA,NA,NA
1,3.2,NV Ojha,IK Pathan,NA,GC Smith,0,0,0,0,NA,NA,NA
1,3.3,NV Ojha,IK Pathan,NA,GC Smith,0,0,0,0,NA,NA,NA
1,3.4,NV Ojha,IK Pathan,NA,GC Smith,0,0,0,0,NA,NA,NA
1,3.5,NV Ojha,IK Pathan,NA,GC Smith,1,0,1,0,NA,NA,NA
1,3.6,GC Smith,IK Pathan,NA,NV Ojha,4,0,4,0,NA,NA,NA
1,4.1,NV Ojha,S Sreesanth,NA,GC Smith,0,0,0,0,NA,NA,NA
1,4.2,NV Ojha,S Sreesanth,NA,GC Smith,0,0,0,0,NA,NA,NA
1,4.3,NV Ojha,S Sreesanth,NA,GC Smith,1,0,1,0,NA,NA,NA
1,4.4,GC Smith,S Sreesanth,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,4.5,GC Smith,S Sreesanth,NA,NV Ojha,4,0,4,0,NA,NA,NA
1,4.6,GC Smith,S Sreesanth,NA,NV Ojha,2,0,2,0,NA,NA,NA
1,5.1,NV Ojha,YA Abdulla,NA,GC Smith,1,0,1,0,NA,NA,NA
1,5.2,GC Smith,YA Abdulla,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,5.3,NV Ojha,YA Abdulla,NA,GC Smith,1,0,1,0,NA,NA,NA
1,5.4,GC Smith,YA Abdulla,NA,NV Ojha,2,0,2,0,NA,NA,NA
1,5.5,GC Smith,YA Abdulla,NA,NV Ojha,4,0,4,0,NA,NA,NA
1,5.6,GC Smith,YA Abdulla,NA,NV Ojha,4,0,4,0,NA,NA,NA
1,6.1,NV Ojha,PP Chawla,NA,GC Smith,0,0,0,0,NA,NA,NA
1,6.2,NV Ojha,PP Chawla,NA,GC Smith,0,0,0,0,NA,NA,NA
1,6.3,NV Ojha,PP Chawla,NA,GC Smith,1,0,1,0,NA,NA,NA
1,6.4,GC Smith,PP Chawla,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,6.5,NV Ojha,PP Chawla,NA,GC Smith,0,0,0,0,NA,NA,NA
1,6.6,NV Ojha,PP Chawla,NA,GC Smith,4,0,4,0,NA,NA,NA
1,7.1,GC Smith,Yuvraj Singh,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,7.2,NV Ojha,Yuvraj Singh,NA,GC Smith,1,0,1,0,NA,NA,NA
1,7.3,GC Smith,Yuvraj Singh,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,7.4,NV Ojha,Yuvraj Singh,NA,GC Smith,1,0,1,0,NA,NA,NA
1,7.5,GC Smith,Yuvraj Singh,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,7.6,NV Ojha,Yuvraj Singh,NA,GC Smith,4,0,4,0,NA,NA,NA
