innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,Sandeep Sharma,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,0.2,MA Agarwal,Sandeep Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.3,MA Agarwal,Sandeep Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.4,MA Agarwal,Sandeep Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.5,MA Agarwal,Sandeep Sharma,NA,AM Rahane,0,0,0,1,NA,bowled,MA Agarwal
1,0.6,SPD Smith,Sandeep Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.1,AM Rahane,MM Sharma,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,1.2,AM Rahane,MM Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,1.3,SPD Smith,MM Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.4,SPD Smith,MM Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.5,SPD Smith,MM Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.6,SPD Smith,MM Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.1,SPD Smith,Sandeep Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.2,AM Rahane,Sandeep Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,2.3,SPD Smith,Sandeep Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.4,AM Rahane,Sandeep Sharma,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,2.5,AM Rahane,Sandeep Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,2.6,SPD Smith,Sandeep Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.1,AM Rahane,MM Sharma,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,3.2,AM Rahane,MM Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,3.3,SPD Smith,MM Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.4,AM Rahane,MM Sharma,NA,SPD Smith,6,0,6,0,NA,NA,NA
1,3.5,AM Rahane,MM Sharma,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,3.6,AM Rahane,MM Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.1,AM Rahane,Sandeep Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.2,SPD Smith,Sandeep Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.3,AM Rahane,Sandeep Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
