innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,Sandeep Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,Sandeep Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.3,AM Rahane,Sandeep Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.4,AM Rahane,Sandeep Sharma,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,0.5,AM Rahane,Sandeep Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.6,AM Rahane,Sandeep Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.1,F du Plessis,KJ Abbott,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.2,F du Plessis,KJ Abbott,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.3,AM Rahane,KJ Abbott,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,1.4,AM Rahane,KJ Abbott,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.5,AM Rahane,KJ Abbott,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.6,AM Rahane,KJ Abbott,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,2.1,AM Rahane,Sandeep Sharma,NA,F du Plessis,0,0,0,1,NA,bowled,AM Rahane
1,2.2,KP Pietersen,Sandeep Sharma,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,2.3,KP Pietersen,Sandeep Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.4,KP Pietersen,Sandeep Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,2.5,F du Plessis,Sandeep Sharma,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,2.6,F du Plessis,Sandeep Sharma,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,3.1,KP Pietersen,AR Patel,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,3.2,KP Pietersen,AR Patel,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,3.3,KP Pietersen,AR Patel,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,3.4,KP Pietersen,AR Patel,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,3.5,F du Plessis,AR Patel,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,3.6,F du Plessis,AR Patel,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,4.1,F du Plessis,Sandeep Sharma,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,4.2,F du Plessis,Sandeep Sharma,1legbyes,KP Pietersen,0,1,1,0,NA,NA,NA
1,4.3,KP Pietersen,Sandeep Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,4.4,KP Pietersen,Sandeep Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,4.5,F du Plessis,Sandeep Sharma,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,4.6,F du Plessis,Sandeep Sharma,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,5.1,F du Plessis,P Sahu,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,5.2,F du Plessis,P Sahu,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,5.3,F du Plessis,P Sahu,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,5.4,KP Pietersen,P Sahu,1legbyes,F du Plessis,0,1,1,0,NA,NA,NA
1,5.5,F du Plessis,P Sahu,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,5.6,F du Plessis,P Sahu,1wides,KP Pietersen,0,1,1,0,NA,NA,NA
1,5.7,F du Plessis,P Sahu,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,6.1,KP Pietersen,MM Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,6.2,KP Pietersen,MM Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,6.3,F du Plessis,MM Sharma,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,6.4,KP Pietersen,MM Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,6.5,KP Pietersen,MM Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,6.6,F du Plessis,MM Sharma,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,7.1,F du Plessis,KJ Abbott,NA,KP Pietersen,2,0,2,0,NA,NA,NA
1,7.2,F du Plessis,KJ Abbott,1wides,KP Pietersen,0,1,1,0,NA,NA,NA
1,7.3,F du Plessis,KJ Abbott,4legbyes,KP Pietersen,0,4,4,0,NA,NA,NA
1,7.4,F du Plessis,KJ Abbott,NA,KP Pietersen,4,0,4,0,NA,NA,NA
1,7.5,F du Plessis,KJ Abbott,NA,KP Pietersen,0,0,0,0,NA,NA,NA
1,7.6,F du Plessis,KJ Abbott,NA,KP Pietersen,1,0,1,0,NA,NA,NA
1,7.7,KP Pietersen,KJ Abbott,NA,F du Plessis,0,0,0,1,M Vohra,caught,KP Pietersen
1,8.1,F du Plessis,MM Sharma,NA,NLTC Perera,1,0,1,0,NA,NA,NA
1,8.2,NLTC Perera,MM Sharma,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,8.3,NLTC Perera,MM Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,8.4,F du Plessis,MM Sharma,NA,NLTC Perera,1,0,1,0,NA,NA,NA
1,8.5,NLTC Perera,MM Sharma,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,8.6,NLTC Perera,MM Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,9.1,NLTC Perera,GJ Maxwell,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,9.2,NLTC Perera,GJ Maxwell,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,9.3,F du Plessis,GJ Maxwell,NA,NLTC Perera,0,0,0,0,NA,NA,NA
1,9.4,F du Plessis,GJ Maxwell,NA,NLTC Perera,1,0,1,0,NA,NA,NA
1,9.5,NLTC Perera,GJ Maxwell,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,9.6,NLTC Perera,GJ Maxwell,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,10.1,NLTC Perera,Sandeep Sharma,NA,F du Plessis,0,0,0,1,MM Sharma,caught,NLTC Perera
1,10.2,F du Plessis,Sandeep Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,10.3,SPD Smith,Sandeep Sharma,1wides,F du Plessis,0,1,1,0,NA,NA,NA
1,10.4,SPD Smith,Sandeep Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,10.5,F du Plessis,Sandeep Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,10.6,SPD Smith,Sandeep Sharma,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,10.7,F du Plessis,Sandeep Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,11.1,F du Plessis,P Sahu,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,11.2,SPD Smith,P Sahu,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,11.3,SPD Smith,P Sahu,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,11.4,F du Plessis,P Sahu,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,11.5,F du Plessis,P Sahu,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,11.6,SPD Smith,P Sahu,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,12.1,F du Plessis,AR Patel,1legbyes,SPD Smith,0,1,1,0,NA,NA,NA
1,12.2,SPD Smith,AR Patel,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,12.3,F du Plessis,AR Patel,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,12.4,F du Plessis,AR Patel,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,12.5,F du Plessis,AR Patel,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,12.6,F du Plessis,AR Patel,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,13.1,F du Plessis,P Sahu,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,13.2,SPD Smith,P Sahu,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,13.3,SPD Smith,P Sahu,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,13.4,F du Plessis,P Sahu,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,13.5,SPD Smith,P Sahu,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,13.6,F du Plessis,P Sahu,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,14.1,F du Plessis,AR Patel,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,14.2,F du Plessis,AR Patel,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,14.3,SPD Smith,AR Patel,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,14.4,SPD Smith,AR Patel,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,14.5,SPD Smith,AR Patel,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,14.6,SPD Smith,AR Patel,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,15.1,SPD Smith,P Sahu,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,15.2,SPD Smith,P Sahu,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,15.3,F du Plessis,P Sahu,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,15.4,SPD Smith,P Sahu,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,15.5,SPD Smith,P Sahu,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,15.6,F du Plessis,P Sahu,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,16.1,SPD Smith,KJ Abbott,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,16.2,SPD Smith,KJ Abbott,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,16.3,SPD Smith,KJ Abbott,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,16.4,SPD Smith,KJ Abbott,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,16.5,SPD Smith,KJ Abbott,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,16.6,SPD Smith,KJ Abbott,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,17.1,SPD Smith,MM Sharma,1legbyes,F du Plessis,0,1,1,0,NA,NA,NA
1,17.2,F du Plessis,MM Sharma,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,17.3,F du Plessis,MM Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,17.4,SPD Smith,MM Sharma,NA,F du Plessis,2,0,2,0,NA,NA,NA
1,17.5,SPD Smith,MM Sharma,NA,F du Plessis,0,0,0,1,DA Miller,caught,SPD Smith
1,17.6,F du Plessis,MM Sharma,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,18.1,F du Plessis,KJ Abbott,NA,MS Dhoni,4,0,4,0,NA,NA,NA
1,18.2,F du Plessis,KJ Abbott,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,18.3,F du Plessis,KJ Abbott,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,18.4,F du Plessis,KJ Abbott,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,18.5,MS Dhoni,KJ Abbott,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,18.6,F du Plessis,KJ Abbott,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,19.1,F du Plessis,MM Sharma,NA,MS Dhoni,0,0,0,1,NA,caught and bowled,F du Plessis
1,19.2,MS Dhoni,MM Sharma,NA,IK Pathan,0,0,0,1,GJ Maxwell,caught,MS Dhoni
1,19.3,IK Pathan,MM Sharma,NA,R Ashwin,1,0,1,0,NA,NA,NA
1,19.4,R Ashwin,MM Sharma,NA,IK Pathan,0,0,0,0,NA,NA,NA
1,19.5,R Ashwin,MM Sharma,NA,IK Pathan,1,0,1,0,NA,NA,NA
1,19.6,IK Pathan,MM Sharma,NA,R Ashwin,1,0,1,1,GJ Maxwell,run out,IK Pathan
2,0.1,M Vijay,I Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,0.2,M Vijay,I Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,0.3,M Vijay,I Sharma,NA,M Vohra,1,0,1,0,NA,NA,NA
2,0.4,M Vohra,I Sharma,NA,M Vijay,2,0,2,0,NA,NA,NA
2,0.5,M Vohra,I Sharma,NA,M Vijay,0,0,0,0,NA,NA,NA
2,0.6,M Vohra,I Sharma,NA,M Vijay,0,0,0,0,NA,NA,NA
2,1.1,M Vijay,Ankit Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,1.2,M Vijay,Ankit Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,1.3,M Vijay,Ankit Sharma,1wides,M Vohra,0,1,1,0,NA,NA,NA
2,1.4,M Vijay,Ankit Sharma,NA,M Vohra,4,0,4,0,NA,NA,NA
2,1.5,M Vijay,Ankit Sharma,1wides,M Vohra,0,1,1,0,NA,NA,NA
2,1.6,M Vijay,Ankit Sharma,NA,M Vohra,4,0,4,0,NA,NA,NA
2,1.7,M Vijay,Ankit Sharma,NA,M Vohra,1,0,1,0,NA,NA,NA
2,1.8,M Vohra,Ankit Sharma,NA,M Vijay,2,0,2,0,NA,NA,NA
2,2.1,M Vijay,I Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,2.2,M Vijay,I Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,2.3,M Vijay,I Sharma,NA,M Vohra,4,0,4,0,NA,NA,NA
2,2.4,M Vijay,I Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,2.5,M Vijay,I Sharma,NA,M Vohra,0,0,0,0,NA,NA,NA
2,2.6,M Vijay,I Sharma,NA,M Vohra,6,0,6,0,NA,NA,NA
2,3.1,M Vohra,R Ashwin,NA,M Vijay,1,0,1,0,NA,NA,NA
2,3.2,M Vijay,R Ashwin,NA,M Vohra,0,0,0,0,NA,NA,NA
2,3.3,M Vijay,R Ashwin,NA,M Vohra,1,0,1,0,NA,NA,NA
2,3.4,M Vohra,R Ashwin,NA,M Vijay,1,0,1,0,NA,NA,NA
2,3.5,M Vijay,R Ashwin,NA,M Vohra,0,0,0,0,NA,NA,NA
2,3.6,M Vijay,R Ashwin,NA,M Vohra,1,0,1,0,NA,NA,NA
