innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SR Watson,AR Patel,NA,Vishnu Vinod,1,0,1,0,NA,NA,NA
1,0.2,Vishnu Vinod,AR Patel,NA,SR Watson,0,0,0,0,NA,NA,NA
1,0.3,Vishnu Vinod,AR Patel,NA,SR Watson,1,0,1,0,NA,NA,NA
1,0.4,SR Watson,AR Patel,NA,Vishnu Vinod,0,0,0,0,NA,NA,NA
1,0.5,SR Watson,AR Patel,NA,Vishnu Vinod,0,0,0,0,NA,NA,NA
1,0.6,SR Watson,AR Patel,NA,Vishnu Vinod,0,0,0,1,NA,bowled,SR Watson
1,1.1,Vishnu Vinod,Sandeep Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,1.2,Vishnu Vinod,Sandeep Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,1.3,Vishnu Vinod,Sandeep Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,1.4,Vishnu Vinod,Sandeep Sharma,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,1.5,AB de Villiers,Sandeep Sharma,NA,Vishnu Vinod,4,0,4,0,NA,NA,NA
1,1.6,AB de Villiers,Sandeep Sharma,NA,Vishnu Vinod,0,0,0,0,NA,NA,NA
1,2.1,Vishnu Vinod,MM Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,2.2,Vishnu Vinod,MM Sharma,NA,AB de Villiers,4,0,4,0,NA,NA,NA
1,2.3,Vishnu Vinod,MM Sharma,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,2.4,AB de Villiers,MM Sharma,NA,Vishnu Vinod,0,0,0,0,NA,NA,NA
1,2.5,AB de Villiers,MM Sharma,NA,Vishnu Vinod,0,0,0,0,NA,NA,NA
1,2.6,AB de Villiers,MM Sharma,NA,Vishnu Vinod,6,0,6,0,NA,NA,NA
1,3.1,Vishnu Vinod,Sandeep Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,3.2,Vishnu Vinod,Sandeep Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,3.3,Vishnu Vinod,Sandeep Sharma,NA,AB de Villiers,0,0,0,1,GJ Maxwell,caught,Vishnu Vinod
1,3.4,AB de Villiers,Sandeep Sharma,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,3.5,KM Jadhav,Sandeep Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,3.6,KM Jadhav,Sandeep Sharma,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,4.1,AB de Villiers,VR Aaron,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,4.2,AB de Villiers,VR Aaron,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,4.3,AB de Villiers,VR Aaron,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,4.4,KM Jadhav,VR Aaron,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,4.5,AB de Villiers,VR Aaron,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,4.6,KM Jadhav,VR Aaron,NA,AB de Villiers,0,0,0,1,NA,lbw,KM Jadhav
