innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,I Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.2,DA Warner,I Sharma,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,0.3,DA Warner,I Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.4,DA Warner,I Sharma,1legbyes,S Dhawan,0,1,1,0,NA,NA,NA
1,0.5,S Dhawan,I Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.6,S Dhawan,I Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.1,DA Warner,Anureet Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.2,S Dhawan,Anureet Singh,NA,DA Warner,4,0,4,0,NA,NA,NA
1,1.3,S Dhawan,Anureet Singh,NA,DA Warner,4,0,4,0,NA,NA,NA
1,1.4,S Dhawan,Anureet Singh,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.5,S Dhawan,Anureet Singh,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.6,S Dhawan,Anureet Singh,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.1,S Dhawan,I Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.2,S Dhawan,I Sharma,NA,DA Warner,6,0,6,0,NA,NA,NA
1,2.3,S Dhawan,I Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.4,DA Warner,I Sharma,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.5,S Dhawan,I Sharma,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.6,S Dhawan,I Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.1,S Dhawan,MM Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.2,DA Warner,MM Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.3,DA Warner,MM Sharma,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,3.4,DA Warner,MM Sharma,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.5,S Dhawan,MM Sharma,NA,DA Warner,4,0,4,0,NA,NA,NA
1,3.6,S Dhawan,MM Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
1,4.1,S Dhawan,AR Patel,NA,DA Warner,1,0,1,0,NA,NA,NA
1,4.2,DA Warner,AR Patel,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,4.3,DA Warner,AR Patel,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,4.4,DA Warner,AR Patel,NA,S Dhawan,6,0,6,0,NA,NA,NA
1,4.5,DA Warner,AR Patel,NA,S Dhawan,6,0,6,0,NA,NA,NA
1,4.6,DA Warner,AR Patel,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,5.1,S Dhawan,I Sharma,NA,DA Warner,4,0,4,0,NA,NA,NA
1,5.2,S Dhawan,I Sharma,NA,DA Warner,1,0,1,0,NA,NA,NA
