innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MEK Hussey,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.2,MEK Hussey,RP Singh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,0.3,MEK Hussey,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.4,MEK Hussey,RP Singh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,0.5,MEK Hussey,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.6,MEK Hussey,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.1,M Vijay,R Vinay Kumar,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.2,M Vijay,R Vinay Kumar,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.3,M Vijay,R Vinay Kumar,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,1.4,MEK Hussey,R Vinay Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.5,MEK Hussey,R Vinay Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.6,MEK Hussey,R Vinay Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.1,M Vijay,RP Singh,1wides,MEK Hussey,0,1,1,0,NA,NA,NA
1,2.2,M Vijay,RP Singh,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,2.3,MEK Hussey,RP Singh,NA,M Vijay,0,0,0,1,PA Patel,caught,MEK Hussey
1,2.4,SK Raina,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.5,SK Raina,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.6,SK Raina,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.7,SK Raina,RP Singh,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.1,M Vijay,R Vinay Kumar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.2,SK Raina,R Vinay Kumar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.3,SK Raina,R Vinay Kumar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,3.4,M Vijay,R Vinay Kumar,NA,SK Raina,4,0,4,0,NA,NA,NA
1,3.5,M Vijay,R Vinay Kumar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.6,SK Raina,R Vinay Kumar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,4.1,SK Raina,RP Singh,NA,M Vijay,4,0,4,0,NA,NA,NA
1,4.2,SK Raina,RP Singh,NA,M Vijay,1,0,1,0,NA,NA,NA
1,4.3,M Vijay,RP Singh,NA,SK Raina,4,0,4,0,NA,NA,NA
1,4.4,M Vijay,RP Singh,NA,SK Raina,4,0,4,0,NA,NA,NA
1,4.5,M Vijay,RP Singh,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.6,M Vijay,RP Singh,NA,SK Raina,0,0,0,0,NA,NA,NA
1,5.1,SK Raina,NLTC Perera,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,5.2,SK Raina,NLTC Perera,NA,M Vijay,0,0,0,0,NA,NA,NA
1,5.3,SK Raina,NLTC Perera,NA,M Vijay,0,0,0,0,NA,NA,NA
1,5.4,SK Raina,NLTC Perera,NA,M Vijay,1,0,1,0,NA,NA,NA
1,5.5,M Vijay,NLTC Perera,NA,SK Raina,4,0,4,0,NA,NA,NA
1,5.6,M Vijay,NLTC Perera,NA,SK Raina,4,0,4,0,NA,NA,NA
1,5.7,M Vijay,NLTC Perera,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.1,SK Raina,RR Powar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,6.2,SK Raina,RR Powar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,6.3,SK Raina,RR Powar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,6.4,M Vijay,RR Powar,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.5,M Vijay,RR Powar,NA,SK Raina,4,0,4,0,NA,NA,NA
1,6.6,M Vijay,RR Powar,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.1,SK Raina,NLTC Perera,NA,M Vijay,1,0,1,0,NA,NA,NA
1,7.2,M Vijay,NLTC Perera,NA,SK Raina,0,0,0,1,NA,lbw,M Vijay
1,7.3,S Badrinath,NLTC Perera,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.4,S Badrinath,NLTC Perera,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.5,SK Raina,NLTC Perera,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,7.6,SK Raina,NLTC Perera,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.1,SK Raina,RR Powar,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,8.2,SK Raina,RR Powar,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,8.3,SK Raina,RR Powar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.4,S Badrinath,RR Powar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.5,SK Raina,RR Powar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.6,S Badrinath,RR Powar,NA,SK Raina,2,0,2,0,NA,NA,NA
1,9.1,SK Raina,RV Gomez,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,9.2,SK Raina,RV Gomez,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,9.3,S Badrinath,RV Gomez,NA,SK Raina,0,0,0,0,NA,NA,NA
1,9.4,S Badrinath,RV Gomez,NA,SK Raina,1,0,1,0,NA,NA,NA
1,9.5,SK Raina,RV Gomez,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,9.6,SK Raina,RV Gomez,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.1,SK Raina,R Vinay Kumar,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,10.2,SK Raina,R Vinay Kumar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.3,S Badrinath,R Vinay Kumar,NA,SK Raina,4,0,4,0,NA,NA,NA
1,10.4,S Badrinath,R Vinay Kumar,NA,SK Raina,0,0,0,0,NA,NA,NA
1,10.5,S Badrinath,R Vinay Kumar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,10.6,SK Raina,R Vinay Kumar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,11.1,SK Raina,RR Powar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,11.2,S Badrinath,RR Powar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,11.3,SK Raina,RR Powar,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,11.4,SK Raina,RR Powar,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,11.5,S Badrinath,RR Powar,NA,SK Raina,2,0,2,0,NA,NA,NA
1,11.6,S Badrinath,RR Powar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,12.1,S Badrinath,NLTC Perera,NA,SK Raina,1,0,1,0,NA,NA,NA
1,12.2,SK Raina,NLTC Perera,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,12.3,SK Raina,NLTC Perera,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,12.4,S Badrinath,NLTC Perera,NA,SK Raina,1,0,1,0,NA,NA,NA
1,12.5,SK Raina,NLTC Perera,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,12.6,S Badrinath,NLTC Perera,NA,SK Raina,1,0,1,0,NA,NA,NA
1,13.1,S Badrinath,RV Gomez,NA,SK Raina,2,0,2,0,NA,NA,NA
1,13.2,S Badrinath,RV Gomez,NA,SK Raina,0,0,0,1,NA,lbw,S Badrinath
1,13.3,MS Dhoni,RV Gomez,NA,SK Raina,1,0,1,0,NA,NA,NA
1,13.4,SK Raina,RV Gomez,NA,MS Dhoni,0,0,0,0,NA,NA,NA
