innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,S Sohal,RP Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.2,S Dhawan,RP Singh,NA,S Sohal,0,0,0,0,NA,NA,NA
1,0.3,S Dhawan,RP Singh,NA,S Sohal,1,0,1,0,NA,NA,NA
1,0.4,S Sohal,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.5,S Sohal,RP Singh,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,0.6,S Sohal,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.7,S Sohal,RP Singh,NA,S Dhawan,0,0,0,1,NA,lbw,S Sohal
1,1.1,S Dhawan,S Sreesanth,NA,B Chipli,0,0,0,0,NA,NA,NA
1,1.2,S Dhawan,S Sreesanth,NA,B Chipli,0,0,0,0,NA,NA,NA
1,1.3,S Dhawan,S Sreesanth,NA,B Chipli,0,0,0,0,NA,NA,NA
1,1.4,S Dhawan,S Sreesanth,NA,B Chipli,0,0,0,0,NA,NA,NA
1,1.5,S Dhawan,S Sreesanth,NA,B Chipli,1,0,1,0,NA,NA,NA
1,1.6,B Chipli,S Sreesanth,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.1,S Dhawan,RP Singh,NA,B Chipli,2,0,2,0,NA,NA,NA
1,2.2,S Dhawan,RP Singh,NA,B Chipli,0,0,0,1,RV Gomez,caught,S Dhawan
1,2.3,B Chipli,RP Singh,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,2.4,B Chipli,RP Singh,NA,KC Sangakkara,3,0,3,0,NA,NA,NA
1,2.5,KC Sangakkara,RP Singh,NA,B Chipli,1,0,1,0,NA,NA,NA
1,2.6,B Chipli,RP Singh,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,3.1,KC Sangakkara,S Sreesanth,NA,B Chipli,0,0,0,0,NA,NA,NA
1,3.2,KC Sangakkara,S Sreesanth,NA,B Chipli,0,0,0,0,NA,NA,NA
1,3.3,KC Sangakkara,S Sreesanth,NA,B Chipli,4,0,4,0,NA,NA,NA
1,3.4,KC Sangakkara,S Sreesanth,1noballs,B Chipli,0,1,1,0,NA,NA,NA
1,3.5,KC Sangakkara,S Sreesanth,1noballs,B Chipli,0,1,1,0,NA,NA,NA
