innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,RP Singh,1wides,V Sehwag,0,1,1,0,NA,NA,NA
1,0.2,DA Warner,RP Singh,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.3,DA Warner,RP Singh,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.4,DA Warner,RP Singh,NA,V Sehwag,2,0,2,0,NA,NA,NA
1,0.5,DA Warner,RP Singh,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.6,DA Warner,RP Singh,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.7,DA Warner,RP Singh,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,1.1,DA Warner,S Sreesanth,NA,V Sehwag,0,0,0,1,NA,bowled,DA Warner
1,1.2,NV Ojha,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.3,NV Ojha,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.4,NV Ojha,S Sreesanth,NA,V Sehwag,0,0,0,1,NA,lbw,NV Ojha
1,1.5,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.6,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.1,V Sehwag,RP Singh,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,2.2,V Sehwag,RP Singh,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,2.3,V Sehwag,RP Singh,NA,Y Venugopal Rao,2,0,2,0,NA,NA,NA
1,2.4,V Sehwag,RP Singh,NA,Y Venugopal Rao,4,0,4,0,NA,NA,NA
1,2.5,V Sehwag,RP Singh,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,2.6,V Sehwag,RP Singh,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,3.1,V Sehwag,S Sreesanth,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,3.2,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.3,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,3.4,V Sehwag,S Sreesanth,NA,Y Venugopal Rao,4,0,4,0,NA,NA,NA
1,3.5,V Sehwag,S Sreesanth,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,3.6,V Sehwag,S Sreesanth,1wides,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,3.7,V Sehwag,S Sreesanth,1legbyes,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,4.1,V Sehwag,RP Singh,NA,Y Venugopal Rao,4,0,4,0,NA,NA,NA
1,4.2,V Sehwag,RP Singh,NA,Y Venugopal Rao,2,0,2,0,NA,NA,NA
1,4.3,V Sehwag,RP Singh,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,4.4,V Sehwag,RP Singh,NA,Y Venugopal Rao,2,0,2,0,NA,NA,NA
1,4.5,V Sehwag,RP Singh,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,4.6,V Sehwag,RP Singh,NA,Y Venugopal Rao,4,0,4,0,NA,NA,NA
1,5.1,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.2,Y Venugopal Rao,S Sreesanth,1legbyes,V Sehwag,0,1,1,0,NA,NA,NA
1,5.3,V Sehwag,S Sreesanth,1legbyes,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,5.4,Y Venugopal Rao,S Sreesanth,1wides,V Sehwag,0,1,1,0,NA,NA,NA
1,5.5,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.6,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.7,Y Venugopal Rao,S Sreesanth,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.1,V Sehwag,RA Jadeja,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,6.2,Y Venugopal Rao,RA Jadeja,NA,V Sehwag,0,0,0,1,NA,lbw,Y Venugopal Rao
1,6.3,Y Nagar,RA Jadeja,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.4,Y Nagar,RA Jadeja,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.5,Y Nagar,RA Jadeja,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.6,Y Nagar,RA Jadeja,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,7.1,Y Nagar,S Sreesanth,1legbyes,V Sehwag,0,1,1,0,NA,NA,NA
1,7.2,V Sehwag,S Sreesanth,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,7.3,V Sehwag,S Sreesanth,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,7.4,V Sehwag,S Sreesanth,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,7.5,V Sehwag,S Sreesanth,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,7.6,Y Nagar,S Sreesanth,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,8.1,Y Nagar,RA Jadeja,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,8.2,V Sehwag,RA Jadeja,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,8.3,Y Nagar,RA Jadeja,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,8.4,V Sehwag,RA Jadeja,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,8.5,V Sehwag,RA Jadeja,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,8.6,V Sehwag,RA Jadeja,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,9.1,Y Nagar,R Vinay Kumar,NA,V Sehwag,2,0,2,0,NA,NA,NA
1,9.2,Y Nagar,R Vinay Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,9.3,Y Nagar,R Vinay Kumar,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,9.4,V Sehwag,R Vinay Kumar,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,9.5,V Sehwag,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,9.6,Y Nagar,R Vinay Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,10.1,V Sehwag,RA Jadeja,NA,Y Nagar,0,0,0,0,NA,NA,NA
1,10.2,V Sehwag,RA Jadeja,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,10.3,Y Nagar,RA Jadeja,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,10.4,V Sehwag,RA Jadeja,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,10.5,Y Nagar,RA Jadeja,3wides,V Sehwag,0,3,3,0,NA,NA,NA
1,10.6,Y Nagar,RA Jadeja,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,10.7,Y Nagar,RA Jadeja,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,11.1,Y Nagar,R Vinay Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,11.2,Y Nagar,R Vinay Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,11.3,Y Nagar,R Vinay Kumar,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,11.4,Y Nagar,R Vinay Kumar,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,11.5,V Sehwag,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,11.6,Y Nagar,R Vinay Kumar,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,12.1,Y Nagar,RA Jadeja,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,12.2,Y Nagar,RA Jadeja,NA,V Sehwag,2,0,2,0,NA,NA,NA
1,12.3,Y Nagar,RA Jadeja,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,12.4,Y Nagar,RA Jadeja,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,12.5,V Sehwag,RA Jadeja,NA,Y Nagar,6,0,6,0,NA,NA,NA
1,12.6,V Sehwag,RA Jadeja,NA,Y Nagar,6,0,6,0,NA,NA,NA
1,13.1,Y Nagar,B Akhil,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,13.2,Y Nagar,B Akhil,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,13.3,Y Nagar,B Akhil,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,13.4,V Sehwag,B Akhil,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,13.5,Y Nagar,B Akhil,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,13.6,Y Nagar,B Akhil,NA,V Sehwag,2,0,2,0,NA,NA,NA
1,14.1,V Sehwag,R Vinay Kumar,NA,Y Nagar,6,0,6,0,NA,NA,NA
1,14.2,V Sehwag,R Vinay Kumar,NA,Y Nagar,4,0,4,0,NA,NA,NA
1,14.3,V Sehwag,R Vinay Kumar,NA,Y Nagar,1,0,1,0,NA,NA,NA
1,14.4,Y Nagar,R Vinay Kumar,NA,V Sehwag,1,0,1,1,RA Jadeja,run out,Y Nagar
1,14.5,TR Birt,R Vinay Kumar,NA,V Sehwag,2,0,2,0,NA,NA,NA
1,14.6,TR Birt,R Vinay Kumar,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,15.1,TR Birt,B Akhil,2noballs,V Sehwag,0,2,2,0,NA,NA,NA
1,15.2,V Sehwag,B Akhil,NA,TR Birt,6,0,6,0,NA,NA,NA
1,15.3,V Sehwag,B Akhil,NA,TR Birt,0,0,0,0,NA,NA,NA
1,15.4,V Sehwag,B Akhil,NA,TR Birt,4,0,4,0,NA,NA,NA
1,15.5,V Sehwag,B Akhil,NA,TR Birt,1,0,1,0,NA,NA,NA
1,15.6,TR Birt,B Akhil,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,15.7,V Sehwag,B Akhil,NA,TR Birt,4,0,4,0,NA,NA,NA
