innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,BB McCullum,RJ Harris,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,0.2,BB McCullum,RJ Harris,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,0.3,DPMD Jayawardene,RJ Harris,2wides,BB McCullum,0,2,2,0,NA,NA,NA
1,0.4,BB McCullum,RJ Harris,1wides,DPMD Jayawardene,0,1,1,0,NA,NA,NA
1,0.5,BB McCullum,RJ Harris,3legbyes,DPMD Jayawardene,0,3,3,0,NA,NA,NA
1,0.6,DPMD Jayawardene,RJ Harris,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.7,DPMD Jayawardene,RJ Harris,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.8,DPMD Jayawardene,RJ Harris,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.1,BB McCullum,BA Bhatt,1wides,DPMD Jayawardene,0,1,1,0,NA,NA,NA
1,1.2,BB McCullum,BA Bhatt,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.3,BB McCullum,BA Bhatt,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.4,BB McCullum,BA Bhatt,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.5,BB McCullum,BA Bhatt,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,1.6,DPMD Jayawardene,BA Bhatt,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,1.7,DPMD Jayawardene,BA Bhatt,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.1,BB McCullum,Bipul Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.2,BB McCullum,Bipul Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.3,BB McCullum,Bipul Sharma,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,2.4,BB McCullum,Bipul Sharma,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,2.5,DPMD Jayawardene,Bipul Sharma,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,2.6,DPMD Jayawardene,Bipul Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.1,BB McCullum,SJ Srivastava,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.2,DPMD Jayawardene,SJ Srivastava,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.3,BB McCullum,SJ Srivastava,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,3.4,BB McCullum,SJ Srivastava,1wides,DPMD Jayawardene,0,1,1,0,NA,NA,NA
1,3.5,BB McCullum,SJ Srivastava,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.6,DPMD Jayawardene,SJ Srivastava,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.7,DPMD Jayawardene,SJ Srivastava,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.1,DPMD Jayawardene,BA Bhatt,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.2,BB McCullum,BA Bhatt,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,4.3,BB McCullum,BA Bhatt,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,4.4,BB McCullum,BA Bhatt,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,4.5,DPMD Jayawardene,BA Bhatt,NA,BB McCullum,6,0,6,0,NA,NA,NA
1,4.6,DPMD Jayawardene,BA Bhatt,NA,BB McCullum,3,0,3,0,NA,NA,NA
1,5.1,DPMD Jayawardene,SJ Srivastava,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,5.2,BB McCullum,SJ Srivastava,5wides,DPMD Jayawardene,0,5,5,0,NA,NA,NA
1,5.3,BB McCullum,SJ Srivastava,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,5.4,BB McCullum,SJ Srivastava,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,5.5,DPMD Jayawardene,SJ Srivastava,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.6,DPMD Jayawardene,SJ Srivastava,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,5.7,DPMD Jayawardene,SJ Srivastava,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,6.1,DPMD Jayawardene,RJ Harris,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,6.2,DPMD Jayawardene,RJ Harris,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,6.3,BB McCullum,RJ Harris,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,6.4,BB McCullum,RJ Harris,NA,DPMD Jayawardene,6,0,6,0,NA,NA,NA
1,6.5,BB McCullum,RJ Harris,NA,DPMD Jayawardene,6,0,6,0,NA,NA,NA
1,6.6,BB McCullum,RJ Harris,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,7.1,BB McCullum,PP Chawla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,7.2,DPMD Jayawardene,PP Chawla,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,7.3,DPMD Jayawardene,PP Chawla,1wides,BB McCullum,0,1,1,0,NA,NA,NA
1,7.4,DPMD Jayawardene,PP Chawla,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.5,BB McCullum,PP Chawla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,7.6,DPMD Jayawardene,PP Chawla,5wides,BB McCullum,0,5,5,0,NA,NA,NA
1,7.7,DPMD Jayawardene,PP Chawla,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,7.8,DPMD Jayawardene,PP Chawla,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,8.1,DPMD Jayawardene,Bipul Sharma,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,8.2,DPMD Jayawardene,Bipul Sharma,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,8.3,BB McCullum,Bipul Sharma,NA,DPMD Jayawardene,2,0,2,0,NA,NA,NA
1,8.4,BB McCullum,Bipul Sharma,NA,DPMD Jayawardene,0,0,0,1,NA,lbw,BB McCullum
1,8.5,RA Jadeja,Bipul Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,8.6,RA Jadeja,Bipul Sharma,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,9.1,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,9.2,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,6,0,6,0,NA,NA,NA
1,9.3,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,9.4,DPMD Jayawardene,PP Chawla,NA,RA Jadeja,0,0,0,0,NA,NA,NA
1,9.5,DPMD Jayawardene,PP Chawla,NA,RA Jadeja,1,0,1,0,NA,NA,NA
1,9.6,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,10.1,RA Jadeja,SJ Srivastava,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,10.2,RA Jadeja,SJ Srivastava,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,10.3,RA Jadeja,SJ Srivastava,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,10.4,DPMD Jayawardene,SJ Srivastava,NA,RA Jadeja,1,0,1,0,NA,NA,NA
1,10.5,RA Jadeja,SJ Srivastava,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,10.6,RA Jadeja,SJ Srivastava,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,11.1,DPMD Jayawardene,PP Chawla,NA,RA Jadeja,1,0,1,0,NA,NA,NA
1,11.2,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,11.3,DPMD Jayawardene,PP Chawla,NA,RA Jadeja,6,0,6,0,NA,NA,NA
1,11.4,DPMD Jayawardene,PP Chawla,NA,RA Jadeja,1,0,1,0,NA,NA,NA
1,11.5,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,11.6,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,12.1,DPMD Jayawardene,BA Bhatt,NA,RA Jadeja,1,0,1,0,NA,NA,NA
1,12.2,RA Jadeja,BA Bhatt,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,12.3,RA Jadeja,BA Bhatt,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,12.4,DPMD Jayawardene,BA Bhatt,NA,RA Jadeja,1,0,1,0,NA,NA,NA
1,12.5,RA Jadeja,BA Bhatt,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,12.6,DPMD Jayawardene,BA Bhatt,NA,RA Jadeja,0,0,0,0,NA,NA,NA
1,13.1,RA Jadeja,PP Chawla,NA,DPMD Jayawardene,0,0,0,1,NA,lbw,RA Jadeja
1,13.2,BJ Hodge,PP Chawla,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,13.3,BJ Hodge,PP Chawla,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,13.4,BJ Hodge,PP Chawla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,13.5,DPMD Jayawardene,PP Chawla,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,13.6,DPMD Jayawardene,PP Chawla,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,14.1,DPMD Jayawardene,Bipul Sharma,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,14.2,BJ Hodge,Bipul Sharma,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,14.3,DPMD Jayawardene,Bipul Sharma,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,14.4,BJ Hodge,Bipul Sharma,NA,DPMD Jayawardene,2,0,2,0,NA,NA,NA
1,14.5,BJ Hodge,Bipul Sharma,NA,DPMD Jayawardene,0,0,0,1,SE Marsh,caught,BJ Hodge
1,14.6,DPMD Jayawardene,Bipul Sharma,NA,OA Shah,1,0,1,0,NA,NA,NA
1,15.1,DPMD Jayawardene,RJ Harris,NA,OA Shah,1,0,1,0,NA,NA,NA
1,15.2,OA Shah,RJ Harris,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,15.3,OA Shah,RJ Harris,NA,DPMD Jayawardene,2,0,2,0,NA,NA,NA
1,15.4,OA Shah,RJ Harris,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
