innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,BB McCullum,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,0.2,BB McCullum,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,0.3,BB McCullum,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,0.4,BB McCullum,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,0.5,BB McCullum,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,0.6,BB McCullum,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,1.1,M Klinger,JD Unadkat,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.2,BB McCullum,JD Unadkat,1wides,M Klinger,0,1,1,0,NA,NA,NA
1,1.3,BB McCullum,JD Unadkat,NA,M Klinger,1,0,1,0,NA,NA,NA
1,1.4,M Klinger,JD Unadkat,NA,BB McCullum,3,0,3,0,NA,NA,NA
1,1.5,BB McCullum,JD Unadkat,NA,M Klinger,0,0,0,1,JH Kallis,caught,BB McCullum
1,1.6,PA Patel,JD Unadkat,NA,M Klinger,1,0,1,0,NA,NA,NA
1,1.7,M Klinger,JD Unadkat,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.1,PA Patel,B Lee,NA,M Klinger,4,0,4,0,NA,NA,NA
1,2.2,PA Patel,B Lee,NA,M Klinger,4,0,4,0,NA,NA,NA
1,2.3,PA Patel,B Lee,NA,M Klinger,1,0,1,0,NA,NA,NA
1,2.4,M Klinger,B Lee,NA,PA Patel,1,0,1,0,NA,NA,NA
1,2.5,PA Patel,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,2.6,PA Patel,B Lee,NA,M Klinger,0,0,0,0,NA,NA,NA
1,3.1,M Klinger,JD Unadkat,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.2,M Klinger,JD Unadkat,NA,PA Patel,1,0,1,0,NA,NA,NA
1,3.3,PA Patel,JD Unadkat,NA,M Klinger,4,0,4,0,NA,NA,NA
1,3.4,PA Patel,JD Unadkat,NA,M Klinger,0,0,0,0,NA,NA,NA
1,3.5,PA Patel,JD Unadkat,NA,M Klinger,0,0,0,0,NA,NA,NA
1,3.6,PA Patel,JD Unadkat,NA,M Klinger,1,0,1,0,NA,NA,NA
1,4.1,PA Patel,Iqbal Abdulla,NA,M Klinger,4,0,4,0,NA,NA,NA
1,4.2,PA Patel,Iqbal Abdulla,NA,M Klinger,0,0,0,0,NA,NA,NA
1,4.3,PA Patel,Iqbal Abdulla,NA,M Klinger,1,0,1,0,NA,NA,NA
1,4.4,M Klinger,Iqbal Abdulla,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.5,PA Patel,Iqbal Abdulla,NA,M Klinger,1,0,1,0,NA,NA,NA
1,4.6,M Klinger,Iqbal Abdulla,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.1,PA Patel,JD Unadkat,NA,M Klinger,0,0,0,0,NA,NA,NA
1,5.2,PA Patel,JD Unadkat,NA,M Klinger,0,0,0,1,R Bhatia,caught,PA Patel
