innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,FY Fazal,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,0.2,FY Fazal,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,0.3,FY Fazal,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,0.4,FY Fazal,RP Singh,NA,R Dravid,4,0,4,0,NA,NA,NA
1,0.5,FY Fazal,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,0.6,FY Fazal,RP Singh,NA,R Dravid,1,0,1,0,NA,NA,NA
1,1.1,FY Fazal,S Sreesanth,NA,R Dravid,0,0,0,0,NA,NA,NA
1,1.2,FY Fazal,S Sreesanth,1legbyes,R Dravid,0,1,1,0,NA,NA,NA
1,1.3,R Dravid,S Sreesanth,NA,FY Fazal,0,0,0,0,NA,NA,NA
1,1.4,R Dravid,S Sreesanth,NA,FY Fazal,0,0,0,0,NA,NA,NA
1,1.5,R Dravid,S Sreesanth,NA,FY Fazal,1,0,1,0,NA,NA,NA
1,1.6,FY Fazal,S Sreesanth,NA,R Dravid,1,0,1,0,NA,NA,NA
1,2.1,FY Fazal,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,2.2,FY Fazal,RP Singh,NA,R Dravid,4,0,4,0,NA,NA,NA
1,2.3,FY Fazal,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,2.4,FY Fazal,RP Singh,NA,R Dravid,4,0,4,0,NA,NA,NA
1,2.5,FY Fazal,RP Singh,NA,R Dravid,2,0,2,0,NA,NA,NA
1,2.6,FY Fazal,RP Singh,NA,R Dravid,0,0,0,1,NA,lbw,FY Fazal
1,3.1,R Dravid,S Sreesanth,NA,SR Watson,0,0,0,1,OA Shah,caught,R Dravid
1,3.2,AM Rahane,S Sreesanth,NA,SR Watson,2,0,2,0,NA,NA,NA
1,3.3,AM Rahane,S Sreesanth,NA,SR Watson,0,0,0,0,NA,NA,NA
1,3.4,AM Rahane,S Sreesanth,NA,SR Watson,1,0,1,0,NA,NA,NA
1,3.5,SR Watson,S Sreesanth,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.6,SR Watson,S Sreesanth,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,4.1,AM Rahane,RP Singh,NA,SR Watson,0,0,0,0,NA,NA,NA
