innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,BB McCullum,Z Khan,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,0.2,VVS Laxman,Z Khan,1legbyes,BB McCullum,0,1,1,0,NA,NA,NA
1,0.3,BB McCullum,Z Khan,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,0.4,BB McCullum,Z Khan,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,0.5,BB McCullum,Z Khan,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,0.6,VVS Laxman,Z Khan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.1,BB McCullum,DP Nannes,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,1.2,BB McCullum,DP Nannes,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,1.3,BB McCullum,DP Nannes,NA,VVS Laxman,6,0,6,0,NA,NA,NA
1,1.4,BB McCullum,DP Nannes,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,1.5,VVS Laxman,DP Nannes,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.6,VVS Laxman,DP Nannes,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.1,VVS Laxman,Z Khan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.2,BB McCullum,Z Khan,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.3,BB McCullum,Z Khan,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.4,BB McCullum,Z Khan,1legbyes,VVS Laxman,0,1,1,0,NA,NA,NA
1,2.5,VVS Laxman,Z Khan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.6,VVS Laxman,Z Khan,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,3.1,BB McCullum,DL Vettori,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,3.2,BB McCullum,DL Vettori,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,3.3,VVS Laxman,DL Vettori,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,3.4,VVS Laxman,DL Vettori,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.5,VVS Laxman,DL Vettori,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.6,BB McCullum,DL Vettori,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,4.1,BB McCullum,TM Dilshan,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,4.2,VVS Laxman,TM Dilshan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.3,VVS Laxman,TM Dilshan,NA,BB McCullum,6,0,6,0,NA,NA,NA
1,4.4,VVS Laxman,TM Dilshan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.5,VVS Laxman,TM Dilshan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.6,VVS Laxman,TM Dilshan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,5.1,VVS Laxman,A Mithun,NA,BB McCullum,0,0,0,0,NA,NA,NA
