innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,Salman Butt,M Ntini,NA,Mohammad Hafeez,0,0,0,0,NA,NA,NA
1,0.2,Salman Butt,M Ntini,NA,Mohammad Hafeez,1,0,1,0,NA,NA,NA
1,0.3,Mohammad Hafeez,M Ntini,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,0.4,Mohammad Hafeez,M Ntini,NA,Salman Butt,1,0,1,0,NA,NA,NA
1,0.5,Salman Butt,M Ntini,1noballs,Mohammad Hafeez,1,1,2,0,NA,NA,NA
1,0.6,Mohammad Hafeez,M Ntini,1byes,Salman Butt,0,1,1,0,NA,NA,NA
1,0.7,Salman Butt,M Ntini,NA,Mohammad Hafeez,0,0,0,0,NA,NA,NA
1,1.1,Mohammad Hafeez,MS Gony,NA,Salman Butt,1,0,1,0,NA,NA,NA
1,1.2,Salman Butt,MS Gony,NA,Mohammad Hafeez,0,0,0,0,NA,NA,NA
1,1.3,Salman Butt,MS Gony,NA,Mohammad Hafeez,0,0,0,0,NA,NA,NA
1,1.4,Salman Butt,MS Gony,NA,Mohammad Hafeez,0,0,0,0,NA,NA,NA
1,1.5,Salman Butt,MS Gony,NA,Mohammad Hafeez,0,0,0,0,NA,NA,NA
1,1.6,Salman Butt,MS Gony,NA,Mohammad Hafeez,4,0,4,0,NA,NA,NA
1,2.1,Mohammad Hafeez,M Ntini,NA,Salman Butt,4,0,4,0,NA,NA,NA
1,2.2,Mohammad Hafeez,M Ntini,NA,Salman Butt,0,0,0,1,MS Gony,caught,Mohammad Hafeez
1,2.3,SC Ganguly,M Ntini,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,2.4,SC Ganguly,M Ntini,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,2.5,SC Ganguly,M Ntini,1legbyes,Salman Butt,0,1,1,0,NA,NA,NA
1,2.6,Salman Butt,M Ntini,1legbyes,SC Ganguly,0,1,1,0,NA,NA,NA
1,3.1,Salman Butt,MS Gony,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,3.2,Salman Butt,MS Gony,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,3.3,SC Ganguly,MS Gony,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,3.4,SC Ganguly,MS Gony,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,3.5,SC Ganguly,MS Gony,NA,Salman Butt,2,0,2,0,NA,NA,NA
1,3.6,SC Ganguly,MS Gony,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,4.1,Salman Butt,M Ntini,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,4.2,Salman Butt,M Ntini,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,4.3,Salman Butt,M Ntini,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.4,Salman Butt,M Ntini,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.5,Salman Butt,M Ntini,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,4.6,SC Ganguly,M Ntini,NA,Salman Butt,0,0,0,1,NA,bowled,SC Ganguly
1,5.1,Salman Butt,MS Gony,NA,DB Das,4,0,4,0,NA,NA,NA
1,5.2,Salman Butt,MS Gony,NA,DB Das,1,0,1,0,NA,NA,NA
1,5.3,DB Das,MS Gony,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,5.4,DB Das,MS Gony,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,5.5,DB Das,MS Gony,NA,Salman Butt,1,0,1,0,NA,NA,NA
1,5.6,Salman Butt,MS Gony,NA,DB Das,1,0,1,0,NA,NA,NA
1,6.1,Salman Butt,M Muralitharan,NA,DB Das,2,0,2,0,NA,NA,NA
1,6.2,Salman Butt,M Muralitharan,NA,DB Das,0,0,0,0,NA,NA,NA
1,6.3,Salman Butt,M Muralitharan,NA,DB Das,1,0,1,0,NA,NA,NA
1,6.4,DB Das,M Muralitharan,NA,Salman Butt,1,0,1,0,NA,NA,NA
1,6.5,Salman Butt,M Muralitharan,NA,DB Das,1,0,1,0,NA,NA,NA
1,6.6,DB Das,M Muralitharan,NA,Salman Butt,0,0,0,0,NA,NA,NA
1,7.1,Salman Butt,L Balaji,NA,DB Das,1,0,1,0,NA,NA,NA
1,7.2,DB Das,L Balaji,NA,Salman Butt,1,0,1,0,NA,NA,NA
1,7.3,Salman Butt,L Balaji,NA,DB Das,1,0,1,0,NA,NA,NA
1,7.4,DB Das,L Balaji,NA,Salman Butt,1,0,1,0,NA,NA,NA
1,7.5,Salman Butt,L Balaji,NA,DB Das,1,0,1,0,NA,NA,NA
1,7.6,DB Das,L Balaji,NA,Salman Butt,1,0,1,0,NA,NA,NA
1,8.1,DB Das,M Muralitharan,1legbyes,Salman Butt,0,1,1,0,NA,NA,NA
1,8.2,Salman Butt,M Muralitharan,1legbyes,DB Das,0,1,1,0,NA,NA,NA
1,8.3,DB Das,M Muralitharan,1legbyes,Salman Butt,0,1,1,0,NA,NA,NA
1,8.4,Salman Butt,M Muralitharan,NA,DB Das,1,0,1,0,NA,NA,NA
