innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,AB Dinda,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,0.2,Y Venugopal Rao,AB Dinda,1noballs,AC Gilchrist,0,1,1,0,NA,NA,NA
1,0.3,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,2,0,2,0,NA,NA,NA
1,0.4,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.5,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.6,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,0.7,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,5,0,5,0,NA,NA,NA
1,1.1,Y Venugopal Rao,I Sharma,1legbyes,AC Gilchrist,0,1,1,0,NA,NA,NA
1,1.2,AC Gilchrist,I Sharma,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,1.3,Y Venugopal Rao,I Sharma,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.4,Y Venugopal Rao,I Sharma,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,1.5,AC Gilchrist,I Sharma,1wides,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,1.6,AC Gilchrist,I Sharma,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,1.7,AC Gilchrist,I Sharma,1wides,Y Venugopal Rao,0,1,1,0,NA,NA,NA
1,1.8,AC Gilchrist,I Sharma,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,2.1,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,2.2,AC Gilchrist,AB Dinda,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,2.3,AC Gilchrist,AB Dinda,NA,Y Venugopal Rao,0,0,0,0,NA,NA,NA
1,2.4,AC Gilchrist,AB Dinda,NA,Y Venugopal Rao,1,0,1,0,NA,NA,NA
1,2.5,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
1,2.6,Y Venugopal Rao,AB Dinda,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,3.1,Y Venugopal Rao,I Sharma,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.2,Y Venugopal Rao,I Sharma,NA,AC Gilchrist,0,0,0,1,M Kartik,caught,Y Venugopal Rao
1,3.3,VVS Laxman,I Sharma,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.4,VVS Laxman,I Sharma,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.5,VVS Laxman,I Sharma,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.6,VVS Laxman,I Sharma,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,4.1,AC Gilchrist,AB Dinda,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,4.2,VVS Laxman,AB Dinda,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,4.3,VVS Laxman,AB Dinda,NA,AC Gilchrist,0,0,0,1,LR Shukla,caught,VVS Laxman
1,4.4,AC Gilchrist,AB Dinda,NA,A Symonds,1,0,1,0,NA,NA,NA
1,4.5,A Symonds,AB Dinda,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,4.6,A Symonds,AB Dinda,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,5.1,AC Gilchrist,AB Agarkar,NA,A Symonds,6,0,6,0,NA,NA,NA
1,5.2,AC Gilchrist,AB Agarkar,NA,A Symonds,0,0,0,0,NA,NA,NA
1,5.3,AC Gilchrist,AB Agarkar,NA,A Symonds,6,0,6,0,NA,NA,NA
1,5.4,AC Gilchrist,AB Agarkar,NA,A Symonds,4,0,4,0,NA,NA,NA
1,5.5,AC Gilchrist,AB Agarkar,NA,A Symonds,0,0,0,0,NA,NA,NA
1,5.6,AC Gilchrist,AB Agarkar,NA,A Symonds,0,0,0,0,NA,NA,NA
1,6.1,A Symonds,M Kartik,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,6.2,AC Gilchrist,M Kartik,NA,A Symonds,0,0,0,0,NA,NA,NA
1,6.3,AC Gilchrist,M Kartik,NA,A Symonds,1,0,1,0,NA,NA,NA
1,6.4,A Symonds,M Kartik,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
1,6.5,A Symonds,M Kartik,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,6.6,A Symonds,M Kartik,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
