innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RV Uthappa,Z Khan,1wides,G Gambhir,0,1,1,0,NA,NA,NA
1,0.2,RV Uthappa,Z Khan,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.3,RV Uthappa,Z Khan,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,0.4,G Gambhir,Z Khan,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,0.5,G Gambhir,Z Khan,1wides,RV Uthappa,0,1,1,0,NA,NA,NA
1,0.6,G Gambhir,Z Khan,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,0.7,G Gambhir,Z Khan,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,0.8,RV Uthappa,Z Khan,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,1.1,RV Uthappa,JA Morkel,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.2,RV Uthappa,JA Morkel,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.3,RV Uthappa,JA Morkel,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,1.4,G Gambhir,JA Morkel,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,1.5,RV Uthappa,JA Morkel,1wides,G Gambhir,0,1,1,0,NA,NA,NA
1,1.6,RV Uthappa,JA Morkel,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.7,RV Uthappa,JA Morkel,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.1,G Gambhir,Z Khan,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,2.2,RV Uthappa,Z Khan,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,2.3,RV Uthappa,Z Khan,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.4,RV Uthappa,Z Khan,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,2.5,RV Uthappa,Z Khan,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.6,RV Uthappa,Z Khan,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.1,G Gambhir,JP Duminy,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,3.2,G Gambhir,JP Duminy,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,3.3,G Gambhir,JP Duminy,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.4,RV Uthappa,JP Duminy,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.5,RV Uthappa,JP Duminy,NA,G Gambhir,6,0,6,0,NA,NA,NA
1,3.6,RV Uthappa,JP Duminy,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.1,RV Uthappa,Z Khan,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.2,G Gambhir,Z Khan,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,4.3,G Gambhir,Z Khan,NA,RV Uthappa,0,0,0,1,KM Jadhav,caught,G Gambhir
1,4.4,MK Pandey,Z Khan,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,4.5,RV Uthappa,Z Khan,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,4.6,RV Uthappa,Z Khan,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.1,MK Pandey,JA Morkel,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,5.2,MK Pandey,JA Morkel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,5.3,MK Pandey,JA Morkel,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,5.4,RV Uthappa,JA Morkel,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,5.5,RV Uthappa,JA Morkel,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.6,RV Uthappa,JA Morkel,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,6.1,MK Pandey,A Mishra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,6.2,MK Pandey,A Mishra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,6.3,MK Pandey,A Mishra,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,6.4,RV Uthappa,A Mishra,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,6.5,RV Uthappa,A Mishra,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,6.6,RV Uthappa,A Mishra,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,7.1,MK Pandey,Imran Tahir,NA,RV Uthappa,6,0,6,0,NA,NA,NA
1,7.2,MK Pandey,Imran Tahir,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,7.3,MK Pandey,Imran Tahir,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.4,RV Uthappa,Imran Tahir,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,7.5,RV Uthappa,Imran Tahir,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,7.6,MK Pandey,Imran Tahir,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,8.1,MK Pandey,A Mishra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,8.2,MK Pandey,A Mishra,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,8.3,RV Uthappa,A Mishra,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,8.4,RV Uthappa,A Mishra,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,8.5,RV Uthappa,A Mishra,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,8.6,RV Uthappa,A Mishra,NA,MK Pandey,0,0,0,1,NA,lbw,RV Uthappa
1,9.1,MK Pandey,Imran Tahir,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,9.2,PP Chawla,Imran Tahir,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,9.3,PP Chawla,Imran Tahir,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,9.4,PP Chawla,Imran Tahir,1wides,MK Pandey,0,1,1,0,NA,NA,NA
1,9.5,PP Chawla,Imran Tahir,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,9.6,PP Chawla,Imran Tahir,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,9.7,MK Pandey,Imran Tahir,NA,PP Chawla,2,0,2,0,NA,NA,NA
1,10.1,PP Chawla,AD Mathews,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,10.2,PP Chawla,AD Mathews,NA,MK Pandey,1,0,1,0,NA,NA,NA
