innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SP Narine,P Kumar,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.2,SP Narine,P Kumar,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,0.3,SP Narine,P Kumar,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.4,SP Narine,P Kumar,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.5,SP Narine,P Kumar,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,0.6,SP Narine,P Kumar,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.1,G Gambhir,JP Faulkner,NA,SP Narine,1,0,1,0,NA,NA,NA
1,1.2,SP Narine,JP Faulkner,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.3,SP Narine,JP Faulkner,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.4,SP Narine,JP Faulkner,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.5,SP Narine,JP Faulkner,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.6,SP Narine,JP Faulkner,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,2.1,G Gambhir,Basil Thampi,NA,SP Narine,1,0,1,0,NA,NA,NA
1,2.2,SP Narine,Basil Thampi,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.3,SP Narine,Basil Thampi,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,2.4,SP Narine,Basil Thampi,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,2.5,SP Narine,Basil Thampi,NA,G Gambhir,6,0,6,0,NA,NA,NA
1,2.6,SP Narine,Basil Thampi,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.1,G Gambhir,SK Raina,NA,SP Narine,1,0,1,0,NA,NA,NA
1,3.2,SP Narine,SK Raina,NA,G Gambhir,0,0,0,1,JP Faulkner,caught,SP Narine
1,3.3,G Gambhir,SK Raina,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.4,G Gambhir,SK Raina,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.5,G Gambhir,SK Raina,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.6,RV Uthappa,SK Raina,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.1,RV Uthappa,DS Kulkarni,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,4.2,RV Uthappa,DS Kulkarni,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,4.3,RV Uthappa,DS Kulkarni,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.4,G Gambhir,DS Kulkarni,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,4.5,G Gambhir,DS Kulkarni,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,4.6,G Gambhir,DS Kulkarni,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,5.1,G Gambhir,SK Raina,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,5.2,RV Uthappa,SK Raina,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,5.3,G Gambhir,SK Raina,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,5.4,RV Uthappa,SK Raina,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,5.5,RV Uthappa,SK Raina,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,5.6,RV Uthappa,SK Raina,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,6.1,RV Uthappa,RA Jadeja,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,6.2,G Gambhir,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,6.3,RV Uthappa,RA Jadeja,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,6.4,G Gambhir,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,6.5,RV Uthappa,RA Jadeja,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,6.6,G Gambhir,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.1,G Gambhir,DR Smith,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.2,RV Uthappa,DR Smith,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,7.3,G Gambhir,DR Smith,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.4,RV Uthappa,DR Smith,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,7.5,G Gambhir,DR Smith,1wides,RV Uthappa,0,1,1,0,NA,NA,NA
1,7.6,G Gambhir,DR Smith,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.7,RV Uthappa,DR Smith,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,8.1,G Gambhir,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,8.2,RV Uthappa,RA Jadeja,1legbyes,G Gambhir,0,1,1,0,NA,NA,NA
1,8.3,G Gambhir,RA Jadeja,NA,RV Uthappa,6,0,6,0,NA,NA,NA
1,8.4,G Gambhir,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,8.5,RV Uthappa,RA Jadeja,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,8.6,G Gambhir,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.1,G Gambhir,DR Smith,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,9.2,G Gambhir,DR Smith,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,9.3,G Gambhir,DR Smith,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.4,RV Uthappa,DR Smith,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,9.5,G Gambhir,DR Smith,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.6,RV Uthappa,DR Smith,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,10.1,RV Uthappa,DS Kulkarni,NA,G Gambhir,6,0,6,0,NA,NA,NA
1,10.2,RV Uthappa,DS Kulkarni,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,10.3,G Gambhir,DS Kulkarni,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,10.4,RV Uthappa,DS Kulkarni,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,10.5,RV Uthappa,DS Kulkarni,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,10.6,G Gambhir,DS Kulkarni,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,11.1,RV Uthappa,JP Faulkner,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,11.2,RV Uthappa,JP Faulkner,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,11.3,G Gambhir,JP Faulkner,NA,RV Uthappa,0,0,0,1,SK Raina,caught,G Gambhir
1,11.4,RV Uthappa,JP Faulkner,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,11.5,RV Uthappa,JP Faulkner,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,11.6,RV Uthappa,JP Faulkner,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,12.1,MK Pandey,RA Jadeja,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,12.2,MK Pandey,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,12.3,RV Uthappa,RA Jadeja,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,12.4,RV Uthappa,RA Jadeja,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,12.5,MK Pandey,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,12.6,RV Uthappa,RA Jadeja,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,13.1,RV Uthappa,JP Faulkner,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,13.2,RV Uthappa,JP Faulkner,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,13.3,MK Pandey,JP Faulkner,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,13.4,MK Pandey,JP Faulkner,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,13.5,RV Uthappa,JP Faulkner,1legbyes,MK Pandey,0,1,1,0,NA,NA,NA
1,13.6,MK Pandey,JP Faulkner,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,14.1,MK Pandey,RA Jadeja,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,14.2,MK Pandey,RA Jadeja,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,14.3,MK Pandey,RA Jadeja,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,14.4,RV Uthappa,RA Jadeja,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,14.5,RV Uthappa,RA Jadeja,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,14.6,RV Uthappa,RA Jadeja,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,15.1,MK Pandey,Basil Thampi,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,15.2,MK Pandey,Basil Thampi,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,15.3,RV Uthappa,Basil Thampi,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,15.4,RV Uthappa,Basil Thampi,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,15.5,RV Uthappa,Basil Thampi,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,15.6,MK Pandey,Basil Thampi,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,16.1,RV Uthappa,JP Faulkner,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,16.2,RV Uthappa,JP Faulkner,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,16.3,RV Uthappa,JP Faulkner,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,16.4,MK Pandey,JP Faulkner,NA,RV Uthappa,1,0,1,0,NA,NA,NA
