innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SC Ganguly,IK Pathan,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.2,SC Ganguly,IK Pathan,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.3,SC Ganguly,IK Pathan,1wides,CH Gayle,0,1,1,0,NA,NA,NA
1,0.4,SC Ganguly,IK Pathan,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,0.5,SC Ganguly,IK Pathan,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.6,SC Ganguly,IK Pathan,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.7,SC Ganguly,IK Pathan,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,1.1,CH Gayle,RR Powar,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,1.2,SC Ganguly,RR Powar,1wides,CH Gayle,0,1,1,0,NA,NA,NA
1,1.3,SC Ganguly,RR Powar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.4,CH Gayle,RR Powar,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,1.5,SC Ganguly,RR Powar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.6,SC Ganguly,RR Powar,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,1.7,SC Ganguly,RR Powar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.1,CH Gayle,SJ Srivastava,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.2,CH Gayle,SJ Srivastava,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.3,CH Gayle,SJ Srivastava,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,2.4,CH Gayle,SJ Srivastava,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.5,CH Gayle,SJ Srivastava,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.6,CH Gayle,SJ Srivastava,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,3.1,SC Ganguly,J Theron,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.2,SC Ganguly,J Theron,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,3.3,SC Ganguly,J Theron,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.4,SC Ganguly,J Theron,1noballs,CH Gayle,0,1,1,0,NA,NA,NA
1,3.5,SC Ganguly,J Theron,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.6,SC Ganguly,J Theron,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.7,SC Ganguly,J Theron,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,4.1,SC Ganguly,SJ Srivastava,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,4.2,SC Ganguly,SJ Srivastava,NA,CH Gayle,6,0,6,0,NA,NA,NA
1,4.3,SC Ganguly,SJ Srivastava,NA,CH Gayle,2,0,2,0,NA,NA,NA
1,4.4,SC Ganguly,SJ Srivastava,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.5,SC Ganguly,SJ Srivastava,NA,CH Gayle,2,0,2,0,NA,NA,NA
1,4.6,SC Ganguly,SJ Srivastava,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,5.1,SC Ganguly,J Theron,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,5.2,CH Gayle,J Theron,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,5.3,CH Gayle,J Theron,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,5.4,SC Ganguly,J Theron,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.5,SC Ganguly,J Theron,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.6,SC Ganguly,J Theron,NA,CH Gayle,1,0,1,0,NA,NA,NA
