innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,BB McCullum,B Lee,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,0.2,BB McCullum,B Lee,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,0.3,BB McCullum,B Lee,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,0.4,DPMD Jayawardene,B Lee,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.5,DPMD Jayawardene,B Lee,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.6,DPMD Jayawardene,B Lee,1legbyes,BB McCullum,0,1,1,0,NA,NA,NA
1,1.1,DPMD Jayawardene,L Balaji,1wides,BB McCullum,0,1,1,0,NA,NA,NA
1,1.2,DPMD Jayawardene,L Balaji,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.3,DPMD Jayawardene,L Balaji,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.4,DPMD Jayawardene,L Balaji,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,1.5,DPMD Jayawardene,L Balaji,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.6,DPMD Jayawardene,L Balaji,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.7,DPMD Jayawardene,L Balaji,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.1,BB McCullum,B Lee,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.2,BB McCullum,B Lee,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,2.3,BB McCullum,B Lee,NA,DPMD Jayawardene,6,0,6,0,NA,NA,NA
1,2.4,BB McCullum,B Lee,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.5,BB McCullum,B Lee,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,2.6,BB McCullum,B Lee,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.1,BB McCullum,Iqbal Abdulla,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,3.2,BB McCullum,Iqbal Abdulla,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,3.3,BB McCullum,Iqbal Abdulla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.4,DPMD Jayawardene,Iqbal Abdulla,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,3.5,DPMD Jayawardene,Iqbal Abdulla,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.6,BB McCullum,Iqbal Abdulla,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,4.1,BB McCullum,Shakib Al Hasan,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
