innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,ST Jayasuriya,I Sharma,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,0.2,SR Tendulkar,I Sharma,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,0.3,SR Tendulkar,I Sharma,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,0.4,SR Tendulkar,I Sharma,NA,ST Jayasuriya,3,0,3,0,NA,NA,NA
1,0.5,ST Jayasuriya,I Sharma,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.6,ST Jayasuriya,I Sharma,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,1.1,SR Tendulkar,AB Dinda,NA,ST Jayasuriya,6,0,6,0,NA,NA,NA
1,1.2,SR Tendulkar,AB Dinda,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,1.3,SR Tendulkar,AB Dinda,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,1.4,SR Tendulkar,AB Dinda,1wides,ST Jayasuriya,0,1,1,0,NA,NA,NA
1,1.5,SR Tendulkar,AB Dinda,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,1.6,SR Tendulkar,AB Dinda,NA,ST Jayasuriya,4,0,4,0,NA,NA,NA
1,1.7,SR Tendulkar,AB Dinda,NA,ST Jayasuriya,1,0,1,0,NA,NA,NA
1,2.1,SR Tendulkar,I Sharma,5wides,ST Jayasuriya,0,5,5,0,NA,NA,NA
1,2.2,SR Tendulkar,I Sharma,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,2.3,SR Tendulkar,I Sharma,1wides,ST Jayasuriya,0,1,1,0,NA,NA,NA
1,2.4,SR Tendulkar,I Sharma,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,2.5,SR Tendulkar,I Sharma,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,2.6,SR Tendulkar,I Sharma,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
1,2.7,SR Tendulkar,I Sharma,NA,ST Jayasuriya,0,0,0,0,NA,NA,NA
